Name;Score;ImageNumber;X;Y;Width;Height
HDD+HOG(RGB);9.835418;2034;400;192;32;64
HDD+HOG(RGB);9.029763;2634;728;160;32;64
HDD+HOG(RGB);8.944291;4072;1152;184;32;64
HDD+HOG(RGB);8.521537;7158;1140;136;48;96
HDD+HOG(RGB);8.456392;4980;248;216;32;64
HDD+HOG(RGB);8.444687;5128;400;200;32;64
HDD+HOG(RGB);8.347046;1972;0;136;32;64
HDD+HOG(RGB);8.311731;3714;1032;120;32;64
HDD+HOG(RGB);8.285562;694;12;196;48;96
HDD+HOG(RGB);8.260933;3464;1056;111;96;192
HDD+HOG(RGB);8.248316;2230;16;176;64;128
HDD+HOG(RGB);8.222353;5040;792;168;32;64
HDD+HOG(RGB);8.163643;3100;144;264;32;64
HDD+HOG(RGB);8.152644;3306;800;160;32;64
HDD+HOG(RGB);8.133681;2680;704;183;32;64
HDD+HOG(RGB);8.109289;5036;980;172;80;160
HDD+HOG(RGB);8.077797;5890;1008;220;48;96
HDD+HOG(RGB);8.060557;1132;80;256;32;64
HDD+HOG(RGB);8.054330;874;408;143;32;64
HDD+HOG(RGB);8.047178;2688;944;184;32;64
HDD+HOG(RGB);8.035919;718;648;160;32;64
HDD+HOG(RGB);8.017608;5674;448;168;32;64
HDD+HOG(RGB);7.967452;5618;40;192;80;160
HDD+HOG(RGB);7.965830;5868;504;160;96;192
HDD+HOG(RGB);7.943999;444;176;256;32;64
HDD+HOG(RGB);7.940904;5124;816;135;96;192
HDD+HOG(RGB);7.929898;4510;576;160;48;96
HDD+HOG(RGB);7.892608;404;48;216;32;64
HDD+HOG(RGB);7.892136;6878;40;111;80;160
HDD+HOG(RGB);7.874887;1468;984;160;96;192
HDD+HOG(RGB);7.858137;4896;856;160;32;64
HDD+HOG(RGB);7.855443;4516;944;272;32;64
HDD+HOG(RGB);7.846668;226;300;220;48;96
HDD+HOG(RGB);7.806634;152;880;208;32;64
HDD+HOG(RGB);7.795835;4922;728;216;32;64
HDD+HOG(RGB);7.781855;1208;232;255;32;64
HDD+HOG(RGB);7.776720;840;408;208;32;64
HDD+HOG(RGB);7.775320;5320;624;160;32;64
HDD+HOG(RGB);7.774026;2088;1192;144;32;64
HDD+HOG(RGB);7.767936;3508;1024;160;64;128
HDD+HOG(RGB);7.761368;1564;64;192;32;64
HDD+HOG(RGB);7.759607;6400;1104;160;96;192
HDD+HOG(RGB);7.753714;1714;240;207;32;64
HDD+HOG(RGB);7.743612;2386;1040;138;104;208
HDD+HOG(RGB);7.694308;2782;872;176;32;64
HDD+HOG(RGB);7.691805;1908;1064;140;112;224
HDD+HOG(RGB);7.689389;4762;752;119;32;64
HDD+HOG(RGB);7.685589;6144;60;112;80;160
HDD+HOG(RGB);7.683413;4026;64;120;32;64
HDD+HOG(RGB);7.663095;3700;960;111;128;256
HDD+HOG(RGB);7.646185;1578;696;136;48;96
HDD+HOG(RGB);7.640382;5128;1040;280;32;64
HDD+HOG(RGB);7.636222;1690;936;164;104;208
HDD+HOG(RGB);7.627472;7126;744;119;32;64
HDD+HOG(RGB);7.625986;734;16;216;32;64
HDD+HOG(RGB);7.618750;2452;440;168;32;64
HDD+HOG(RGB);7.617574;1544;1160;271;32;64
HDD+HOG(RGB);7.610081;114;336;196;48;96
HDD+HOG(RGB);7.605685;1716;340;151;80;160
HDD+HOG(RGB);7.603103;2236;1160;176;32;64
HDD+HOG(RGB);7.599482;4362;1184;135;32;64
HDD+HOG(RGB);7.590095;952;688;272;32;64
HDD+HOG(RGB);7.589423;660;1176;128;32;64
HDD+HOG(RGB);7.555881;2054;776;176;32;64
HDD+HOG(RGB);7.550303;1926;32;112;128;256
HDD+HOG(RGB);7.544545;5384;80;208;64;128
HDD+HOG(RGB);7.540994;4450;976;184;32;64
HDD+HOG(RGB);7.540701;1010;944;232;32;64
HDD+HOG(RGB);7.529846;3774;1040;151;32;64
HDD+HOG(RGB);7.524961;1810;1168;160;32;64
HDD+HOG(RGB);7.517567;3322;256;176;32;64
HDD+HOG(RGB);7.512588;4786;180;183;48;96
HDD+HOG(RGB);7.506193;3746;888;160;48;96
HDD+HOG(RGB);7.499279;1330;900;136;48;96
HDD+HOG(RGB);7.486960;7406;1096;176;32;64
HDD+HOG(RGB);7.479733;4954;180;184;48;96
HDD+HOG(RGB);7.472087;3984;920;172;80;160
HDD+HOG(RGB);7.466264;3504;992;160;64;128
HDD+HOG(RGB);7.465677;1434;792;160;96;192
HDD+HOG(RGB);7.458447;5076;1208;224;32;64
HDD+HOG(RGB);7.451111;2920;424;199;32;64
HDD+HOG(RGB);7.436825;1412;744;220;48;96
HDD+HOG(RGB);7.435902;6764;80;152;80;160
HDD+HOG(RGB);7.433832;4934;852;172;48;96
HDD+HOG(RGB);7.424640;6768;784;160;64;128
HDD+HOG(RGB);7.423529;614;952;208;32;64
HDD+HOG(RGB);7.415180;6842;1080;220;48;96
HDD+HOG(RGB);7.410751;2386;804;136;48;96
HDD+HOG(RGB);7.409986;1462;1032;160;96;192
HDD+HOG(RGB);7.406564;524;1032;160;32;64
HDD+HOG(RGB);7.404382;7310;744;119;32;64
HDD+HOG(RGB);7.403931;1890;680;168;32;64
HDD+HOG(RGB);7.397819;6240;616;255;32;64
HDD+HOG(RGB);7.395309;6444;1040;160;64;128
HDD+HOG(RGB);7.393033;2742;416;143;32;64
HDD+HOG(RGB);7.391546;1590;432;144;32;64
HDD+HOG(RGB);7.378531;5218;324;207;48;96
HDD+HOG(RGB);7.377288;1936;976;136;32;64
HDD+HOG(RGB);7.376288;3444;928;160;32;64
HDD+HOG(RGB);7.376002;6720;832;168;32;64
HDD+HOG(RGB);7.373533;2310;384;175;32;64
HDD+HOG(RGB);7.373370;2684;408;192;32;64
HDD+HOG(RGB);7.373193;1314;870;111;120;240
HDD+HOG(RGB);7.366711;3974;736;191;32;64
HDD+HOG(RGB);7.365312;332;912;184;48;96
HDD+HOG(RGB);7.358026;7202;1072;128;32;64
HDD+HOG(RGB);7.353568;6958;464;160;64;128
HDD+HOG(RGB);7.349329;1422;384;159;48;96
HDD+HOG(RGB);7.343488;7258;976;176;64;128
HDD+HOG(RGB);7.343214;7224;288;224;32;64
HDD+HOG(RGB);7.340436;6354;360;147;48;96
HDD+HOG(RGB);7.334572;942;1168;216;32;64
HDD+HOG(RGB);7.329691;336;1008;140;112;224
HDD+HOG(RGB);7.317996;6172;1080;272;32;64
HDD+HOG(RGB);7.315721;2484;240;148;48;96
HDD+HOG(RGB);7.312334;3680;872;120;32;64
HDD+HOG(RGB);7.311307;3024;672;171;48;96
HDD+HOG(RGB);7.309850;6044;108;184;48;96
HDD+HOG(RGB);7.305989;48;432;168;32;64
HDD+HOG(RGB);7.304238;6258;624;207;32;64
HDD+HOG(RGB);7.300618;1144;792;176;32;64
HDD+HOG(RGB);7.288330;918;736;152;32;64
HDD+HOG(RGB);7.279569;4952;40;128;32;64
HDD+HOG(RGB);7.279490;86;840;140;112;224
HDD+HOG(RGB);7.276998;5904;408;192;32;64
HDD+HOG(RGB);7.274452;766;440;136;32;64
HDD+HOG(RGB);7.270248;7304;696;152;32;64
HDD+HOG(RGB);7.266931;1314;824;183;32;64
HDD+HOG(RGB);7.258427;1166;936;136;32;64
HDD+HOG(RGB);7.254834;1150;888;208;48;96
HDD+HOG(RGB);7.252049;1862;1208;240;32;64
HDD+HOG(RGB);7.250644;3472;512;183;32;64
HDD+HOG(RGB);7.249662;746;60;151;80;160
HDD+HOG(RGB);7.243170;5670;96;127;64;128
HDD+HOG(RGB);7.235228;956;296;176;32;64
HDD+HOG(RGB);7.227927;3924;312;160;32;64
HDD+HOG(RGB);7.217798;6424;328;208;32;64
HDD+HOG(RGB);7.217538;6888;1088;120;32;64
HDD+HOG(RGB);7.217403;1488;768;136;96;192
HDD+HOG(RGB);7.211096;3492;720;128;32;64
HDD+HOG(RGB);7.208879;4626;232;160;32;64
HDD+HOG(RGB);7.204071;7266;888;216;32;64
HDD+HOG(RGB);7.203062;5930;1032;160;96;192
HDD+HOG(RGB);7.197170;4912;276;147;48;96
HDD+HOG(RGB);7.196952;3624;156;172;48;96
HDD+HOG(RGB);7.191279;3180;1128;136;96;192
HDD+HOG(RGB);7.186769;3164;360;135;48;96
HDD+HOG(RGB);7.178263;5764;752;168;32;64
HDD+HOG(RGB);7.177354;3144;920;144;32;64
HDD+HOG(RGB);7.176031;3494;192;160;32;64
HDD+HOG(RGB);7.171111;4894;24;172;48;96
HDD+HOG(RGB);7.166908;3502;696;135;96;192
HDD+HOG(RGB);7.166003;1122;1044;184;48;96
HDD+HOG(RGB);7.165984;5946;840;152;80;160
HDD+HOG(RGB);7.163911;4392;136;184;32;64
HDD+HOG(RGB);7.163733;2994;1140;255;48;96
HDD+HOG(RGB);7.161773;7074;456;160;32;64
HDD+HOG(RGB);7.159449;7160;912;124;48;96
HDD+HOG(RGB);7.155805;1514;96;112;64;128
HDD+HOG(RGB);7.153028;2640;720;152;80;160
HDD+HOG(RGB);7.152499;4180;396;172;48;96
HDD+HOG(RGB);7.149192;4326;60;212;80;160
HDD+HOG(RGB);7.148862;4508;624;207;32;64
HDD+HOG(RGB);7.144580;5804;248;215;32;64
HDD+HOG(RGB);7.142990;2792;1136;240;32;64
HDD+HOG(RGB);7.141291;152;1000;152;80;160
HDD+HOG(RGB);7.140721;4604;696;152;32;64
HDD+HOG(RGB);7.140017;1716;960;127;32;64
HDD+HOG(RGB);7.136398;5116;1144;192;32;64
HDD+HOG(RGB);7.135086;6056;768;148;48;96
HDD+HOG(RGB);7.134070;76;712;184;32;64
HDD+HOG(RGB);7.133327;7308;396;147;48;96
HDD+HOG(RGB);7.133275;6588;1152;240;32;64
HDD+HOG(RGB);7.129866;6598;1200;264;32;64
HDD+HOG(RGB);7.117567;5510;352;112;128;256
HDD+HOG(RGB);7.117138;5226;492;135;48;96
HDD+HOG(RGB);7.114847;392;360;184;32;64
HDD+HOG(RGB);7.113256;5970;144;196;48;96
HDD+HOG(RGB);7.112963;5178;480;176;32;64
HDD+HOG(RGB);7.111118;332;640;176;32;64
HDD+HOG(RGB);7.110711;1138;72;128;32;64
HDD+HOG(RGB);7.108800;2136;320;160;32;64
HDD+HOG(RGB);7.108345;5828;464;168;32;64
HDD+HOG(RGB);7.101906;3718;784;152;32;64
HDD+HOG(RGB);7.099797;2442;1200;168;32;64
HDD+HOG(RGB);7.098579;5628;752;144;32;64
HDD+HOG(RGB);7.098291;4142;1020;171;80;160
HDD+HOG(RGB);7.097809;1146;288;176;32;64
HDD+HOG(RGB);7.094094;2640;1036;140;112;224
HDD+HOG(RGB);7.093929;634;468;160;48;96
HDD+HOG(RGB);7.090907;4170;480;171;48;96
HDD+HOG(RGB);7.085777;3284;856;128;32;64
HDD+HOG(RGB);7.080955;6666;272;175;32;64
HDD+HOG(RGB);7.077946;3292;1088;280;32;64
HDD+HOG(RGB);7.075956;2416;996;172;48;96
HDD+HOG(RGB);7.075877;5036;1020;132;80;160
HDD+HOG(RGB);7.075094;816;1056;148;48;96
HDD+HOG(RGB);7.074409;2942;712;176;32;64
HDD+HOG(RGB);7.073170;208;600;160;32;64
HDD+HOG(RGB);7.072098;6034;336;184;32;64
HDD+HOG(RGB);7.071871;2666;1128;147;48;96
HDD+HOG(RGB);7.070695;5758;1000;168;32;64
HDD+HOG(RGB);7.069681;5648;960;144;64;128
HDD+HOG(RGB);7.069401;1522;1066;138;104;208
HDD+HOG(RGB);7.067641;7016;776;176;32;64
HDD+HOG(RGB);7.063938;3416;1032;172;48;96
HDD+HOG(RGB);7.061179;1354;1036;139;112;224
HDD+HOG(RGB);7.061177;6508;48;168;32;64
HDD+HOG(RGB);7.057988;6550;312;164;104;208
HDD+HOG(RGB);7.057009;2308;32;168;32;64
HDD+HOG(RGB);7.054265;6488;480;144;64;128
HDD+HOG(RGB);7.053337;5804;860;131;80;160
HDD+HOG(RGB);7.051417;5066;900;152;80;160
HDD+HOG(RGB);7.051374;2832;640;176;32;64
HDD+HOG(RGB);7.050765;4772;1060;212;80;160
HDD+HOG(RGB);7.049876;2456;832;199;32;64
HDD+HOG(RGB);7.047148;5808;1104;223;32;64
HDD+HOG(RGB);7.046681;3984;120;176;32;64
HDD+HOG(RGB);7.045004;36;800;216;32;64
HDD+HOG(RGB);7.044850;5532;240;207;32;64
HDD+HOG(RGB);7.044428;426;972;112;48;96
HDD+HOG(RGB);7.039084;2570;936;136;32;64
HDD+HOG(RGB);7.038049;3002;40;111;80;160
HDD+HOG(RGB);7.035874;4496;276;184;48;96
HDD+HOG(RGB);7.033824;5366;192;192;32;64
HDD+HOG(RGB);7.031156;4972;832;159;32;64
HDD+HOG(RGB);7.031093;1486;72;152;32;64
HDD+HOG(RGB);7.025405;5860;812;140;112;224
HDD+HOG(RGB);7.020317;7028;352;176;32;64
HDD+HOG(RGB);7.017378;6578;40;168;32;64
HDD+HOG(RGB);7.016055;6822;180;232;48;96
HDD+HOG(RGB);7.014374;1912;528;135;48;96
HDD+HOG(RGB);7.012119;5840;312;183;32;64
HDD+HOG(RGB);7.012034;6314;48;160;96;192
HDD+HOG(RGB);7.010868;4834;704;136;32;64
HDD+HOG(RGB);7.008215;4064;384;160;32;64
HDD+HOG(RGB);7.003351;7320;564;183;48;96
HDD+HOG(RGB);7.001775;1776;384;168;32;64
HDD+HOG(RGB);7.000087;20;1000;184;32;64
HDD+HOG(RGB);6.999205;5142;680;175;32;64
HDD+HOG(RGB);6.998725;996;100;172;80;160
HDD+HOG(RGB);6.998616;6508;360;160;32;64
HDD+HOG(RGB);6.997924;3094;24;160;48;96
HDD+HOG(RGB);6.997220;2944;672;168;32;64
HDD+HOG(RGB);6.993176;5148;504;160;96;192
HDD+HOG(RGB);6.991310;1592;256;224;32;64
HDD+HOG(RGB);6.989965;2480;840;136;32;64
HDD+HOG(RGB);6.985014;6488;672;140;112;224
HDD+HOG(RGB);6.979539;768;464;144;32;64
HDD+HOG(RGB);6.978321;1882;240;184;32;64
HDD+HOG(RGB);6.976184;5084;1060;172;80;160
HDD+HOG(RGB);6.974979;6448;344;184;32;64
HDD+HOG(RGB);6.973921;6348;1192;208;32;64
HDD+HOG(RGB);6.971498;5526;696;147;48;96
HDD+HOG(RGB);6.970224;2666;1088;159;64;128
HDD+HOG(RGB);6.969347;2330;656;152;32;64
HDD+HOG(RGB);6.968493;6016;864;192;32;64
HDD+HOG(RGB);6.967901;2402;516;135;48;96
HDD+HOG(RGB);6.967223;7028;0;132;80;160
