Name;Score;ImageNumber;X;Y;Width;Height
HOI;20.988750;32;48;217;32;64
HOI;19.215031;2816;32;361;32;64
HOI;18.721935;2844;600;297;32;64
HOI;18.241583;1536;180;213;48;96
HOI;18.150040;2724;384;225;32;64
HOI;18.097292;2844;588;261;48;96
HOI;18.088894;3008;432;201;32;64
HOI;17.958967;3048;392;257;32;64
HOI;17.880312;3780;600;225;32;64
HOI;17.838856;3076;496;209;32;64
HOI;17.785139;1064;592;249;32;64
HOI;17.710899;2720;480;173;80;160
HOI;17.680401;2860;552;249;48;96
HOI;17.585989;808;16;241;32;64
HOI;17.521267;4424;60;345;48;96
HOI;17.494137;2720;480;201;96;192
HOI;17.452700;3012;264;189;48;96
HOI;17.427313;1612;208;217;32;64
HOI;17.409697;3012;208;217;32;64
HOI;17.373518;2968;160;169;32;64
HOI;17.314955;3228;96;169;32;64
HOI;17.300007;2740;448;225;32;64
HOI;17.145535;328;504;233;32;64
HOI;17.141598;2888;488;209;32;64
HOI;17.023188;1328;56;152;112;224
HOI;17.004839;3028;84;152;112;224
HOI;16.992952;2988;80;241;32;64
HOI;16.976095;3028;120;193;32;64
HOI;16.902193;2732;432;201;48;96
HOI;16.870211;1320;372;321;48;96
HOI;16.836203;3012;256;201;64;128
HOI;16.774881;976;540;253;80;160
HOI;16.753696;2724;444;237;48;96
HOI;16.723160;3224;96;201;64;128
HOI;16.611240;2824;512;241;32;64
HOI;16.609978;3828;240;233;64;128
HOI;16.541306;1516;264;201;48;96
HOI;16.532787;2736;432;257;32;64
HOI;16.511185;1348;0;305;32;64
HOI;16.497257;2612;376;305;32;64
HOI;16.477835;424;88;217;32;64
HOI;16.447111;3092;312;230;104;208
HOI;16.441168;3108;416;169;32;64
HOI;16.368979;3020;288;257;32;64
HOI;16.361538;2576;360;241;32;64
HOI;16.282101;2724;376;193;32;64
HOI;16.272181;3224;48;153;96;192
HOI;16.266081;1004;32;161;32;64
HOI;16.246832;1132;88;161;32;64
HOI;16.234497;1512;16;249;32;64
HOI;16.183994;2724;384;249;32;64
HOI;16.179564;1508;200;209;32;64
HOI;16.174458;132;432;241;32;64
HOI;16.130289;1300;48;185;64;128
HOI;16.116928;3872;272;233;32;64
HOI;16.112276;2920;384;177;96;192
HOI;16.046274;1432;196;236;112;224
HOI;16.003353;3012;280;201;32;64
HOI;15.967987;3080;472;193;32;64
HOI;15.966930;3684;0;193;32;64
HOI;15.923847;3848;48;225;32;64
HOI;15.921204;1316;32;345;32;64
HOI;15.877226;3024;544;185;64;128
HOI;15.869840;2720;492;225;48;96
HOI;15.866171;3764;32;313;32;64
HOI;15.829641;3004;360;281;32;64
HOI;15.812198;3592;272;233;32;64
HOI;15.778527;2612;384;313;32;64
HOI;15.768302;2056;408;169;32;64
HOI;15.766917;3032;488;273;32;64
HOI;15.753980;2856;552;193;32;64
HOI;15.747365;3232;56;180;112;224
HOI;15.733442;1532;240;181;120;240
HOI;15.726995;1636;252;153;48;96
HOI;15.715348;3240;0;265;64;128
HOI;15.700691;4628;272;265;64;128
