Name;Score;ImageNumber;X;Y;Width;Height
RAW(RGB);2.997411;0;160;153;64;128
RAW(RGB);2.445352;284;504;153;32;64
RAW(RGB);2.382988;88;256;217;64;128
RAW(RGB);2.277849;0;104;153;32;64
RAW(RGB);2.199995;1044;312;152;104;208
RAW(RGB);2.199993;392;248;297;32;64
RAW(RGB);2.199991;3864;352;193;32;64
RAW(RGB);2.199987;3764;128;185;32;64
RAW(RGB);2.199983;2152;552;377;32;64
RAW(RGB);2.199981;3308;464;233;64;128
RAW(RGB);2.199977;36;576;329;32;64
RAW(RGB);2.199976;2104;328;369;32;64
RAW(RGB);2.199974;2452;120;177;48;96
RAW(RGB);2.199973;3680;216;193;32;64
RAW(RGB);2.199969;3736;276;249;48;96
RAW(RGB);2.199967;4376;48;177;32;64
RAW(RGB);2.199957;1396;510;181;120;240
RAW(RGB);2.199954;3448;448;184;128;256
RAW(RGB);2.199950;3964;456;333;48;96
RAW(RGB);2.199944;3628;108;261;48;96
RAW(RGB);2.199942;1796;240;177;48;96
RAW(RGB);2.199934;3808;240;297;64;128
RAW(RGB);2.199916;4280;160;152;128;256
RAW(RGB);2.199909;1840;252;285;48;96
RAW(RGB);2.199903;1240;56;433;32;64
RAW(RGB);2.199903;768;336;273;48;96
RAW(RGB);2.199902;1824;304;201;64;128
RAW(RGB);2.199896;1348;108;309;48;96
RAW(RGB);2.199894;1700;144;153;32;64
RAW(RGB);2.199886;4096;432;161;32;64
RAW(RGB);2.199878;2016;252;333;48;96
RAW(RGB);2.199875;1624;368;257;32;64
RAW(RGB);2.199871;2556;392;153;32;64
RAW(RGB);2.199870;412;408;201;96;192
RAW(RGB);2.199856;2156;64;433;32;64
RAW(RGB);2.199855;60;592;313;32;64
RAW(RGB);2.199855;4380;152;241;32;64
RAW(RGB);2.199848;2356;544;185;64;128
RAW(RGB);2.199839;524;16;377;32;64
RAW(RGB);2.199838;2552;424;393;32;64
RAW(RGB);2.199837;3756;0;297;64;128
RAW(RGB);2.199829;124;112;233;32;64
RAW(RGB);2.199828;644;584;169;32;64
RAW(RGB);2.199827;4524;204;309;48;96
RAW(RGB);2.199818;4652;256;169;64;128
RAW(RGB);2.199816;1368;84;201;48;96
RAW(RGB);2.199811;4220;228;297;48;96
RAW(RGB);2.199807;4476;528;377;64;128
RAW(RGB);2.199803;3792;520;282;104;208
RAW(RGB);2.199802;4052;224;264;112;224
RAW(RGB);2.199801;952;96;265;64;128
RAW(RGB);2.199799;452;120;289;32;64
RAW(RGB);2.199795;2524;280;369;32;64
RAW(RGB);2.199794;1176;560;209;32;64
RAW(RGB);2.199792;588;112;169;32;64
RAW(RGB);2.199781;3760;576;161;32;64
RAW(RGB);2.199775;1880;48;405;48;96
RAW(RGB);2.199774;1348;36;369;48;96
RAW(RGB);2.199772;4236;600;401;32;64
RAW(RGB);2.199770;2488;592;201;32;64
RAW(RGB);2.199764;1524;560;409;32;64
RAW(RGB);2.199762;1164;64;233;64;128
RAW(RGB);2.199755;92;208;337;32;64
RAW(RGB);2.199742;2332;352;313;64;128
RAW(RGB);2.199741;144;480;165;48;96
RAW(RGB);2.199739;944;24;153;96;192
RAW(RGB);2.199738;3992;272;169;32;64
RAW(RGB);2.199733;2800;272;161;32;64
RAW(RGB);2.199731;1004;480;385;32;64
RAW(RGB);2.199729;4740;256;385;32;64
RAW(RGB);2.199723;3184;584;233;32;64
RAW(RGB);2.199719;4104;216;169;32;64
RAW(RGB);2.199716;4552;72;273;48;96
RAW(RGB);2.199711;2272;296;281;32;64
RAW(RGB);2.199710;1376;544;249;32;64
RAW(RGB);2.199708;3332;400;201;32;64
RAW(RGB);2.199704;3816;180;381;48;96
RAW(RGB);2.199700;1920;512;297;32;64
RAW(RGB);2.199698;2316;128;248;128;256
RAW(RGB);2.199693;4004;432;345;48;96
RAW(RGB);2.199688;3368;584;289;32;64
RAW(RGB);2.199685;4504;468;405;48;96
RAW(RGB);2.199685;4564;160;233;32;64
RAW(RGB);2.199684;1920;180;357;48;96
RAW(RGB);2.199673;3012;448;216;128;256
RAW(RGB);2.199668;4004;480;329;64;128
RAW(RGB);2.199665;3664;472;233;32;64
RAW(RGB);2.199665;3200;336;185;64;128
RAW(RGB);2.199660;700;312;337;32;64
RAW(RGB);2.199657;1768;64;361;32;64
RAW(RGB);2.199651;2412;304;409;32;64
RAW(RGB);2.199651;3044;24;297;32;64
RAW(RGB);2.199649;4592;144;153;32;64
RAW(RGB);2.199640;2224;180;177;48;96
RAW(RGB);2.199635;4076;528;153;64;128
RAW(RGB);2.199630;1840;112;353;32;64
RAW(RGB);2.199620;2940;144;153;96;192
RAW(RGB);2.199619;1220;568;329;32;64
RAW(RGB);2.199618;3832;248;169;32;64
RAW(RGB);2.199615;380;176;153;32;64
RAW(RGB);2.199607;3948;352;241;32;64
RAW(RGB);2.199607;1612;216;441;32;64
RAW(RGB);2.199602;1540;16;209;32;64
RAW(RGB);2.199602;636;176;265;32;64
RAW(RGB);2.199599;2136;592;345;32;64
RAW(RGB);2.199598;3276;78;152;104;208
RAW(RGB);2.199594;1992;304;337;32;64
RAW(RGB);2.199594;2124;560;265;64;128
RAW(RGB);2.199593;4172;568;265;32;64
RAW(RGB);2.199590;3932;208;329;64;128
RAW(RGB);2.199589;3564;96;297;96;192
RAW(RGB);2.199586;4200;200;305;32;64
RAW(RGB);2.199586;764;216;357;48;96
RAW(RGB);2.199583;780;128;249;32;64
RAW(RGB);2.199576;3332;40;253;80;160
RAW(RGB);2.199573;1920;128;216;128;256
RAW(RGB);2.199573;2732;496;393;32;64
RAW(RGB);2.199563;4728;480;249;64;128
RAW(RGB);2.199550;328;494;204;104;208
RAW(RGB);2.199546;2660;440;233;32;64
RAW(RGB);2.199537;3560;52;178;104;208
RAW(RGB);2.199534;3228;264;225;48;96
RAW(RGB);2.199525;3424;128;217;64;128
RAW(RGB);2.199522;1420;24;393;32;64
RAW(RGB);2.199517;1536;48;405;48;96
RAW(RGB);2.199512;4220;204;213;48;96
RAW(RGB);2.199509;2668;132;273;48;96
RAW(RGB);2.199503;432;144;321;48;96
RAW(RGB);2.199502;4004;184;161;32;64
RAW(RGB);2.199489;4728;442;282;104;208
RAW(RGB);2.199489;1948;0;377;64;128
RAW(RGB);2.199479;2976;496;393;32;64
RAW(RGB);2.199478;4240;520;401;32;64
RAW(RGB);2.199477;4364;40;217;32;64
RAW(RGB);2.199474;300;72;433;32;64
RAW(RGB);2.199474;3704;216;237;48;96
RAW(RGB);2.199474;828;64;193;32;64
RAW(RGB);2.199471;3764;0;253;80;160
RAW(RGB);2.199468;3360;588;261;48;96
RAW(RGB);2.199468;1868;584;153;32;64
RAW(RGB);2.199466;4484;456;361;32;64
RAW(RGB);2.199463;1396;560;305;32;64
RAW(RGB);2.199462;2740;480;313;32;64
RAW(RGB);2.199459;3308;80;353;32;64
RAW(RGB);2.199453;4376;400;213;80;160
RAW(RGB);2.199445;2464;588;309;48;96
RAW(RGB);2.199443;2048;348;153;48;96
RAW(RGB);2.199440;4240;48;201;96;192
RAW(RGB);2.199434;2244;32;297;32;64
RAW(RGB);2.199434;2588;384;249;64;128
