Name;Score;ImageNumber;X;Y;Width;Height
S2HOG(RGB);26.510532;4204;240;249;96;192
S2HOG(RGB);25.457832;4208;216;249;96;192
S2HOG(RGB);25.106621;4212;168;236;112;224
S2HOG(RGB);24.841024;1816;256;248;128;256
S2HOG(RGB);23.964798;1816;384;273;96;192
S2HOG(RGB);23.920881;1820;32;216;128;256
S2HOG(RGB);23.342541;4192;168;249;96;192
S2HOG(RGB);22.774036;764;504;153;96;192
S2HOG(RGB);22.331553;4196;240;249;96;192
S2HOG(RGB);22.268913;2124;442;230;104;208
S2HOG(RGB);22.114006;2292;150;181;120;240
S2HOG(RGB);22.093176;1992;320;233;80;160
S2HOG(RGB);21.930052;4324;260;153;80;160
S2HOG(RGB);21.801254;4552;160;153;80;160
S2HOG(RGB);21.788525;4180;216;249;96;192
S2HOG(RGB);21.353542;4236;28;152;112;224
S2HOG(RGB);21.334717;4188;144;249;96;192
S2HOG(RGB);21.258715;4268;234;230;104;208
S2HOG(RGB);21.236362;4208;176;281;64;128
S2HOG(RGB);21.126150;4564;176;153;64;128
S2HOG(RGB);21.085999;2288;0;225;96;192
S2HOG(RGB);21.069323;4232;90;151;120;240
S2HOG(RGB);20.922407;3484;32;248;128;256
S2HOG(RGB);20.832071;416;252;208;112;224
S2HOG(RGB);20.822222;2424;540;233;80;160
S2HOG(RGB);20.738276;820;180;181;120;240
S2HOG(RGB);20.592896;4020;130;152;104;208
S2HOG(RGB);20.582544;4212;216;249;96;192
S2HOG(RGB);20.563610;4084;216;153;96;192
S2HOG(RGB);20.478388;4280;260;204;104;208
S2HOG(RGB);20.353735;4192;240;249;96;192
S2HOG(RGB);20.263493;4200;224;236;112;224
S2HOG(RGB);20.263422;4572;196;264;112;224
S2HOG(RGB);20.231979;4284;300;211;120;240
S2HOG(RGB);20.159296;4332;480;184;128;256
S2HOG(RGB);20.111963;2456;280;152;112;224
S2HOG(RGB);20.102924;4272;270;211;120;240
S2HOG(RGB);19.923225;4260;260;204;104;208
S2HOG(RGB);19.915924;4272;192;265;64;128
S2HOG(RGB);19.910164;4192;196;236;112;224
S2HOG(RGB);19.901880;2456;364;152;104;208
S2HOG(RGB);19.894123;4188;224;236;112;224
S2HOG(RGB);19.869839;4044;234;178;104;208
S2HOG(RGB);19.786226;1832;440;153;80;160
S2HOG(RGB);19.779884;4376;320;249;64;128
S2HOG(RGB);19.724745;2268;64;233;64;128
S2HOG(RGB);19.643053;4180;144;249;96;192
S2HOG(RGB);19.623442;2364;480;233;80;160
S2HOG(RGB);19.562378;2152;128;153;64;128
S2HOG(RGB);19.538713;4220;224;236;112;224
S2HOG(RGB);19.505840;4128;208;217;64;128
S2HOG(RGB);19.493233;1388;210;211;120;240
S2HOG(RGB);19.421465;4276;240;201;96;192
S2HOG(RGB);19.401051;4460;80;233;80;160
S2HOG(RGB);19.391558;1996;390;181;120;240
S2HOG(RGB);19.303179;4216;224;236;112;224
S2HOG(RGB);19.302561;616;144;273;96;192
S2HOG(RGB);19.277672;4288;288;225;96;192
S2HOG(RGB);19.249592;4244;288;233;64;128
S2HOG(RGB);19.232687;2484;52;230;104;208
S2HOG(RGB);19.214211;2312;372;309;48;96
S2HOG(RGB);19.165150;1384;112;169;64;128
S2HOG(RGB);19.060207;2464;128;152;128;256
S2HOG(RGB);18.978775;2456;234;152;104;208
S2HOG(RGB);18.967474;4340;480;211;120;240
S2HOG(RGB);18.939716;3672;144;297;96;192
S2HOG(RGB);18.851698;2288;240;181;120;240
S2HOG(RGB);18.773470;1212;84;236;112;224
S2HOG(RGB);18.769997;2308;176;313;64;128
S2HOG(RGB);18.729462;2688;240;281;64;128
S2HOG(RGB);18.702454;2488;80;333;80;160
S2HOG(RGB);18.682934;72;208;345;64;128
S2HOG(RGB);18.634424;624;260;233;80;160
S2HOG(RGB);18.564606;4408;288;153;64;128
S2HOG(RGB);18.560675;2296;234;204;104;208
S2HOG(RGB);18.551785;1868;90;241;120;240
S2HOG(RGB);18.538380;2188;30;241;120;240
S2HOG(RGB);18.538187;160;288;152;128;256
S2HOG(RGB);18.518353;2284;156;204;104;208
S2HOG(RGB);18.491600;2272;224;184;128;256
S2HOG(RGB);18.453602;2864;64;169;64;128
S2HOG(RGB);18.443224;2204;84;297;48;96
S2HOG(RGB);18.426712;1960;540;213;80;160
S2HOG(RGB);18.407925;2352;60;173;80;160
S2HOG(RGB);18.397514;2928;360;181;120;240
S2HOG(RGB);18.383146;3688;384;345;64;128
S2HOG(RGB);18.380579;4040;100;213;80;160
S2HOG(RGB);18.363815;1868;264;345;48;96
S2HOG(RGB);18.277866;4208;264;249;96;192
S2HOG(RGB);18.271818;4188;512;217;64;128
S2HOG(RGB);18.244957;408;286;178;104;208
S2HOG(RGB);18.219976;4320;420;233;80;160
S2HOG(RGB);18.212709;4196;192;281;64;128
S2HOG(RGB);18.187824;4120;500;273;80;160
S2HOG(RGB);18.166798;3396;476;236;112;224
S2HOG(RGB);18.166433;2472;72;177;96;192
S2HOG(RGB);18.145359;1816;260;293;80;160
S2HOG(RGB);18.143194;4724;24;273;96;192
S2HOG(RGB);18.131824;4448;80;293;80;160
S2HOG(RGB);18.121191;1720;528;153;96;192
S2HOG(RGB);18.111544;4500;492;177;48;96
S2HOG(RGB);18.104912;4004;288;393;48;96
S2HOG(RGB);18.104792;2280;64;233;64;128
S2HOG(RGB);18.102034;4300;192;153;64;128
S2HOG(RGB);18.100611;2296;128;184;128;256
S2HOG(RGB);18.043972;1832;176;169;64;128
S2HOG(RGB);18.038132;1888;0;248;128;256
S2HOG(RGB);18.037895;288;528;297;96;192
S2HOG(RGB);18.036818;1688;130;230;104;208
S2HOG(RGB);18.031490;2080;208;281;64;128
S2HOG(RGB);18.005617;4324;240;241;120;240
S2HOG(RGB);18.002073;1716;528;201;64;128
S2HOG(RGB);17.989468;4084;450;181;120;240
S2HOG(RGB);17.962431;4160;224;236;112;224
S2HOG(RGB);17.952894;3672;192;297;96;192
S2HOG(RGB);17.915262;4184;464;201;64;128
S2HOG(RGB);17.902512;168;210;241;120;240
S2HOG(RGB);17.896124;8;192;361;64;128
S2HOG(RGB);17.858006;4268;312;230;104;208
S2HOG(RGB);17.851730;4000;24;153;96;192
S2HOG(RGB);17.845171;2068;400;313;64;128
S2HOG(RGB);17.830128;1460;280;333;80;160
S2HOG(RGB);17.829350;2808;144;153;96;192
S2HOG(RGB);17.824066;4212;112;236;112;224
S2HOG(RGB);17.821079;1684;80;233;80;160
S2HOG(RGB);17.815786;4184;240;253;80;160
S2HOG(RGB);17.813202;1652;80;377;64;128
S2HOG(RGB);17.800617;4088;588;285;48;96
S2HOG(RGB);17.768915;2060;152;337;32;64
S2HOG(RGB);17.757751;4256;84;152;112;224
S2HOG(RGB);17.746107;4400;528;225;96;192
S2HOG(RGB);17.741030;2116;416;230;104;208
S2HOG(RGB);17.726921;3672;364;236;112;224
S2HOG(RGB);17.710659;2076;208;281;64;128
S2HOG(RGB);17.709290;2192;432;273;96;192
S2HOG(RGB);17.705294;4764;400;253;80;160
S2HOG(RGB);17.676773;4324;150;241;120;240
S2HOG(RGB);17.675472;4216;264;249;96;192
S2HOG(RGB);17.653469;4108;520;230;104;208
S2HOG(RGB);17.650734;4432;500;233;80;160
S2HOG(RGB);17.624655;3876;240;333;80;160
S2HOG(RGB);17.606987;3992;468;230;104;208
S2HOG(RGB);17.595488;1900;320;201;64;128
S2HOG(RGB);17.590616;2300;408;177;96;192
S2HOG(RGB);17.565868;308;288;153;64;128
S2HOG(RGB);17.556158;2008;516;393;48;96
S2HOG(RGB);17.523338;2304;252;180;112;224
S2HOG(RGB);17.522633;16;380;253;80;160
S2HOG(RGB);17.520512;4308;140;273;80;160
S2HOG(RGB);17.511353;4328;440;193;80;160
S2HOG(RGB);17.507736;1872;380;213;80;160
S2HOG(RGB);17.498533;2228;84;236;112;224
S2HOG(RGB);17.497215;2476;288;321;48;96
S2HOG(RGB);17.488968;4428;84;264;112;224
S2HOG(RGB);17.488283;2140;216;321;48;96
S2HOG(RGB);17.483500;2296;228;357;48;96
S2HOG(RGB);17.480398;2184;144;201;96;192
S2HOG(RGB);17.469669;2008;448;169;64;128
S2HOG(RGB);17.448513;2252;416;201;64;128
S2HOG(RGB);17.421169;4136;140;153;80;160
S2HOG(RGB);17.408945;2304;256;233;64;128
S2HOG(RGB);17.386377;336;220;253;80;160
S2HOG(RGB);17.368206;4256;240;281;64;128
S2HOG(RGB);17.328865;1852;176;249;64;128
S2HOG(RGB);17.267050;3940;420;253;80;160
S2HOG(RGB);17.255785;2276;280;208;112;224
S2HOG(RGB);17.224180;4160;200;253;80;160
S2HOG(RGB);17.182873;1480;260;213;80;160
S2HOG(RGB);17.171013;2112;200;253;80;160
S2HOG(RGB);17.125364;2120;442;230;104;208
S2HOG(RGB);17.071409;2492;84;236;112;224
S2HOG(RGB);17.067364;2092;564;153;48;96
S2HOG(RGB);17.049034;332;286;256;104;208
S2HOG(RGB);17.038260;4392;432;265;64;128
S2HOG(RGB);17.009380;2156;96;249;96;192
S2HOG(RGB);16.991503;4492;40;333;80;160
S2HOG(RGB);16.986191;2640;480;211;120;240
S2HOG(RGB);16.979223;2072;420;233;80;160
S2HOG(RGB);16.975950;4216;180;241;120;240
S2HOG(RGB);16.958603;180;0;241;120;240
S2HOG(RGB);16.953926;1812;364;152;104;208
S2HOG(RGB);16.952358;2384;140;313;80;160
S2HOG(RGB);16.944277;1492;180;211;120;240
S2HOG(RGB);16.919840;4216;500;213;80;160
S2HOG(RGB);16.909313;2272;130;204;104;208
S2HOG(RGB);16.905148;560;480;333;80;160
S2HOG(RGB);16.900734;2128;540;333;80;160
S2HOG(RGB);16.878349;180;360;151;120;240
S2HOG(RGB);16.877222;2340;64;233;64;128
S2HOG(RGB);16.855104;4456;494;256;104;208
S2HOG(RGB);16.854021;992;338;178;104;208
S2HOG(RGB);16.852224;2196;480;313;64;128
S2HOG(RGB);16.825224;4164;120;177;48;96
S2HOG(RGB);16.824617;2296;180;213;80;160
S2HOG(RGB);16.823103;1988;320;249;64;128
S2HOG(RGB);16.822294;4368;280;241;32;64
S2HOG(RGB);16.817331;4280;240;249;64;128
S2HOG(RGB);16.807232;1896;560;185;64;128
S2HOG(RGB);16.801226;4184;224;216;128;256
S2HOG(RGB);16.797699;3188;176;249;64;128
S2HOG(RGB);16.791452;2092;360;253;80;160
S2HOG(RGB);16.790504;1064;48;297;96;192
S2HOG(RGB);16.771490;3544;160;313;80;160
S2HOG(RGB);16.759687;1856;208;345;64;128
S2HOG(RGB);16.759434;4328;512;217;64;128
S2HOG(RGB);16.750549;3992;256;233;64;128
S2HOG(RGB);16.742329;2264;336;236;112;224
S2HOG(RGB);16.721521;3656;450;151;120;240
S2HOG(RGB);16.721233;4108;448;208;112;224
S2HOG(RGB);16.706966;2072;492;237;48;96
S2HOG(RGB);16.690063;4572;32;248;128;256
S2HOG(RGB);16.689981;4128;272;217;64;128
S2HOG(RGB);16.683828;4208;140;236;112;224
S2HOG(RGB);16.672443;4008;348;381;48;96
S2HOG(RGB);16.672310;652;80;297;64;128
S2HOG(RGB);16.667431;2192;448;329;64;128
S2HOG(RGB);16.660700;1952;516;201;48;96
S2HOG(RGB);16.644348;1748;40;193;80;160
S2HOG(RGB);16.637691;2404;384;393;48;96
S2HOG(RGB);16.625916;4540;448;185;64;128
S2HOG(RGB);16.624535;4136;100;213;80;160
S2HOG(RGB);16.613483;4632;100;333;80;160
S2HOG(RGB);16.608664;4692;84;345;48;96
S2HOG(RGB);16.584259;4316;420;393;48;96
S2HOG(RGB);16.569098;2464;300;273;80;160
S2HOG(RGB);16.567066;4196;96;281;64;128
S2HOG(RGB);16.557730;2252;448;249;64;128
S2HOG(RGB);16.556826;2560;380;293;80;160
S2HOG(RGB);16.545815;4708;460;273;80;160
S2HOG(RGB);16.541054;4368;552;409;32;64
S2HOG(RGB);16.534132;2264;0;180;112;224
S2HOG(RGB);16.529011;2236;520;173;80;160
S2HOG(RGB);16.524490;1128;360;313;80;160
S2HOG(RGB);16.513186;292;448;216;128;256
S2HOG(RGB);16.501259;1388;480;249;96;192
S2HOG(RGB);16.481680;4704;120;293;80;160
S2HOG(RGB);16.479778;4216;468;225;48;96
S2HOG(RGB);16.458620;452;440;153;80;160
S2HOG(RGB);16.448519;1788;0;152;112;224
S2HOG(RGB);16.431770;4204;112;236;112;224
S2HOG(RGB);16.422535;2084;200;253;80;160
S2HOG(RGB);16.420607;2400;40;313;80;160
S2HOG(RGB);16.419907;884;504;236;112;224
S2HOG(RGB);16.419201;4504;272;185;64;128
S2HOG(RGB);16.415157;4044;150;181;120;240
S2HOG(RGB);16.410944;4708;448;248;128;256
S2HOG(RGB);16.406242;1636;160;233;64;128
S2HOG(RGB);16.388313;4132;96;217;64;128
S2HOG(RGB);16.375538;1920;204;237;48;96
S2HOG(RGB);16.374258;4524;144;313;64;128
S2HOG(RGB);16.371414;4080;0;241;120;240
S2HOG(RGB);16.358910;4372;128;297;64;128
S2HOG(RGB);16.351795;4304;180;153;80;160
S2HOG(RGB);16.350008;2456;160;152;128;256
S2HOG(RGB);16.327404;2496;56;264;112;224
S2HOG(RGB);16.326752;2380;480;177;96;192
S2HOG(RGB);16.307756;4108;84;309;48;96
S2HOG(RGB);16.307598;4184;196;236;112;224
S2HOG(RGB);16.301088;2280;260;204;104;208
S2HOG(RGB);16.296894;1388;140;208;112;224
S2HOG(RGB);16.293222;1144;304;265;64;128
S2HOG(RGB);16.278381;3044;476;152;112;224
S2HOG(RGB);16.266241;2296;528;377;64;128
S2HOG(RGB);16.262293;1728;380;253;80;160
S2HOG(RGB);16.259605;2424;540;165;48;96
S2HOG(RGB);16.258066;1384;24;153;96;192
S2HOG(RGB);16.255379;4560;324;237;48;96
S2HOG(RGB);16.251186;4512;0;152;112;224
S2HOG(RGB);16.241198;4136;176;233;64;128
S2HOG(RGB);16.232641;2144;216;225;48;96
S2HOG(RGB);16.216692;4076;480;249;96;192
S2HOG(RGB);16.209763;4740;384;297;96;192
S2HOG(RGB);16.192327;3624;96;393;48;96
S2HOG(RGB);16.180702;4180;252;236;112;224
S2HOG(RGB);16.172123;3328;544;153;64;128
S2HOG(RGB);16.169310;4264;234;204;104;208
S2HOG(RGB);16.153900;368;264;249;96;192
S2HOG(RGB);16.122421;4192;504;201;96;192
S2HOG(RGB);16.118076;4176;272;249;64;128
S2HOG(RGB);16.117369;4208;256;281;64;128
S2HOG(RGB);16.114670;468;180;241;120;240
S2HOG(RGB);16.110794;2944;400;173;80;160
S2HOG(RGB);16.102757;4196;168;236;112;224
S2HOG(RGB);16.090017;780;192;152;128;256
S2HOG(RGB);16.078857;820;224;208;112;224
S2HOG(RGB);16.076471;4584;84;236;112;224
