Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HOG(RGB);6.672585;1822;360;232;32;64
CoOccurrence(RGB)+HOG(RGB);6.636565;5618;84;196;48;96
CoOccurrence(RGB)+HOG(RGB);6.532492;3586;784;160;32;64
CoOccurrence(RGB)+HOG(RGB);6.395048;6008;960;288;32;64
CoOccurrence(RGB)+HOG(RGB);6.381520;5748;672;152;32;64
CoOccurrence(RGB)+HOG(RGB);6.368591;4532;360;160;32;64
CoOccurrence(RGB)+HOG(RGB);6.343949;2996;720;184;48;96
CoOccurrence(RGB)+HOG(RGB);6.291173;2634;720;160;32;64
CoOccurrence(RGB)+HOG(RGB);6.231779;5702;280;200;32;64
CoOccurrence(RGB)+HOG(RGB);6.196023;3398;744;146;48;96
CoOccurrence(RGB)+HOG(RGB);6.168979;2942;1200;232;32;64
CoOccurrence(RGB)+HOG(RGB);6.154775;974;832;288;32;64
CoOccurrence(RGB)+HOG(RGB);6.152745;2966;338;138;104;208
CoOccurrence(RGB)+HOG(RGB);6.129616;6578;60;211;80;160
CoOccurrence(RGB)+HOG(RGB);6.129534;2798;1136;120;32;64
CoOccurrence(RGB)+HOG(RGB);6.099667;4786;384;170;48;96
CoOccurrence(RGB)+HOG(RGB);6.091865;7188;744;218;48;96
CoOccurrence(RGB)+HOG(RGB);6.083522;3666;960;192;64;128
CoOccurrence(RGB)+HOG(RGB);6.082983;3094;168;160;48;96
CoOccurrence(RGB)+HOG(RGB);6.075003;5896;352;144;64;128
CoOccurrence(RGB)+HOG(RGB);5.998636;5680;192;200;32;64
CoOccurrence(RGB)+HOG(RGB);5.993484;1068;792;219;48;96
CoOccurrence(RGB)+HOG(RGB);5.983739;5924;752;167;32;64
CoOccurrence(RGB)+HOG(RGB);5.972052;5668;876;220;48;96
CoOccurrence(RGB)+HOG(RGB);5.970131;3620;700;132;80;160
CoOccurrence(RGB)+HOG(RGB);5.957817;2640;752;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.948745;2960;280;152;80;160
CoOccurrence(RGB)+HOG(RGB);5.925854;520;1168;287;32;64
CoOccurrence(RGB)+HOG(RGB);5.917874;2154;1064;272;32;64
CoOccurrence(RGB)+HOG(RGB);5.897840;5608;304;159;32;64
CoOccurrence(RGB)+HOG(RGB);5.897586;6774;992;144;64;128
CoOccurrence(RGB)+HOG(RGB);5.879888;2960;496;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.878138;5144;48;232;32;64
CoOccurrence(RGB)+HOG(RGB);5.876787;7460;1024;128;64;128
CoOccurrence(RGB)+HOG(RGB);5.875370;2666;552;135;96;192
CoOccurrence(RGB)+HOG(RGB);5.866069;1294;800;176;32;64
CoOccurrence(RGB)+HOG(RGB);5.857621;1070;0;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.851403;5834;304;288;32;64
CoOccurrence(RGB)+HOG(RGB);5.840956;4440;864;264;32;64
CoOccurrence(RGB)+HOG(RGB);5.833556;5418;680;199;32;64
CoOccurrence(RGB)+HOG(RGB);5.831887;4764;200;192;80;160
CoOccurrence(RGB)+HOG(RGB);5.828179;4584;1176;199;32;64
CoOccurrence(RGB)+HOG(RGB);5.827096;4616;432;160;32;64
CoOccurrence(RGB)+HOG(RGB);5.824834;7404;168;176;32;64
CoOccurrence(RGB)+HOG(RGB);5.821650;7246;112;144;64;128
CoOccurrence(RGB)+HOG(RGB);5.816382;4090;480;160;32;64
CoOccurrence(RGB)+HOG(RGB);5.811277;5106;104;183;32;64
CoOccurrence(RGB)+HOG(RGB);5.805932;3924;648;171;48;96
CoOccurrence(RGB)+HOG(RGB);5.802869;3958;828;184;48;96
CoOccurrence(RGB)+HOG(RGB);5.798524;34;1104;304;32;64
CoOccurrence(RGB)+HOG(RGB);5.792869;3880;776;200;32;64
CoOccurrence(RGB)+HOG(RGB);5.784484;2156;616;175;32;64
CoOccurrence(RGB)+HOG(RGB);5.782300;2712;264;128;32;64
CoOccurrence(RGB)+HOG(RGB);5.772292;4988;20;152;80;160
CoOccurrence(RGB)+HOG(RGB);5.770888;5498;360;184;48;96
CoOccurrence(RGB)+HOG(RGB);5.761557;286;720;172;48;96
CoOccurrence(RGB)+HOG(RGB);5.754632;6722;1168;287;32;64
CoOccurrence(RGB)+HOG(RGB);5.754105;1196;504;160;48;96
CoOccurrence(RGB)+HOG(RGB);5.752925;2374;0;192;32;64
CoOccurrence(RGB)+HOG(RGB);5.752058;3808;432;184;32;64
CoOccurrence(RGB)+HOG(RGB);5.751418;3478;744;184;48;96
CoOccurrence(RGB)+HOG(RGB);5.748582;6192;1020;124;48;96
CoOccurrence(RGB)+HOG(RGB);5.741184;6858;160;192;64;128
CoOccurrence(RGB)+HOG(RGB);5.737470;5496;720;232;32;64
CoOccurrence(RGB)+HOG(RGB);5.737306;548;736;224;64;128
CoOccurrence(RGB)+HOG(RGB);5.731622;3608;1088;192;64;128
CoOccurrence(RGB)+HOG(RGB);5.729674;1584;296;192;32;64
CoOccurrence(RGB)+HOG(RGB);5.726121;2710;1120;192;64;128
CoOccurrence(RGB)+HOG(RGB);5.713343;3676;672;184;32;64
CoOccurrence(RGB)+HOG(RGB);5.711654;6768;160;112;128;256
CoOccurrence(RGB)+HOG(RGB);5.710881;3380;28;140;112;224
CoOccurrence(RGB)+HOG(RGB);5.704906;3472;324;194;48;96
CoOccurrence(RGB)+HOG(RGB);5.699021;620;640;176;32;64
CoOccurrence(RGB)+HOG(RGB);5.694549;4954;616;200;32;64
CoOccurrence(RGB)+HOG(RGB);5.688764;7208;1064;280;32;64
CoOccurrence(RGB)+HOG(RGB);5.688301;2854;304;152;32;64
CoOccurrence(RGB)+HOG(RGB);5.687383;2268;1112;160;32;64
CoOccurrence(RGB)+HOG(RGB);5.682656;4720;512;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.682655;2072;252;231;48;96
CoOccurrence(RGB)+HOG(RGB);5.681302;408;192;136;32;64
CoOccurrence(RGB)+HOG(RGB);5.679911;7452;504;158;48;96
CoOccurrence(RGB)+HOG(RGB);5.672868;2742;1064;247;32;64
CoOccurrence(RGB)+HOG(RGB);5.670835;4142;416;127;64;128
CoOccurrence(RGB)+HOG(RGB);5.670505;2126;744;160;48;96
CoOccurrence(RGB)+HOG(RGB);5.669791;7470;650;164;104;208
CoOccurrence(RGB)+HOG(RGB);5.667343;6808;792;208;32;64
CoOccurrence(RGB)+HOG(RGB);5.666695;4198;72;176;32;64
CoOccurrence(RGB)+HOG(RGB);5.666028;6468;720;124;48;96
CoOccurrence(RGB)+HOG(RGB);5.659808;4954;32;272;32;64
CoOccurrence(RGB)+HOG(RGB);5.658560;3124;0;152;32;64
CoOccurrence(RGB)+HOG(RGB);5.653331;2226;312;194;48;96
CoOccurrence(RGB)+HOG(RGB);5.653171;5262;1072;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.652246;2060;420;132;80;160
CoOccurrence(RGB)+HOG(RGB);5.650937;4838;1068;232;48;96
CoOccurrence(RGB)+HOG(RGB);5.650002;898;112;184;32;64
CoOccurrence(RGB)+HOG(RGB);5.645374;408;0;200;32;64
CoOccurrence(RGB)+HOG(RGB);5.645365;1124;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.642892;6996;640;232;32;64
CoOccurrence(RGB)+HOG(RGB);5.641837;4192;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.638357;6612;840;220;48;96
CoOccurrence(RGB)+HOG(RGB);5.635753;5278;1080;152;32;64
CoOccurrence(RGB)+HOG(RGB);5.635159;5994;848;239;64;128
CoOccurrence(RGB)+HOG(RGB);5.633193;352;588;232;48;96
CoOccurrence(RGB)+HOG(RGB);5.632356;2490;952;264;32;64
CoOccurrence(RGB)+HOG(RGB);5.629520;614;160;240;64;128
CoOccurrence(RGB)+HOG(RGB);5.627956;338;904;175;32;64
CoOccurrence(RGB)+HOG(RGB);5.627608;3622;368;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.626902;6422;168;146;48;96
CoOccurrence(RGB)+HOG(RGB);5.626545;2342;228;194;48;96
CoOccurrence(RGB)+HOG(RGB);5.623317;6770;400;184;32;64
CoOccurrence(RGB)+HOG(RGB);5.622206;958;680;192;80;160
CoOccurrence(RGB)+HOG(RGB);5.620366;944;264;224;32;64
CoOccurrence(RGB)+HOG(RGB);5.619220;3956;816;280;32;64
CoOccurrence(RGB)+HOG(RGB);5.618059;4940;176;159;64;128
CoOccurrence(RGB)+HOG(RGB);5.615584;6312;432;208;32;64
CoOccurrence(RGB)+HOG(RGB);5.613844;5532;504;134;48;96
CoOccurrence(RGB)+HOG(RGB);5.605761;4516;808;192;32;64
CoOccurrence(RGB)+HOG(RGB);5.605127;1666;840;192;80;160
CoOccurrence(RGB)+HOG(RGB);5.604730;4188;660;256;48;96
CoOccurrence(RGB)+HOG(RGB);5.604084;7224;372;184;48;96
CoOccurrence(RGB)+HOG(RGB);5.602996;966;944;159;64;128
CoOccurrence(RGB)+HOG(RGB);5.602769;4892;768;208;48;96
CoOccurrence(RGB)+HOG(RGB);5.602412;3398;616;138;112;224
CoOccurrence(RGB)+HOG(RGB);5.601364;4778;260;152;80;160
CoOccurrence(RGB)+HOG(RGB);5.599284;3464;1136;159;64;128
CoOccurrence(RGB)+HOG(RGB);5.598734;1300;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.598611;3550;848;160;32;64
CoOccurrence(RGB)+HOG(RGB);5.597021;6648;984;184;32;64
CoOccurrence(RGB)+HOG(RGB);5.594206;2122;288;124;48;96
CoOccurrence(RGB)+HOG(RGB);5.591557;4848;372;268;48;96
CoOccurrence(RGB)+HOG(RGB);5.588949;3914;104;160;32;64
CoOccurrence(RGB)+HOG(RGB);5.587768;5744;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.586736;2176;800;172;80;160
CoOccurrence(RGB)+HOG(RGB);5.585887;2944;700;151;80;160
CoOccurrence(RGB)+HOG(RGB);5.585552;1718;840;232;32;64
CoOccurrence(RGB)+HOG(RGB);5.581889;4482;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.569507;3396;224;140;112;224
CoOccurrence(RGB)+HOG(RGB);5.565681;2282;928;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.562611;3250;1080;148;48;96
CoOccurrence(RGB)+HOG(RGB);5.562247;6172;952;168;32;64
CoOccurrence(RGB)+HOG(RGB);5.561400;1428;680;150;80;160
CoOccurrence(RGB)+HOG(RGB);5.560465;4012;328;223;32;64
CoOccurrence(RGB)+HOG(RGB);5.558999;5746;1168;287;32;64
