Name;Score;ImageNumber;X;Y;Width;Height
HDD+HOG(RGB);8.731415;4578;1164;244;48;96
HDD+HOG(RGB);8.408040;6474;400;184;32;64
HDD+HOG(RGB);7.801247;5160;936;176;32;64
HDD+HOG(RGB);7.766544;4336;240;168;32;64
HDD+HOG(RGB);7.747582;5480;944;303;32;64
HDD+HOG(RGB);7.661102;4474;156;164;104;208
HDD+HOG(RGB);7.659942;5970;864;264;32;64
HDD+HOG(RGB);7.652985;3314;888;216;32;64
HDD+HOG(RGB);7.644758;5822;1032;216;32;64
HDD+HOG(RGB);7.633097;6186;152;200;32;64
HDD+HOG(RGB);7.612552;4120;120;248;32;64
HDD+HOG(RGB);7.597069;5948;976;200;32;64
HDD+HOG(RGB);7.570913;106;168;200;32;64
HDD+HOG(RGB);7.533527;1408;1016;272;32;64
HDD+HOG(RGB);7.444764;6776;976;280;32;64
HDD+HOG(RGB);7.431295;764;600;207;32;64
HDD+HOG(RGB);7.426674;480;368;272;32;64
HDD+HOG(RGB);7.412227;6162;248;176;32;64
HDD+HOG(RGB);7.390308;2828;128;256;32;64
HDD+HOG(RGB);7.370583;6718;784;280;32;64
HDD+HOG(RGB);7.369246;2660;896;144;32;64
HDD+HOG(RGB);7.347411;1852;24;192;32;64
HDD+HOG(RGB);7.336655;6656;320;143;32;64
HDD+HOG(RGB);7.336347;1578;728;176;32;64
HDD+HOG(RGB);7.328774;2098;432;183;48;96
HDD+HOG(RGB);7.318820;3904;880;232;32;64
HDD+HOG(RGB);7.297431;780;1040;256;32;64
HDD+HOG(RGB);7.289767;4416;800;128;32;64
HDD+HOG(RGB);7.277049;1932;776;200;32;64
HDD+HOG(RGB);7.272316;3092;936;160;32;64
HDD+HOG(RGB);7.254688;5714;912;195;48;96
HDD+HOG(RGB);7.230575;1716;1024;183;32;64
HDD+HOG(RGB);7.221499;4316;208;232;32;64
HDD+HOG(RGB);7.214390;3310;1192;264;32;64
HDD+HOG(RGB);7.166226;5876;816;304;32;64
HDD+HOG(RGB);7.135320;5780;968;200;32;64
HDD+HOG(RGB);7.116105;1204;160;280;32;64
HDD+HOG(RGB);7.098566;1170;368;240;32;64
HDD+HOG(RGB);7.079562;4320;1080;240;32;64
HDD+HOG(RGB);7.070650;2374;248;288;32;64
HDD+HOG(RGB);7.065237;1408;1024;264;32;64
HDD+HOG(RGB);7.058845;4400;1032;151;32;64
HDD+HOG(RGB);7.058490;476;192;160;32;64
HDD+HOG(RGB);7.057777;736;176;264;32;64
HDD+HOG(RGB);7.055572;1768;1072;288;32;64
HDD+HOG(RGB);7.049228;7160;856;216;32;64
HDD+HOG(RGB);7.029020;4326;72;256;32;64
HDD+HOG(RGB);7.023752;2944;672;160;32;64
HDD+HOG(RGB);7.018280;3084;504;272;32;64
HDD+HOG(RGB);7.017409;2342;88;159;32;64
HDD+HOG(RGB);7.010193;4326;48;244;48;96
HDD+HOG(RGB);7.001516;5670;28;138;112;224
HDD+HOG(RGB);6.997198;3550;864;183;48;96
HDD+HOG(RGB);6.984621;6994;1080;143;32;64
HDD+HOG(RGB);6.978055;7246;40;192;80;160
HDD+HOG(RGB);6.975979;6198;1000;200;32;64
HDD+HOG(RGB);6.973096;2668;752;176;32;64
HDD+HOG(RGB);6.971756;2758;768;304;32;64
HDD+HOG(RGB);6.968013;2626;1008;263;32;64
HDD+HOG(RGB);6.966976;7302;400;296;32;64
HDD+HOG(RGB);6.962232;480;400;296;32;64
HDD+HOG(RGB);6.960176;318;968;256;32;64
HDD+HOG(RGB);6.951474;2476;1136;280;32;64
HDD+HOG(RGB);6.944738;5770;752;304;32;64
HDD+HOG(RGB);6.944321;4572;480;192;32;64
HDD+HOG(RGB);6.944098;944;448;176;32;64
HDD+HOG(RGB);6.941699;2862;704;160;32;64
HDD+HOG(RGB);6.937332;5342;1192;176;32;64
HDD+HOG(RGB);6.933689;6158;712;303;32;64
HDD+HOG(RGB);6.925299;3642;744;184;48;96
HDD+HOG(RGB);6.923687;5826;576;208;32;64
HDD+HOG(RGB);6.921875;1684;48;304;32;64
HDD+HOG(RGB);6.921740;7012;944;240;32;64
HDD+HOG(RGB);6.911818;3984;736;144;32;64
HDD+HOG(RGB);6.907952;6410;96;280;32;64
HDD+HOG(RGB);6.903011;7242;1066;164;104;208
HDD+HOG(RGB);6.895143;5186;136;304;32;64
HDD+HOG(RGB);6.888239;6558;456;220;48;96
HDD+HOG(RGB);6.880306;242;936;172;48;96
HDD+HOG(RGB);6.861546;4716;96;232;32;64
HDD+HOG(RGB);6.860801;1434;1140;184;48;96
HDD+HOG(RGB);6.859408;3236;1080;168;32;64
HDD+HOG(RGB);6.857291;5446;936;256;32;64
HDD+HOG(RGB);6.855581;4508;444;170;48;96
HDD+HOG(RGB);6.854440;834;1160;296;32;64
HDD+HOG(RGB);6.853135;548;112;304;32;64
HDD+HOG(RGB);6.851088;3292;200;296;32;64
HDD+HOG(RGB);6.842442;5500;1192;216;32;64
HDD+HOG(RGB);6.841543;3552;616;120;32;64
HDD+HOG(RGB);6.837874;6878;480;247;32;64
HDD+HOG(RGB);6.833415;6848;1140;172;80;160
HDD+HOG(RGB);6.822072;2272;432;304;32;64
HDD+HOG(RGB);6.821552;1130;876;184;48;96
HDD+HOG(RGB);6.807117;5468;744;192;32;64
HDD+HOG(RGB);6.802755;3278;1008;240;32;64
HDD+HOG(RGB);6.794457;418;1088;304;32;64
HDD+HOG(RGB);6.792226;6412;240;248;32;64
HDD+HOG(RGB);6.792215;4100;272;192;32;64
HDD+HOG(RGB);6.791854;2014;1104;151;32;64
HDD+HOG(RGB);6.784236;3166;200;296;32;64
HDD+HOG(RGB);6.782568;4250;1116;122;48;96
HDD+HOG(RGB);6.781803;5948;1000;280;32;64
HDD+HOG(RGB);6.777680;4928;1000;223;32;64
HDD+HOG(RGB);6.777676;7012;888;224;32;64
HDD+HOG(RGB);6.775635;6838;152;184;32;64
HDD+HOG(RGB);6.761065;440;784;152;32;64
HDD+HOG(RGB);6.757375;2092;728;288;32;64
HDD+HOG(RGB);6.756488;2390;1104;296;32;64
HDD+HOG(RGB);6.752677;3490;980;172;80;160
HDD+HOG(RGB);6.751554;2456;1168;287;32;64
HDD+HOG(RGB);6.750211;5258;256;232;32;64
HDD+HOG(RGB);6.740987;4940;560;183;32;64
HDD+HOG(RGB);6.739201;3288;1072;232;32;64
HDD+HOG(RGB);6.736580;3336;344;184;32;64
HDD+HOG(RGB);6.735921;7070;920;280;32;64
HDD+HOG(RGB);6.728725;4320;1136;280;32;64
HDD+HOG(RGB);6.727100;4574;480;272;32;64
HDD+HOG(RGB);6.724766;96;696;160;32;64
HDD+HOG(RGB);6.721615;1388;104;240;32;64
HDD+HOG(RGB);6.715344;3466;780;171;48;96
HDD+HOG(RGB);6.713223;2688;736;192;32;64
HDD+HOG(RGB);6.712810;7474;1168;288;32;64
HDD+HOG(RGB);6.710353;1230;432;184;32;64
HDD+HOG(RGB);6.708210;3376;744;144;32;64
HDD+HOG(RGB);6.708185;2932;1096;208;32;64
HDD+HOG(RGB);6.703791;1944;976;272;32;64
HDD+HOG(RGB);6.702456;764;904;159;32;64
HDD+HOG(RGB);6.701133;834;1128;288;32;64
HDD+HOG(RGB);6.701077;2022;760;272;32;64
HDD+HOG(RGB);6.700904;5528;176;168;32;64
HDD+HOG(RGB);6.700560;6192;872;264;32;64
HDD+HOG(RGB);6.700108;4572;252;220;48;96
HDD+HOG(RGB);6.698004;4378;720;176;32;64
HDD+HOG(RGB);6.694974;6358;608;168;32;64
HDD+HOG(RGB);6.693740;6754;320;216;32;64
HDD+HOG(RGB);6.691616;4278;368;160;32;64
HDD+HOG(RGB);6.691499;1748;912;239;32;64
HDD+HOG(RGB);6.689711;6452;1128;248;32;64
HDD+HOG(RGB);6.682610;724;744;184;32;64
HDD+HOG(RGB);6.679997;480;408;304;32;64
HDD+HOG(RGB);6.677608;1622;1072;176;32;64
HDD+HOG(RGB);6.668581;4416;896;280;32;64
HDD+HOG(RGB);6.666266;2160;1100;151;80;160
HDD+HOG(RGB);6.666183;3144;944;184;32;64
HDD+HOG(RGB);6.664427;6524;880;304;32;64
HDD+HOG(RGB);6.657467;5288;1032;192;32;64
HDD+HOG(RGB);6.656825;6148;832;303;32;64
HDD+HOG(RGB);6.654717;3772;1152;296;32;64
HDD+HOG(RGB);6.652953;1450;1040;224;64;128
HDD+HOG(RGB);6.648272;3834;144;280;32;64
HDD+HOG(RGB);6.642550;1436;88;192;32;64
HDD+HOG(RGB);6.641398;2534;1152;272;32;64
HDD+HOG(RGB);6.640752;876;720;220;48;96
HDD+HOG(RGB);6.640162;6534;224;288;32;64
HDD+HOG(RGB);6.640101;6766;256;176;32;64
HDD+HOG(RGB);6.638728;2332;824;224;32;64
HDD+HOG(RGB);6.637760;3422;1112;200;32;64
HDD+HOG(RGB);6.635862;2478;696;170;48;96
HDD+HOG(RGB);6.634620;2774;352;295;32;64
HDD+HOG(RGB);6.633844;6518;1016;256;32;64
HDD+HOG(RGB);6.629108;5386;872;184;32;64
HDD+HOG(RGB);6.627204;4332;1048;280;32;64
HDD+HOG(RGB);6.625531;6720;416;296;32;64
HDD+HOG(RGB);6.624903;3430;704;264;32;64
HDD+HOG(RGB);6.620477;3962;264;304;32;64
HDD+HOG(RGB);6.618167;6930;1040;288;32;64
HDD+HOG(RGB);6.615817;6130;736;248;32;64
