Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HONV;6.236619;4580;848;199;32;64
HOG(RGB)+HONV;5.938996;1016;936;200;32;64
HOG(RGB)+HONV;5.922024;7032;1160;248;32;64
HOG(RGB)+HONV;5.813029;2558;32;272;32;64
HOG(RGB)+HONV;5.752187;2790;1032;176;32;64
HOG(RGB)+HONV;5.718914;1606;1112;248;32;64
HOG(RGB)+HONV;5.685752;3732;832;120;32;64
HOG(RGB)+HONV;5.672498;2404;16;128;32;64
HOG(RGB)+HONV;5.649621;78;1040;240;32;64
HOG(RGB)+HONV;5.642088;190;1104;112;32;64
HOG(RGB)+HONV;5.630589;1758;200;239;32;64
HOG(RGB)+HONV;5.624798;2870;240;136;32;64
HOG(RGB)+HONV;5.621688;4502;528;144;32;64
HOG(RGB)+HONV;5.542097;2696;1176;240;32;64
HOG(RGB)+HONV;5.541505;4316;24;208;32;64
HOG(RGB)+HONV;5.490156;6326;584;168;32;64
HOG(RGB)+HONV;5.475388;1088;400;143;32;64
HOG(RGB)+HONV;5.453251;5406;16;208;32;64
HOG(RGB)+HONV;5.431724;4266;1104;112;32;64
HOG(RGB)+HONV;5.404317;3448;888;124;48;96
HOG(RGB)+HONV;5.387064;716;832;128;32;64
HOG(RGB)+HONV;5.347753;5540;128;127;32;64
HOG(RGB)+HONV;5.346403;2026;168;224;32;64
HOG(RGB)+HONV;5.327492;5978;888;128;32;64
HOG(RGB)+HONV;5.312636;3696;1096;304;32;64
HOG(RGB)+HONV;5.295100;7212;776;192;32;64
HOG(RGB)+HONV;5.283689;6338;80;224;32;64
HOG(RGB)+HONV;5.268162;4782;216;232;32;64
HOG(RGB)+HONV;5.196500;2884;1176;168;32;64
HOG(RGB)+HONV;5.137389;1368;1048;144;32;64
HOG(RGB)+HONV;5.124135;2042;24;171;48;96
HOG(RGB)+HONV;5.073325;4962;1120;168;32;64
HOG(RGB)+HONV;5.033157;5318;1120;120;32;64
HOG(RGB)+HONV;5.029931;7332;496;192;32;64
HOG(RGB)+HONV;5.019903;2680;376;135;32;64
HOG(RGB)+HONV;4.922072;2440;0;288;32;64
HOG(RGB)+HONV;4.882364;2510;976;128;32;64
HOG(RGB)+HONV;4.774930;3948;592;192;32;64
HOG(RGB)+HONV;4.586023;5626;408;240;32;64
HOG(RGB)+HONV;4.369885;4062;616;176;32;64
HOG(RGB)+HONV;4.329406;608;72;172;48;96
HOG(RGB)+HONV;4.296451;6972;768;136;32;64
HOG(RGB)+HONV;4.288419;5098;576;160;32;64
HOG(RGB)+HONV;4.245960;4764;280;136;32;64
HOG(RGB)+HONV;4.236580;6808;232;216;32;64
HOG(RGB)+HONV;4.220391;2554;104;159;32;64
HOG(RGB)+HONV;4.194032;612;1040;208;32;64
HOG(RGB)+HONV;4.135328;1180;384;200;32;64
HOG(RGB)+HONV;4.064689;2440;984;240;32;64
HOG(RGB)+HONV;4.021587;298;440;175;32;64
HOG(RGB)+HONV;4.012264;4400;1000;303;32;64
HOG(RGB)+HONV;3.988861;7272;1000;303;32;64
HOG(RGB)+HONV;3.971575;3704;1184;288;32;64
HOG(RGB)+HONV;3.968821;7294;976;120;32;64
HOG(RGB)+HONV;3.965204;2310;848;199;32;64
HOG(RGB)+HONV;3.956200;7380;232;136;32;64
HOG(RGB)+HONV;3.929530;4974;1112;224;32;64
HOG(RGB)+HONV;3.908040;2398;1096;288;32;64
HOG(RGB)+HONV;3.898878;1016;1064;120;32;64
HOG(RGB)+HONV;3.891803;86;1152;288;32;64
HOG(RGB)+HONV;3.888161;240;80;112;32;64
HOG(RGB)+HONV;3.885031;390;112;120;32;64
HOG(RGB)+HONV;3.881215;6600;1128;112;32;64
HOG(RGB)+HONV;3.857751;3074;1184;120;32;64
HOG(RGB)+HONV;3.855970;1086;864;128;32;64
HOG(RGB)+HONV;3.850862;7136;1080;120;32;64
HOG(RGB)+HONV;3.827807;3432;1080;280;32;64
HOG(RGB)+HONV;3.823053;5424;1040;136;32;64
HOG(RGB)+HONV;3.819385;5842;1080;184;32;64
HOG(RGB)+HONV;3.814543;2558;1160;304;32;64
HOG(RGB)+HONV;3.801525;6062;256;216;32;64
HOG(RGB)+HONV;3.799650;5342;1080;128;32;64
HOG(RGB)+HONV;3.799589;1574;568;159;32;64
HOG(RGB)+HONV;3.784399;6812;992;120;32;64
HOG(RGB)+HONV;3.778062;2590;208;136;32;64
HOG(RGB)+HONV;3.776344;5850;16;136;32;64
HOG(RGB)+HONV;3.767823;2984;72;264;32;64
HOG(RGB)+HONV;3.766563;6718;976;296;32;64
HOG(RGB)+HONV;3.751893;498;752;135;32;64
HOG(RGB)+HONV;3.740143;5744;104;159;32;64
HOG(RGB)+HONV;3.721195;4912;8;151;32;64
HOG(RGB)+HONV;3.718731;6258;304;143;32;64
HOG(RGB)+HONV;3.717361;2734;920;128;32;64
HOG(RGB)+HONV;3.713998;1574;1000;303;32;64
HOG(RGB)+HONV;3.713809;4598;1192;112;32;64
HOG(RGB)+HONV;3.707952;3254;1160;120;32;64
HOG(RGB)+HONV;3.706991;1142;72;256;32;64
HOG(RGB)+HONV;3.705936;7346;592;168;32;64
HOG(RGB)+HONV;3.705116;1958;320;215;32;64
HOG(RGB)+HONV;3.691051;3380;296;136;32;64
HOG(RGB)+HONV;3.683588;4532;968;272;32;64
HOG(RGB)+HONV;3.680231;6184;864;124;48;96
HOG(RGB)+HONV;3.679552;4436;624;172;48;96
HOG(RGB)+HONV;3.677797;7308;736;199;32;64
HOG(RGB)+HONV;3.673350;5314;1064;272;32;64
HOG(RGB)+HONV;3.663569;1926;1184;304;32;64
HOG(RGB)+HONV;3.660399;2306;32;216;32;64
HOG(RGB)+HONV;3.655438;982;1008;136;32;64
