Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+RAW(RGB);9.777634;4710;60;212;80;160
HOG(RGB)+RAW(RGB);9.189198;2408;672;170;48;96
HOG(RGB)+RAW(RGB);8.921238;2440;544;168;32;64
HOG(RGB)+RAW(RGB);8.834991;1982;672;170;48;96
HOG(RGB)+RAW(RGB);8.809083;4674;672;170;48;96
HOG(RGB)+RAW(RGB);8.808153;2318;1080;184;32;64
HOG(RGB)+RAW(RGB);8.775913;3320;216;160;96;192
HOG(RGB)+RAW(RGB);8.775444;6538;280;160;32;64
HOG(RGB)+RAW(RGB);8.772688;2610;200;160;32;64
HOG(RGB)+RAW(RGB);8.771398;3374;1152;255;32;64
HOG(RGB)+RAW(RGB);8.770994;6704;960;264;32;64
HOG(RGB)+RAW(RGB);8.634902;3458;48;168;32;64
HOG(RGB)+RAW(RGB);8.553547;4604;216;160;32;64
HOG(RGB)+RAW(RGB);8.552816;3350;1088;224;32;64
HOG(RGB)+RAW(RGB);8.530419;1406;672;170;48;96
HOG(RGB)+RAW(RGB);8.509877;5320;780;152;80;160
HOG(RGB)+RAW(RGB);8.496850;5288;1144;168;32;64
HOG(RGB)+RAW(RGB);8.466194;788;920;184;32;64
HOG(RGB)+RAW(RGB);8.462444;4232;728;192;32;64
HOG(RGB)+RAW(RGB);8.443727;4772;732;184;48;96
HOG(RGB)+RAW(RGB);8.440079;784;672;170;48;96
HOG(RGB)+RAW(RGB);8.410267;2448;48;168;32;64
HOG(RGB)+RAW(RGB);8.399758;6970;1136;184;32;64
HOG(RGB)+RAW(RGB);8.397640;3290;48;168;32;64
HOG(RGB)+RAW(RGB);8.391587;182;228;172;48;96
HOG(RGB)+RAW(RGB);8.391162;3930;336;160;64;128
HOG(RGB)+RAW(RGB);8.390027;3902;448;192;32;64
HOG(RGB)+RAW(RGB);8.363105;4922;1016;184;32;64
HOG(RGB)+RAW(RGB);8.359021;2748;800;192;32;64
HOG(RGB)+RAW(RGB);8.349617;7186;168;216;32;64
