Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+SDDG(Depth);9.592395;1228;720;151;32;64
HOG(RGB)+SDDG(Depth);9.128675;3552;420;195;48;96
HOG(RGB)+SDDG(Depth);9.109602;2510;1100;132;80;160
HOG(RGB)+SDDG(Depth);9.107987;5320;440;152;32;64
HOG(RGB)+SDDG(Depth);9.092351;4594;720;151;32;64
HOG(RGB)+SDDG(Depth);9.057716;7372;72;159;32;64
HOG(RGB)+SDDG(Depth);9.037657;316;1080;224;32;64
HOG(RGB)+SDDG(Depth);8.982590;4874;1104;160;64;128
HOG(RGB)+SDDG(Depth);8.909591;5560;80;192;32;64
HOG(RGB)+SDDG(Depth);8.890944;6238;72;128;32;64
HOG(RGB)+SDDG(Depth);8.854816;1198;872;168;32;64
HOG(RGB)+SDDG(Depth);8.848233;2554;720;151;32;64
HOG(RGB)+SDDG(Depth);8.759194;2896;800;176;32;64
HOG(RGB)+SDDG(Depth);8.729072;5548;584;168;32;64
HOG(RGB)+SDDG(Depth);8.707561;2826;780;164;104;208
HOG(RGB)+SDDG(Depth);8.703379;2034;84;172;48;96
HOG(RGB)+SDDG(Depth);8.684857;142;1072;304;32;64
HOG(RGB)+SDDG(Depth);8.648800;6502;720;151;32;64
HOG(RGB)+SDDG(Depth);8.633119;986;832;224;64;128
HOG(RGB)+SDDG(Depth);8.632045;6514;1016;128;32;64
HOG(RGB)+SDDG(Depth);8.629277;1872;256;136;32;64
HOG(RGB)+SDDG(Depth);8.615034;1592;1072;160;64;128
HOG(RGB)+SDDG(Depth);8.607619;3984;104;192;32;64
HOG(RGB)+SDDG(Depth);8.548800;880;224;184;32;64
HOG(RGB)+SDDG(Depth);8.548029;5934;744;167;32;64
HOG(RGB)+SDDG(Depth);8.542783;6730;1200;200;32;64
HOG(RGB)+SDDG(Depth);8.537887;5530;220;192;80;160
HOG(RGB)+SDDG(Depth);8.527457;7430;1016;296;32;64
HOG(RGB)+SDDG(Depth);8.523929;1666;8;264;32;64
HOG(RGB)+SDDG(Depth);8.522915;4400;72;159;32;64
HOG(RGB)+SDDG(Depth);8.517853;1902;360;135;96;192
HOG(RGB)+SDDG(Depth);8.510111;2322;880;232;32;64
HOG(RGB)+SDDG(Depth);8.497261;7452;1176;239;32;64
HOG(RGB)+SDDG(Depth);8.473729;3102;592;200;32;64
HOG(RGB)+SDDG(Depth);8.468071;3168;128;192;32;64
HOG(RGB)+SDDG(Depth);8.459736;4114;592;232;32;64
HOG(RGB)+SDDG(Depth);8.450525;5768;824;152;32;64
HOG(RGB)+SDDG(Depth);8.449979;2024;968;264;32;64
HOG(RGB)+SDDG(Depth);8.445127;3304;1080;176;32;64
HOG(RGB)+SDDG(Depth);8.444587;6508;512;176;32;64
HOG(RGB)+SDDG(Depth);8.424345;4634;720;151;32;64
HOG(RGB)+SDDG(Depth);8.423695;5406;272;152;32;64
HOG(RGB)+SDDG(Depth);8.419279;3830;760;136;32;64
HOG(RGB)+SDDG(Depth);8.416693;1166;936;112;32;64
HOG(RGB)+SDDG(Depth);8.415088;1654;720;151;32;64
HOG(RGB)+SDDG(Depth);8.407765;5910;924;140;112;224
HOG(RGB)+SDDG(Depth);8.398193;3134;728;151;32;64
HOG(RGB)+SDDG(Depth);8.397174;3930;704;176;32;64
HOG(RGB)+SDDG(Depth);8.394306;6540;756;136;48;96
HOG(RGB)+SDDG(Depth);8.389611;390;720;192;32;64
HOG(RGB)+SDDG(Depth);8.363607;6198;872;232;32;64
HOG(RGB)+SDDG(Depth);8.358640;1460;192;248;32;64
HOG(RGB)+SDDG(Depth);8.348913;5060;960;132;80;160
HOG(RGB)+SDDG(Depth);8.340044;6764;1168;240;64;128
HOG(RGB)+SDDG(Depth);8.336219;2206;928;152;32;64
HOG(RGB)+SDDG(Depth);8.325432;4138;128;176;32;64
HOG(RGB)+SDDG(Depth);8.318624;186;1136;232;32;64
HOG(RGB)+SDDG(Depth);8.291948;7298;1128;176;32;64
HOG(RGB)+SDDG(Depth);8.291031;3810;1208;168;32;64
HOG(RGB)+SDDG(Depth);8.285527;5982;328;216;32;64
HOG(RGB)+SDDG(Depth);8.284324;1674;1096;216;32;64
HOG(RGB)+SDDG(Depth);8.281968;3440;248;160;32;64
HOG(RGB)+SDDG(Depth);8.276745;4668;136;192;32;64
HOG(RGB)+SDDG(Depth);8.276537;88;1040;132;80;160
HOG(RGB)+SDDG(Depth);8.272553;7314;1136;176;64;128
HOG(RGB)+SDDG(Depth);8.266367;1742;120;172;48;96
HOG(RGB)+SDDG(Depth);8.252498;3358;736;208;32;64
HOG(RGB)+SDDG(Depth);8.246952;1406;704;151;32;64
HOG(RGB)+SDDG(Depth);8.245448;3998;756;140;112;224
HOG(RGB)+SDDG(Depth);8.244213;3958;816;172;48;96
HOG(RGB)+SDDG(Depth);8.236217;2894;0;212;80;160
HOG(RGB)+SDDG(Depth);8.229586;704;1008;272;32;64
HOG(RGB)+SDDG(Depth);8.228205;996;1104;128;64;128
HOG(RGB)+SDDG(Depth);8.224841;4038;24;196;48;96
HOG(RGB)+SDDG(Depth);8.213836;1108;1040;160;64;128
HOG(RGB)+SDDG(Depth);8.208006;3526;72;146;48;96
HOG(RGB)+SDDG(Depth);8.206802;5990;352;200;32;64
HOG(RGB)+SDDG(Depth);8.204018;5724;736;183;32;64
