Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB);21.630955;1960;112;192;32;64
HOG(RGB);20.498636;1960;96;208;32;64
HOG(RGB);19.513042;3192;288;248;32;64
HOG(RGB);19.221485;3416;152;240;32;64
HOG(RGB);19.115305;90;944;200;32;64
HOG(RGB);18.933409;3442;168;112;48;96
HOG(RGB);18.769289;2856;952;176;32;64
HOG(RGB);18.492140;1960;160;192;32;64
HOG(RGB);18.127232;7228;0;200;32;64
HOG(RGB);18.086208;3004;816;256;48;96
HOG(RGB);18.064007;1324;80;120;32;64
HOG(RGB);18.043716;6624;320;232;32;64
HOG(RGB);18.027069;2904;312;175;32;64
HOG(RGB);17.985256;1960;120;200;32;64
HOG(RGB);17.976696;5088;1128;176;32;64
HOG(RGB);17.955372;3500;1188;172;48;96
HOG(RGB);17.839935;2856;1032;192;32;64
HOG(RGB);17.839073;4980;324;244;48;96
HOG(RGB);17.779205;3476;488;159;32;64
HOG(RGB);17.762690;7358;272;264;32;64
HOG(RGB);17.718170;4110;1008;200;32;64
HOG(RGB);17.671373;5404;1096;200;32;64
HOG(RGB);17.556927;5076;1200;152;32;64
HOG(RGB);17.543516;2622;256;240;64;128
HOG(RGB);17.492294;3866;928;288;32;64
HOG(RGB);17.487804;7358;256;240;32;64
HOG(RGB);17.416191;7358;272;240;32;64
HOG(RGB);17.387985;4434;24;240;32;64
HOG(RGB);17.379778;5404;1016;192;32;64
HOG(RGB);17.372818;3542;144;268;48;96
HOG(RGB);17.366655;7436;160;223;32;64
HOG(RGB);17.365444;1126;152;152;32;64
HOG(RGB);17.364365;3542;152;272;32;64
HOG(RGB);17.328051;1446;224;168;32;64
HOG(RGB);17.304493;1968;296;280;32;64
HOG(RGB);17.303368;5404;960;176;32;64
HOG(RGB);17.273861;4094;1112;240;32;64
HOG(RGB);17.272110;2856;912;176;32;64
HOG(RGB);17.258816;6902;1192;184;32;64
HOG(RGB);17.189684;244;800;192;32;64
HOG(RGB);17.183048;1456;376;240;32;64
HOG(RGB);17.098270;4246;976;216;32;64
HOG(RGB);17.095812;446;392;216;32;64
HOG(RGB);17.088295;1960;144;200;32;64
HOG(RGB);17.085484;7228;0;224;32;64
HOG(RGB);17.085243;2812;1144;296;32;64
HOG(RGB);17.085131;2856;1024;184;32;64
HOG(RGB);17.062187;6150;1040;216;32;64
HOG(RGB);17.022186;6904;920;248;32;64
HOG(RGB);16.995037;2856;920;184;32;64
HOG(RGB);16.886908;2452;1152;136;32;64
HOG(RGB);16.854328;5030;832;231;32;64
HOG(RGB);16.844242;5054;216;232;48;96
HOG(RGB);16.837103;90;880;208;32;64
HOG(RGB);16.803823;2398;1176;264;32;64
HOG(RGB);16.790554;694;56;168;32;64
HOG(RGB);16.786459;5388;336;248;32;64
HOG(RGB);16.776697;3998;392;192;32;64
HOG(RGB);16.767019;976;824;288;32;64
HOG(RGB);16.761019;2856;928;176;32;64
HOG(RGB);16.751068;7228;8;208;32;64
HOG(RGB);16.738710;5448;80;200;32;64
HOG(RGB);16.711481;6478;328;224;32;64
HOG(RGB);16.691130;7228;8;176;32;64
HOG(RGB);16.607796;5372;80;216;32;64
HOG(RGB);16.606321;442;1072;224;32;64
HOG(RGB);16.597351;7246;224;280;32;64
HOG(RGB);16.575661;3640;16;256;32;64
HOG(RGB);16.567574;2332;904;272;32;64
HOG(RGB);16.563639;2856;1056;200;32;64
HOG(RGB);16.558977;3138;200;216;32;64
HOG(RGB);16.541882;964;896;200;32;64
HOG(RGB);16.537968;1716;576;207;32;64
HOG(RGB);16.526810;2306;1164;196;48;96
HOG(RGB);16.523024;7192;1008;224;32;64
HOG(RGB);16.499817;32;832;264;32;64
HOG(RGB);16.478357;6400;696;256;32;64
HOG(RGB);16.474813;7228;0;172;48;96
HOG(RGB);16.447863;3442;160;112;80;160
HOG(RGB);16.423607;4110;996;196;48;96
HOG(RGB);16.413256;6026;880;280;32;64
HOG(RGB);16.403278;6856;248;272;32;64
HOG(RGB);16.400871;608;120;112;32;64
HOG(RGB);16.392906;1044;200;176;32;64
HOG(RGB);16.391747;4532;792;120;32;64
HOG(RGB);16.364893;7358;252;244;48;96
HOG(RGB);16.361938;2934;576;268;48;96
HOG(RGB);16.334959;928;1020;194;48;96
HOG(RGB);16.332130;2856;1048;192;32;64
HOG(RGB);16.321131;2966;180;183;48;96
HOG(RGB);16.296284;6478;344;224;32;64
HOG(RGB);16.294441;3312;832;160;32;64
HOG(RGB);16.270027;4248;176;288;32;64
HOG(RGB);16.234144;4268;832;239;64;128
HOG(RGB);16.217064;1992;84;256;48;96
HOG(RGB);16.196362;6088;900;255;48;96
HOG(RGB);16.189951;6768;776;168;32;64
HOG(RGB);16.185282;764;780;206;48;96
HOG(RGB);16.178339;1462;1080;280;32;64
HOG(RGB);16.165983;4148;224;288;32;64
HOG(RGB);16.162931;2282;144;171;48;96
HOG(RGB);16.153723;4682;24;248;32;64
HOG(RGB);16.141127;5184;1088;240;32;64
HOG(RGB);16.137701;3128;384;208;48;96
HOG(RGB);16.123444;4254;24;232;32;64
