Name;Score;ImageNumber;X;Y;Width;Height
RAW(RGB);5.482028;0;272;143;32;64
RAW(RGB);5.120418;0;56;183;32;64
RAW(RGB);5.118847;0;408;119;32;64
RAW(RGB);5.024508;0;256;151;32;64
RAW(RGB);5.001720;10;368;224;64;128
RAW(RGB);4.757236;10;408;232;32;64
RAW(RGB);4.662897;0;112;127;64;128
RAW(RGB);4.661325;0;632;183;32;64
RAW(RGB);4.640110;0;64;191;32;64
RAW(RGB);4.638539;0;408;223;32;64
RAW(RGB);4.544199;146;992;192;64;128
RAW(RGB);4.299715;8;348;256;48;96
RAW(RGB);4.276928;236;152;216;32;64
RAW(RGB);4.182589;20;1008;144;64;128
RAW(RGB);4.181018;178;840;232;48;96
RAW(RGB);3.819407;736;224;248;32;64
RAW(RGB);2.199999;5058;1088;168;32;64
RAW(RGB);2.199997;3582;260;212;80;160
RAW(RGB);2.199997;2810;176;176;32;64
RAW(RGB);2.199997;2056;96;160;32;64
RAW(RGB);2.199996;846;176;160;32;64
RAW(RGB);2.199996;2550;320;144;32;64
RAW(RGB);2.199995;3856;168;194;48;96
RAW(RGB);2.199995;3964;112;176;32;64
RAW(RGB);2.199995;7230;1088;176;64;128
RAW(RGB);2.199994;1094;72;232;48;96
RAW(RGB);2.199994;3022;0;160;96;192
RAW(RGB);2.199993;5930;1064;152;32;64
RAW(RGB);2.199992;4902;1056;216;32;64
RAW(RGB);2.199991;1964;288;280;32;64
RAW(RGB);2.199990;3282;144;144;64;128
RAW(RGB);2.199989;1026;760;224;32;64
RAW(RGB);2.199989;3638;120;148;48;96
RAW(RGB);2.199987;7370;852;172;48;96
RAW(RGB);2.199986;920;72;112;32;64
RAW(RGB);2.199986;1978;72;216;32;64
RAW(RGB);2.199985;5200;1192;256;32;64
RAW(RGB);2.199985;5274;936;168;32;64
RAW(RGB);2.199981;2206;1032;207;48;96
RAW(RGB);2.199981;4882;1080;280;32;64
RAW(RGB);2.199980;5744;840;218;48;96
RAW(RGB);2.199980;2114;1176;176;32;64
RAW(RGB);2.199980;3082;408;184;32;64
RAW(RGB);2.199978;6904;784;240;64;128
RAW(RGB);2.199977;994;176;288;32;64
RAW(RGB);2.199976;3382;88;176;32;64
RAW(RGB);2.199975;4856;1136;176;32;64
RAW(RGB);2.199974;974;968;232;32;64
RAW(RGB);2.199974;5424;192;148;48;96
RAW(RGB);2.199973;58;144;175;32;64
RAW(RGB);2.199971;1288;368;240;64;128
RAW(RGB);2.199969;1912;338;136;104;208
RAW(RGB);2.199968;724;824;256;32;64
RAW(RGB);2.199968;3958;936;240;32;64
RAW(RGB);2.199967;1300;816;223;64;128
RAW(RGB);2.199966;5450;28;140;112;224
RAW(RGB);2.199966;2860;1144;247;32;64
RAW(RGB);2.199964;1692;712;199;32;64
RAW(RGB);2.199964;4560;432;208;32;64
RAW(RGB);2.199963;3782;912;160;64;128
RAW(RGB);2.199963;1784;876;268;48;96
RAW(RGB);2.199962;716;1120;160;32;64
RAW(RGB);2.199962;7310;160;127;32;64
RAW(RGB);2.199961;5528;80;256;32;64
RAW(RGB);2.199960;4926;832;176;64;128
RAW(RGB);2.199960;1234;944;176;32;64
RAW(RGB);2.199959;446;1008;176;32;64
RAW(RGB);2.199959;6806;1208;272;32;64
RAW(RGB);2.199957;6120;636;172;48;96
RAW(RGB);2.199956;2898;1024;127;64;128
RAW(RGB);2.199956;446;1008;128;64;128
RAW(RGB);2.199956;3948;1128;160;96;192
RAW(RGB);2.199955;7300;944;176;64;128
RAW(RGB);2.199955;4116;592;127;64;128
RAW(RGB);2.199955;2784;776;128;32;64
RAW(RGB);2.199955;468;1056;208;64;128
RAW(RGB);2.199954;2632;1080;160;96;192
RAW(RGB);2.199954;6596;1056;136;48;96
RAW(RGB);2.199953;6626;1080;216;32;64
RAW(RGB);2.199953;4292;0;264;32;64
RAW(RGB);2.199953;3842;888;146;48;96
RAW(RGB);2.199952;6688;824;200;32;64
RAW(RGB);2.199952;996;168;200;32;64
RAW(RGB);2.199951;164;1100;132;80;160
RAW(RGB);2.199950;5912;1048;120;32;64
RAW(RGB);2.199950;2304;1048;224;32;64
RAW(RGB);2.199949;4840;1008;224;64;128
RAW(RGB);2.199948;1682;320;176;64;128
RAW(RGB);2.199947;2140;740;172;80;160
RAW(RGB);2.199946;870;1092;184;48;96
RAW(RGB);2.199946;5678;1016;208;32;64
RAW(RGB);2.199945;4944;728;138;112;224
RAW(RGB);2.199944;6914;960;244;48;96
RAW(RGB);2.199944;5218;160;239;32;64
RAW(RGB);2.199943;3076;720;224;64;128
RAW(RGB);2.199942;5162;1152;224;32;64
RAW(RGB);2.199941;1398;1000;176;32;64
RAW(RGB);2.199940;5490;40;192;32;64
RAW(RGB);2.199940;5624;1088;288;32;64
RAW(RGB);2.199939;4264;1064;136;32;64
RAW(RGB);2.199939;6982;936;216;32;64
RAW(RGB);2.199939;3654;688;248;32;64
RAW(RGB);2.199938;520;184;207;32;64
RAW(RGB);2.199937;906;560;192;64;128
RAW(RGB);2.199935;5456;1040;112;64;128
RAW(RGB);2.199935;7072;216;220;48;96
RAW(RGB);2.199935;2090;60;212;80;160
RAW(RGB);2.199934;5048;56;232;32;64
RAW(RGB);2.199934;628;752;272;32;64
RAW(RGB);2.199934;3714;360;216;32;64
RAW(RGB);2.199934;5178;240;232;32;64
RAW(RGB);2.199933;4288;1020;148;48;96
RAW(RGB);2.199932;6166;852;172;48;96
RAW(RGB);2.199931;884;736;192;32;64
RAW(RGB);2.199929;250;288;288;32;64
RAW(RGB);2.199929;1608;1040;144;64;128
RAW(RGB);2.199929;2066;980;152;80;160
RAW(RGB);2.199927;3360;1024;240;32;64
RAW(RGB);2.199926;1702;1016;112;32;64
RAW(RGB);2.199926;2784;928;192;64;128
RAW(RGB);2.199925;1666;264;240;32;64
RAW(RGB);2.199924;2584;880;160;64;128
RAW(RGB);2.199923;408;1040;168;32;64
RAW(RGB);2.199922;5762;928;240;32;64
RAW(RGB);2.199922;1204;640;152;32;64
RAW(RGB);2.199921;2584;936;172;48;96
RAW(RGB);2.199921;948;1080;192;80;160
RAW(RGB);2.199920;2058;144;146;48;96
RAW(RGB);2.199920;4936;1008;232;32;64
RAW(RGB);2.199919;646;808;111;32;64
RAW(RGB);2.199919;7166;1056;196;48;96
RAW(RGB);2.199918;558;1024;208;32;64
