Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+RAW(RGB);28.750328;3984;816;264;32;64
HOG(RGB)+RAW(RGB);28.478218;3542;136;272;32;64
HOG(RGB)+RAW(RGB);28.164070;2300;80;296;32;64
HOG(RGB)+RAW(RGB);28.122265;6006;176;279;32;64
HOG(RGB)+RAW(RGB);27.962818;4118;880;200;32;64
HOG(RGB)+RAW(RGB);27.912178;3172;1040;216;32;64
HOG(RGB)+RAW(RGB);27.768988;244;776;272;32;64
HOG(RGB)+RAW(RGB);27.461069;1232;80;224;32;64
HOG(RGB)+RAW(RGB);27.405100;176;856;288;32;64
HOG(RGB)+RAW(RGB);27.122097;2156;632;231;32;64
HOG(RGB)+RAW(RGB);27.109509;4764;232;272;32;64
HOG(RGB)+RAW(RGB);27.070097;1366;1080;231;48;96
HOG(RGB)+RAW(RGB);26.832279;316;1208;264;32;64
HOG(RGB)+RAW(RGB);26.791452;1462;1080;280;32;64
HOG(RGB)+RAW(RGB);26.787548;1606;1072;272;32;64
HOG(RGB)+RAW(RGB);26.734724;6478;352;216;32;64
HOG(RGB)+RAW(RGB);26.659302;5362;904;280;32;64
HOG(RGB)+RAW(RGB);26.556841;4532;12;148;48;96
HOG(RGB)+RAW(RGB);26.508745;2856;1104;200;32;64
HOG(RGB)+RAW(RGB);26.466913;7228;0;176;32;64
HOG(RGB)+RAW(RGB);26.452555;4434;24;240;32;64
HOG(RGB)+RAW(RGB);26.432676;3416;160;240;32;64
HOG(RGB)+RAW(RGB);26.342527;5088;1136;176;32;64
HOG(RGB)+RAW(RGB);26.325666;1044;192;176;32;64
HOG(RGB)+RAW(RGB);26.300264;2332;904;264;32;64
HOG(RGB)+RAW(RGB);26.155209;5132;112;136;32;64
HOG(RGB)+RAW(RGB);26.153917;764;800;223;32;64
HOG(RGB)+RAW(RGB);26.133207;4442;496;200;32;64
HOG(RGB)+RAW(RGB);25.980135;3690;104;280;32;64
HOG(RGB)+RAW(RGB);25.978924;142;840;264;32;64
HOG(RGB)+RAW(RGB);25.880024;7342;208;152;32;64
HOG(RGB)+RAW(RGB);25.804209;4492;64;176;32;64
HOG(RGB)+RAW(RGB);25.773470;1606;1088;288;32;64
HOG(RGB)+RAW(RGB);25.755430;2966;184;216;32;64
HOG(RGB)+RAW(RGB);25.752640;1476;12;268;48;96
HOG(RGB)+RAW(RGB);25.741835;2340;1168;200;32;64
HOG(RGB)+RAW(RGB);25.724506;682;232;168;32;64
HOG(RGB)+RAW(RGB);25.669857;7342;112;160;32;64
HOG(RGB)+RAW(RGB);25.641310;3598;40;232;32;64
HOG(RGB)+RAW(RGB);25.580633;6984;56;200;32;64
HOG(RGB)+RAW(RGB);25.535706;6952;104;304;32;64
HOG(RGB)+RAW(RGB);25.501724;5404;992;184;32;64
HOG(RGB)+RAW(RGB);25.485966;7228;0;216;32;64
HOG(RGB)+RAW(RGB);25.473688;2856;1016;192;32;64
HOG(RGB)+RAW(RGB);25.470612;2156;520;255;32;64
HOG(RGB)+RAW(RGB);25.448540;342;224;264;32;64
HOG(RGB)+RAW(RGB);25.443380;694;304;144;32;64
HOG(RGB)+RAW(RGB);25.432926;4392;128;304;32;64
HOG(RGB)+RAW(RGB);25.418909;4446;224;216;32;64
HOG(RGB)+RAW(RGB);25.349827;2386;1104;160;32;64
HOG(RGB)+RAW(RGB);25.325741;2496;16;224;32;64
HOG(RGB)+RAW(RGB);25.296261;2462;968;200;32;64
HOG(RGB)+RAW(RGB);25.263147;3744;1016;224;32;64
HOG(RGB)+RAW(RGB);25.241051;1630;232;144;32;64
HOG(RGB)+RAW(RGB);25.204086;4860;104;288;32;64
HOG(RGB)+RAW(RGB);25.165464;3434;984;304;32;64
HOG(RGB)+RAW(RGB);25.146257;1648;1024;239;32;64
HOG(RGB)+RAW(RGB);25.063610;6984;48;208;32;64
HOG(RGB)+RAW(RGB);24.986992;952;688;272;32;64
HOG(RGB)+RAW(RGB);24.982874;172;832;264;32;64
HOG(RGB)+RAW(RGB);24.972178;442;1072;232;32;64
HOG(RGB)+RAW(RGB);24.899323;7358;280;264;32;64
HOG(RGB)+RAW(RGB);24.851818;928;1008;175;64;128
HOG(RGB)+RAW(RGB);24.795803;3374;72;199;32;64
HOG(RGB)+RAW(RGB);24.794388;284;40;232;32;64
HOG(RGB)+RAW(RGB);24.786602;4268;816;195;48;96
HOG(RGB)+RAW(RGB);24.775520;2414;216;184;32;64
HOG(RGB)+RAW(RGB);24.740932;2160;176;152;32;64
