Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
SDDG[S]_round0;101;1221371;2451;1730;0.055161;0.002003;0.039577;0.055161;0.046087;10.255230;0.944839;3.965751;-30.000000;640,2860,2580,940,2520,2720,3080,3660,2740,2820,2920,3820,1300,3640,1060,1360,2600,920,2980,1160,1540,660,2840,1380,840,1040,2900,540,1320,680,360,2620,2880,560,1500,1620,3060,3120,3860,960,2560,3000,1120,3020,3900,3960,60,600,1280,1420
SDDG[S]_round0;103;1221299;2523;1728;0.056253;0.002062;0.039223;0.056253;0.046219;10.556485;0.943747;3.965751;-29.799999;640,2860,2580,940,2520,3660,2720,3080,2740,2820,2920,3820,1300,2980,3640,920,2600,1060,1360,1540,1160,660,2840,1380,840,1040,1320,2900,540,680,3860,360,1620,2620,2880,3000,560,1500,2560,3060,3120,960,3020,1120,3900,3960,60,600,3520,1280
SDDG[S]_round0;106;1221216;2606;1725;0.057892;0.002129;0.039086;0.057892;0.046665;10.903766;0.942108;3.965751;-29.600000;640,2860,2580,2520,940,2720,3660,3080,2740,2820,2920,3820,1300,1540,2980,3640,920,1360,2600,660,1060,1160,2840,1380,840,540,1040,1320,2900,3860,680,2560,2880,3120,360,1500,1620,2620,3000,3060,560,960,3020,1120,3900,600,3340,3360,3520,3960
SDDG[S]_round0;106;1221113;2709;1725;0.057892;0.002214;0.037655;0.057892;0.045631;11.334728;0.942108;3.965751;-29.400000;640,2860,2580,940,2520,2720,3080,3660,2920,2820,2740,3820,1300,1540,3640,1360,660,2980,920,1060,2600,1160,1380,2840,840,540,680,3860,1040,2900,1320,2560,1500,2620,2880,3120,1620,3000,3060,360,3360,560,3020,960,1120,3340,3900,3960,480,600
SDDG[S]_round0;108;1221014;2808;1723;0.058984;0.002294;0.037037;0.058984;0.045502;11.748954;0.941016;3.965751;-29.200001;640,2860,2580,940,2520,2720,3080,3660,2820,2920,2740,3820,1300,1540,1360,3640,660,2980,920,1060,1380,2600,2840,1160,840,540,680,2900,3860,1040,3060,1320,2560,2620,2880,3000,3120,3360,1500,1620,960,360,3340,560,3020,1120,1340,3900,3960,60
SDDG[S]_round0;110;1220905;2917;1721;0.060076;0.002384;0.036340;0.060076;0.045286;12.205021;0.939924;3.965751;-29.000000;640,2860,940,2580,2520,3080,2720,3660,2740,2820,2920,3820,1300,1540,1360,2980,660,3640,920,2600,1060,1160,1380,840,2840,540,680,2900,1040,3060,3860,2880,3000,1320,2560,1620,2620,3120,3360,960,1500,360,3340,3020,560,1120,60,1340,3520,3900
SDDG[S]_round0;112;1220812;3010;1719;0.061169;0.002460;0.035874;0.061169;0.045225;12.594142;0.938831;3.965751;-28.799999;640,2860,940,2580,2520,3080,2720,3660,2740,2820,1300,2920,2980,3820,1360,1540,920,2600,660,3640,1060,840,1160,1380,3860,2840,540,680,2900,1040,3000,3060,1620,2880,3120,1320,2560,2620,3340,3360,960,360,1500,560,3020,3900,1120,3960,60,600
SDDG[S]_round0;113;1220731;3091;1718;0.061715;0.002526;0.035268;0.061715;0.044886;12.933054;0.938285;3.965751;-28.600000;640,2860,940,2580,2520,3080,2740,3660,2720,2820,3820,1300,2920,2980,1540,1360,920,660,2600,3640,1060,1380,680,840,1160,3860,2840,3060,540,2900,1040,3000,1620,2560,960,2620,2880,3120,3360,1320,3340,1500,360,3020,560,3900,1020,1120,1520,3960
SDDG[S]_round0;119;1220642;3180;1712;0.064992;0.002598;0.036072;0.064992;0.046394;13.305439;0.935008;3.965751;-28.400000;640,2860,940,2580,3080,2520,2720,2740,1540,3660,2980,2820,3820,1300,2920,1360,920,660,2600,3640,1060,1380,840,1160,2840,3860,680,3060,540,1040,2900,3000,3120,1320,1620,2560,2880,3360,960,2620,3020,3340,1500,360,560,3900,1340,3960,480,600
SDDG[S]_round0;121;1220533;3289;1710;0.066084;0.002687;0.035484;0.066084;0.046174;13.761506;0.933916;3.965751;-28.200001;640,2860,940,2580,3080,2520,2720,2740,2820,2980,3660,1540,3820,1300,2920,920,1360,2600,660,3640,1060,680,1160,1380,2840,3860,840,3060,2900,540,1040,3000,3120,1620,2880,2560,2620,960,1320,3340,3360,3020,360,1500,480,560,1520,3900,3960,1120
