Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(Depth)+HOG(RGB)_round0;7;7482;0;2197;0.003176;0.000000;1.000000;0.003176;0.006332;-1.000000;0.996824;1.104790;-30.000000;
HOG(Depth)+HOG(RGB)_round0;7;7482;0;2197;0.003176;0.000000;1.000000;0.003176;0.006332;-1.000000;0.996824;1.104790;-29.799999;
HOG(Depth)+HOG(RGB)_round0;7;7482;0;2197;0.003176;0.000000;1.000000;0.003176;0.006332;-1.000000;0.996824;1.104790;-29.600000;
HOG(Depth)+HOG(RGB)_round0;7;7482;0;2197;0.003176;0.000000;1.000000;0.003176;0.006332;-1.000000;0.996824;1.104790;-29.400000;
HOG(Depth)+HOG(RGB)_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.104790;-29.200001;
HOG(Depth)+HOG(RGB)_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.104790;-29.000000;
HOG(Depth)+HOG(RGB)_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.104790;-28.799999;
HOG(Depth)+HOG(RGB)_round0;10;7482;0;2194;0.004537;0.000000;1.000000;0.004537;0.009033;-1.000000;0.995463;1.104790;-28.600000;
HOG(Depth)+HOG(RGB)_round0;10;7482;0;2194;0.004537;0.000000;1.000000;0.004537;0.009033;-1.000000;0.995463;1.104790;-28.400000;
HOG(Depth)+HOG(RGB)_round0;11;7482;0;2193;0.004991;0.000000;1.000000;0.004991;0.009932;-1.000000;0.995009;1.104790;-28.200001;
HOG(Depth)+HOG(RGB)_round0;12;7482;0;2192;0.005445;0.000000;1.000000;0.005445;0.010830;-1.000000;0.994555;1.104790;-28.000000;
HOG(Depth)+HOG(RGB)_round0;12;7482;0;2192;0.005445;0.000000;1.000000;0.005445;0.010830;-1.000000;0.994555;1.104790;-27.799999;
HOG(Depth)+HOG(RGB)_round0;15;7482;0;2189;0.006806;0.000000;1.000000;0.006806;0.013520;-1.000000;0.993194;1.104790;-27.600000;
HOG(Depth)+HOG(RGB)_round0;15;7482;0;2189;0.006806;0.000000;1.000000;0.006806;0.013520;-1.000000;0.993194;1.104790;-27.400000;
HOG(Depth)+HOG(RGB)_round0;17;7482;0;2187;0.007713;0.000000;1.000000;0.007713;0.015308;-1.000000;0.992287;1.104790;-27.200001;
HOG(Depth)+HOG(RGB)_round0;18;7482;0;2186;0.008167;0.000000;1.000000;0.008167;0.016202;-1.000000;0.991833;1.104790;-27.000000;
HOG(Depth)+HOG(RGB)_round0;18;7482;0;2186;0.008167;0.000000;1.000000;0.008167;0.016202;-1.000000;0.991833;1.104790;-26.799999;
HOG(Depth)+HOG(RGB)_round0;22;7482;0;2182;0.009982;0.000000;1.000000;0.009982;0.019766;-1.000000;0.990018;1.104790;-26.600000;
HOG(Depth)+HOG(RGB)_round0;23;7482;0;2181;0.010436;0.000000;1.000000;0.010436;0.020656;-1.000000;0.989564;1.104790;-26.400000;
HOG(Depth)+HOG(RGB)_round0;27;7482;0;2177;0.012250;0.000000;1.000000;0.012250;0.024204;-1.000000;0.987750;1.104790;-26.200001;
HOG(Depth)+HOG(RGB)_round0;30;7482;0;2174;0.013612;0.000000;1.000000;0.013612;0.026858;-1.000000;0.986388;1.104790;-26.000000;
HOG(Depth)+HOG(RGB)_round0;32;7482;0;2172;0.014519;0.000000;1.000000;0.014519;0.028623;-1.000000;0.985481;1.104790;-25.799999;
HOG(Depth)+HOG(RGB)_round0;37;7482;0;2167;0.016788;0.000000;1.000000;0.016788;0.033021;-1.000000;0.983212;1.104790;-25.600000;
HOG(Depth)+HOG(RGB)_round0;38;7482;0;2166;0.017241;0.000000;1.000000;0.017241;0.033898;-1.000000;0.982759;1.104790;-25.400000;
HOG(Depth)+HOG(RGB)_round0;40;7482;0;2164;0.018149;0.000000;1.000000;0.018149;0.035651;-1.000000;0.981851;1.104790;-25.200001;
HOG(Depth)+HOG(RGB)_round0;45;7482;0;2159;0.020417;0.000000;1.000000;0.020417;0.040018;-1.000000;0.979583;1.104790;-25.000000;
HOG(Depth)+HOG(RGB)_round0;49;7482;0;2155;0.022232;0.000000;1.000000;0.022232;0.043498;-1.000000;0.977768;1.104790;-24.799999;
HOG(Depth)+HOG(RGB)_round0;51;7482;0;2153;0.023140;0.000000;1.000000;0.023140;0.045233;-1.000000;0.976860;1.104790;-24.600000;
HOG(Depth)+HOG(RGB)_round0;52;7482;0;2152;0.023593;0.000000;1.000000;0.023593;0.046099;-1.000000;0.976407;1.104790;-24.400000;
HOG(Depth)+HOG(RGB)_round0;56;7482;0;2148;0.025408;0.000000;1.000000;0.025408;0.049558;-1.000000;0.974592;1.104790;-24.200001;
HOG(Depth)+HOG(RGB)_round0;58;7482;0;2146;0.026316;0.000000;1.000000;0.026316;0.051282;-1.000000;0.973684;1.104790;-24.000000;
