Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(RGB)+HONV_round0;4;7482;0;2200;0.001815;0.000000;1.000000;0.001815;0.003623;-1.000000;0.998185;1.380343;-30.000000;
HOG(RGB)+HONV_round0;5;7482;0;2199;0.002269;0.000000;1.000000;0.002269;0.004527;-1.000000;0.997731;1.380343;-29.799999;
HOG(RGB)+HONV_round0;5;7482;0;2199;0.002269;0.000000;1.000000;0.002269;0.004527;-1.000000;0.997731;1.380343;-29.600000;
HOG(RGB)+HONV_round0;7;7482;0;2197;0.003176;0.000000;1.000000;0.003176;0.006332;-1.000000;0.996824;1.380343;-29.400000;
HOG(RGB)+HONV_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.380343;-29.200001;
HOG(RGB)+HONV_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.380343;-29.000000;
HOG(RGB)+HONV_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.380343;-28.799999;
HOG(RGB)+HONV_round0;9;7482;0;2195;0.004083;0.000000;1.000000;0.004083;0.008134;-1.000000;0.995917;1.380343;-28.600000;
HOG(RGB)+HONV_round0;10;7482;0;2194;0.004537;0.000000;1.000000;0.004537;0.009033;-1.000000;0.995463;1.380343;-28.400000;
HOG(RGB)+HONV_round0;10;7482;0;2194;0.004537;0.000000;1.000000;0.004537;0.009033;-1.000000;0.995463;1.380343;-28.200001;
HOG(RGB)+HONV_round0;12;7482;0;2192;0.005445;0.000000;1.000000;0.005445;0.010830;-1.000000;0.994555;1.380343;-28.000000;
HOG(RGB)+HONV_round0;14;7482;0;2190;0.006352;0.000000;1.000000;0.006352;0.012624;-1.000000;0.993648;1.380343;-27.799999;
HOG(RGB)+HONV_round0;15;7482;0;2189;0.006806;0.000000;1.000000;0.006806;0.013520;-1.000000;0.993194;1.380343;-27.600000;
