Name;Score;ImageNumber;X;Y;Width;Height
CenSurE(RGB)+HOG(RGB);10.156437;1140;600;194;32;64
CenSurE(RGB)+HOG(RGB);10.131283;1104;32;162;32;64
CenSurE(RGB)+HOG(RGB);9.348397;2620;184;178;32;64
CenSurE(RGB)+HOG(RGB);9.228092;2216;192;186;32;64
CenSurE(RGB)+HOG(RGB);9.085256;4160;128;345;64;128
CenSurE(RGB)+HOG(RGB);9.082042;3900;296;218;32;64
CenSurE(RGB)+HOG(RGB);9.069628;3328;456;189;48;96
CenSurE(RGB)+HOG(RGB);9.002931;4236;0;274;80;160
CenSurE(RGB)+HOG(RGB);8.931790;2052;224;178;32;64
CenSurE(RGB)+HOG(RGB);8.834518;2632;56;210;32;64
CenSurE(RGB)+HOG(RGB);8.825044;3592;408;186;32;64
CenSurE(RGB)+HOG(RGB);8.823073;1148;480;177;48;96
CenSurE(RGB)+HOG(RGB);8.812040;1076;136;178;32;64
CenSurE(RGB)+HOG(RGB);8.804092;1324;552;201;48;96
CenSurE(RGB)+HOG(RGB);8.775527;3032;224;185;64;128
CenSurE(RGB)+HOG(RGB);8.761141;668;540;153;48;96
CenSurE(RGB)+HOG(RGB);8.736589;952;568;266;32;64
CenSurE(RGB)+HOG(RGB);8.723658;1468;120;258;32;64
CenSurE(RGB)+HOG(RGB);8.707884;188;208;178;32;64
CenSurE(RGB)+HOG(RGB);8.656487;1452;396;225;48;96
CenSurE(RGB)+HOG(RGB);8.648416;1480;88;266;32;64
CenSurE(RGB)+HOG(RGB);8.620791;2148;192;226;32;64
CenSurE(RGB)+HOG(RGB);8.579636;3644;24;225;96;192
CenSurE(RGB)+HOG(RGB);8.574591;396;376;170;32;64
CenSurE(RGB)+HOG(RGB);8.573705;4620;312;194;32;64
CenSurE(RGB)+HOG(RGB);8.566010;268;560;313;64;128
CenSurE(RGB)+HOG(RGB);8.560310;4412;40;202;32;64
CenSurE(RGB)+HOG(RGB);8.557192;3488;372;153;48;96
CenSurE(RGB)+HOG(RGB);8.551973;664;48;153;64;128
CenSurE(RGB)+HOG(RGB);8.546053;964;204;309;48;96
CenSurE(RGB)+HOG(RGB);8.501758;308;112;217;64;128
CenSurE(RGB)+HOG(RGB);8.496851;4656;480;194;32;64
CenSurE(RGB)+HOG(RGB);8.492671;2996;456;298;32;64
CenSurE(RGB)+HOG(RGB);8.488888;3020;560;234;32;64
CenSurE(RGB)+HOG(RGB);8.467290;4612;276;225;48;96
CenSurE(RGB)+HOG(RGB);8.449573;3772;420;165;48;96
CenSurE(RGB)+HOG(RGB);8.443069;216;40;194;32;64
CenSurE(RGB)+HOG(RGB);8.422986;3724;252;153;48;96
CenSurE(RGB)+HOG(RGB);8.412028;3108;24;194;32;64
CenSurE(RGB)+HOG(RGB);8.411013;1456;564;153;48;96
CenSurE(RGB)+HOG(RGB);8.410419;4712;24;250;32;64
CenSurE(RGB)+HOG(RGB);8.397614;3008;456;186;32;64
CenSurE(RGB)+HOG(RGB);8.392107;4244;320;194;32;64
CenSurE(RGB)+HOG(RGB);8.388352;1376;56;236;112;224
CenSurE(RGB)+HOG(RGB);8.384568;2908;584;154;32;64
CenSurE(RGB)+HOG(RGB);8.376743;1364;240;346;32;64
CenSurE(RGB)+HOG(RGB);8.361166;852;480;177;48;96
CenSurE(RGB)+HOG(RGB);8.359113;4620;112;410;32;64
CenSurE(RGB)+HOG(RGB);8.355268;2656;500;214;80;160
CenSurE(RGB)+HOG(RGB);8.350411;976;256;386;32;64
CenSurE(RGB)+HOG(RGB);8.341194;3240;496;169;64;128
CenSurE(RGB)+HOG(RGB);8.339309;2492;56;266;32;64
CenSurE(RGB)+HOG(RGB);8.337928;4736;128;178;32;64
CenSurE(RGB)+HOG(RGB);8.330547;4304;392;170;32;64
CenSurE(RGB)+HOG(RGB);8.324123;3396;288;153;48;96
CenSurE(RGB)+HOG(RGB);8.323000;3796;480;386;32;64
CenSurE(RGB)+HOG(RGB);8.320865;2576;320;154;32;64
CenSurE(RGB)+HOG(RGB);8.319968;3692;400;186;32;64
CenSurE(RGB)+HOG(RGB);8.316704;3780;256;218;32;64
CenSurE(RGB)+HOG(RGB);8.316002;2560;64;210;32;64
CenSurE(RGB)+HOG(RGB);8.307425;3336;456;189;48;96
CenSurE(RGB)+HOG(RGB);8.288585;2352;8;282;32;64
CenSurE(RGB)+HOG(RGB);8.278421;4236;120;194;32;64
CenSurE(RGB)+HOG(RGB);8.275344;804;464;178;32;64
CenSurE(RGB)+HOG(RGB);8.273467;1444;20;314;80;160
CenSurE(RGB)+HOG(RGB);8.271399;104;424;258;32;64
CenSurE(RGB)+HOG(RGB);8.270579;3868;200;186;32;64
CenSurE(RGB)+HOG(RGB);8.267093;2736;432;226;32;64
CenSurE(RGB)+HOG(RGB);8.265086;2120;416;361;64;128
CenSurE(RGB)+HOG(RGB);8.263794;2740;440;306;32;64
CenSurE(RGB)+HOG(RGB);8.258546;1252;552;218;32;64
CenSurE(RGB)+HOG(RGB);8.233669;2516;160;186;32;64
CenSurE(RGB)+HOG(RGB);8.225772;4240;120;242;32;64
CenSurE(RGB)+HOG(RGB);8.222417;3016;372;201;48;96
CenSurE(RGB)+HOG(RGB);8.222334;3776;352;186;32;64
CenSurE(RGB)+HOG(RGB);8.220730;1340;0;182;120;240
CenSurE(RGB)+HOG(RGB);8.206692;2660;24;210;32;64
CenSurE(RGB)+HOG(RGB);8.206408;3304;368;226;32;64
CenSurE(RGB)+HOG(RGB);8.194460;2716;456;306;32;64
CenSurE(RGB)+HOG(RGB);8.189321;1176;184;154;32;64
CenSurE(RGB)+HOG(RGB);8.188706;3256;420;177;48;96
CenSurE(RGB)+HOG(RGB);8.186660;1452;372;165;48;96
CenSurE(RGB)+HOG(RGB);8.185257;1412;120;213;48;96
CenSurE(RGB)+HOG(RGB);8.185081;760;252;177;48;96
CenSurE(RGB)+HOG(RGB);8.184054;3056;176;234;32;64
CenSurE(RGB)+HOG(RGB);8.179096;3256;256;194;32;64
CenSurE(RGB)+HOG(RGB);8.177903;2836;408;237;48;96
CenSurE(RGB)+HOG(RGB);8.176001;40;64;202;32;64
CenSurE(RGB)+HOG(RGB);8.167370;2104;256;153;64;128
CenSurE(RGB)+HOG(RGB);8.164163;4228;112;201;64;128
CenSurE(RGB)+HOG(RGB);8.159147;1364;112;217;64;128
CenSurE(RGB)+HOG(RGB);8.156780;4444;108;213;48;96
CenSurE(RGB)+HOG(RGB);8.148459;3472;496;154;32;64
CenSurE(RGB)+HOG(RGB);8.144375;76;540;261;48;96
CenSurE(RGB)+HOG(RGB);8.140005;1564;8;194;32;64
CenSurE(RGB)+HOG(RGB);8.136557;2368;264;226;32;64
CenSurE(RGB)+HOG(RGB);8.125800;3328;344;226;32;64
CenSurE(RGB)+HOG(RGB);8.124809;768;512;258;32;64
CenSurE(RGB)+HOG(RGB);8.123864;3952;0;216;128;256
CenSurE(RGB)+HOG(RGB);8.122908;3664;504;242;32;64
CenSurE(RGB)+HOG(RGB);8.117740;2024;208;154;32;64
CenSurE(RGB)+HOG(RGB);8.113014;1480;328;186;32;64
CenSurE(RGB)+HOG(RGB);8.111943;1292;96;213;48;96
CenSurE(RGB)+HOG(RGB);8.105800;3932;0;386;32;64
CenSurE(RGB)+HOG(RGB);8.104273;732;520;170;32;64
CenSurE(RGB)+HOG(RGB);8.099395;1144;448;242;32;64
CenSurE(RGB)+HOG(RGB);8.082667;4296;560;313;64;128
CenSurE(RGB)+HOG(RGB);8.081341;336;352;265;64;128
CenSurE(RGB)+HOG(RGB);8.079224;1240;520;210;32;64
CenSurE(RGB)+HOG(RGB);8.076732;1048;176;162;32;64
CenSurE(RGB)+HOG(RGB);8.076083;4732;32;169;64;128
CenSurE(RGB)+HOG(RGB);8.068027;4276;480;186;32;64
