Name;Score;ImageNumber;X;Y;Width;Height
GoodFts(RGB);2.927716;452;336;281;64;128
GoodFts(RGB);2.799989;3712;420;236;112;224
GoodFts(RGB);2.799985;3532;156;225;48;96
GoodFts(RGB);2.799982;1364;96;265;64;128
GoodFts(RGB);2.799981;3540;392;234;32;64
GoodFts(RGB);2.799980;332;0;333;48;96
GoodFts(RGB);2.799978;216;52;231;104;208
GoodFts(RGB);2.799973;3956;564;249;48;96
GoodFts(RGB);2.799967;3444;0;233;64;128
GoodFts(RGB);2.799962;3668;144;185;64;128
GoodFts(RGB);2.799960;2580;504;210;32;64
GoodFts(RGB);2.799960;3588;528;177;48;96
GoodFts(RGB);2.799957;3228;252;208;112;224
GoodFts(RGB);2.799948;164;30;212;120;240
GoodFts(RGB);2.799944;80;368;153;64;128
GoodFts(RGB);2.799944;3556;500;294;80;160
GoodFts(RGB);2.799943;2856;312;231;104;208
GoodFts(RGB);2.799935;2908;340;214;80;160
GoodFts(RGB);2.799933;3284;308;264;112;224
GoodFts(RGB);2.799932;3480;280;180;112;224
GoodFts(RGB);2.799931;1344;464;265;64;128
GoodFts(RGB);2.799929;836;480;154;80;160
GoodFts(RGB);2.799924;3608;584;194;32;64
GoodFts(RGB);2.799921;1416;32;266;32;64
GoodFts(RGB);2.799917;1260;216;153;96;192
GoodFts(RGB);2.799914;476;228;237;48;96
GoodFts(RGB);2.799908;3552;320;154;80;160
GoodFts(RGB);2.799904;616;512;314;32;64
GoodFts(RGB);2.799900;1140;112;162;32;64
GoodFts(RGB);2.799897;3224;280;234;32;64
GoodFts(RGB);2.799894;3336;560;185;64;128
GoodFts(RGB);2.799893;3968;360;237;48;96
GoodFts(RGB);2.799892;2688;420;214;80;160
GoodFts(RGB);2.799886;1352;408;273;96;192
GoodFts(RGB);2.799884;588;304;154;32;64
GoodFts(RGB);2.799880;2556;552;177;48;96
GoodFts(RGB);2.799880;1128;396;213;48;96
GoodFts(RGB);2.799879;4392;216;297;48;96
GoodFts(RGB);2.799878;1012;200;178;32;64
GoodFts(RGB);2.799865;1424;384;216;128;256
GoodFts(RGB);2.799865;1384;504;266;32;64
GoodFts(RGB);2.799863;3796;496;345;64;128
GoodFts(RGB);2.799858;2732;456;333;48;96
GoodFts(RGB);2.799855;1088;384;184;128;256
GoodFts(RGB);2.799854;1392;128;314;32;64
GoodFts(RGB);2.799848;80;540;297;48;96
GoodFts(RGB);2.799845;2908;152;194;32;64
GoodFts(RGB);2.799837;1052;416;162;32;64
GoodFts(RGB);2.799830;448;352;248;128;256
GoodFts(RGB);2.799828;1000;8;250;32;64
GoodFts(RGB);2.799827;2984;304;242;32;64
GoodFts(RGB);2.799826;3016;492;213;48;96
GoodFts(RGB);2.799824;496;32;170;32;64
GoodFts(RGB);2.799823;3176;528;201;64;128
GoodFts(RGB);2.799821;3736;540;234;80;160
GoodFts(RGB);2.799814;816;464;313;64;128
GoodFts(RGB);2.799811;1112;364;283;104;208
GoodFts(RGB);2.799810;2676;276;153;48;96
GoodFts(RGB);2.799806;532;140;152;112;224
GoodFts(RGB);2.799800;3672;442;205;104;208
GoodFts(RGB);2.799784;3520;144;249;64;128
GoodFts(RGB);2.799784;2520;280;180;112;224
GoodFts(RGB);2.799783;2128;260;231;104;208
GoodFts(RGB);2.799780;2840;272;242;32;64
GoodFts(RGB);2.799778;3484;408;153;96;192
GoodFts(RGB);2.799774;1320;512;185;64;128
GoodFts(RGB);2.799771;3556;440;306;32;64
GoodFts(RGB);2.799758;296;540;154;80;160
GoodFts(RGB);2.799756;3288;480;248;128;256
GoodFts(RGB);2.799755;3684;120;225;96;192
GoodFts(RGB);2.799752;752;56;180;112;224
GoodFts(RGB);2.799751;1520;528;249;48;96
GoodFts(RGB);2.799741;2844;488;306;32;64
