Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);45.826500;4416;152;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);45.658646;4344;144;378;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);44.596283;1404;512;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);44.465706;2900;104;210;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);44.231823;4344;88;274;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);43.056160;4296;80;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);43.037075;4232;128;282;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);42.944515;4228;96;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);42.862701;4292;88;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);42.731354;4660;536;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);42.639633;4412;144;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);42.598217;1396;480;402;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.690914;4368;24;357;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.642384;540;24;210;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.612942;4148;96;266;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.576378;2348;24;330;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.575405;4528;96;290;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.535778;268;576;322;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.281094;4288;88;298;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.220409;3652;96;333;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.215900;424;400;162;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);41.087093;4172;104;274;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.937447;4328;48;338;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.819675;4336;40;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.716915;4412;84;321;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.677029;4548;136;282;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.564545;4448;48;362;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.558025;3596;472;282;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.487072;616;152;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.453251;4608;72;298;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.409069;3316;224;250;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.362938;4256;200;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.264435;744;120;218;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.201706;1304;512;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.187935;4304;56;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.116879;1552;120;250;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.052265;1104;160;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.032101;400;224;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);40.003399;104;584;322;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.979568;2348;136;250;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.978302;380;272;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.842655;940;384;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.708019;2536;528;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.507236;4228;88;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.434566;3912;304;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.418655;2532;400;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.409351;4328;48;321;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.391788;4328;56;346;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.361370;1444;504;370;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.355503;3300;224;250;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.324314;1304;336;321;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.314552;4272;112;282;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.249493;4636;152;346;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.204117;388;320;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.201962;4608;64;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.147034;2600;392;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.069225;4216;296;410;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.050892;1428;504;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.043980;2716;456;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.040062;3200;8;250;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.009525;2708;296;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.002941;444;536;338;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);39.000992;4420;120;322;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);38.995064;1436;544;266;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);38.970608;4420;48;357;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);38.967102;1484;32;338;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);38.911621;2844;600;218;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);38.890766;1536;192;234;32;64
