Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+RAW(LUV);14.379114;4636;112;329;64;128
HOG(RGB)+RAW(LUV);13.059765;3024;440;214;80;160
HOG(RGB)+RAW(LUV);12.625820;380;240;233;64;128
HOG(RGB)+RAW(LUV);12.505075;304;180;314;80;160
HOG(RGB)+RAW(LUV);12.262407;3068;468;237;48;96
HOG(RGB)+RAW(LUV);12.188433;2012;64;250;32;64
HOG(RGB)+RAW(LUV);12.125545;984;360;274;80;160
HOG(RGB)+RAW(LUV);12.088578;1532;32;346;32;64
HOG(RGB)+RAW(LUV);12.071175;1280;120;242;120;240
HOG(RGB)+RAW(LUV);12.022040;1492;0;345;48;96
HOG(RGB)+RAW(LUV);11.970992;920;84;264;112;224
HOG(RGB)+RAW(LUV);11.961065;520;520;290;32;64
HOG(RGB)+RAW(LUV);11.918216;2792;156;237;48;96
HOG(RGB)+RAW(LUV);11.730650;956;360;274;80;160
HOG(RGB)+RAW(LUV);11.590488;3308;336;153;48;96
HOG(RGB)+RAW(LUV);11.500281;2348;588;237;48;96
HOG(RGB)+RAW(LUV);11.492393;144;540;189;48;96
HOG(RGB)+RAW(LUV);11.489639;4660;492;273;48;96
HOG(RGB)+RAW(LUV);11.440837;960;360;274;80;160
HOG(RGB)+RAW(LUV);11.425769;2596;128;216;128;256
HOG(RGB)+RAW(LUV);11.406128;976;360;274;80;160
HOG(RGB)+RAW(LUV);11.334830;916;544;233;64;128
HOG(RGB)+RAW(LUV);11.310196;3556;480;202;32;64
HOG(RGB)+RAW(LUV);11.276725;1160;0;329;64;128
HOG(RGB)+RAW(LUV);11.232090;388;64;248;128;256
HOG(RGB)+RAW(LUV);11.196175;968;360;274;80;160
HOG(RGB)+RAW(LUV);11.193140;2572;96;184;128;256
HOG(RGB)+RAW(LUV);11.178892;1432;368;386;32;64
HOG(RGB)+RAW(LUV);11.159795;2304;16;226;32;64
HOG(RGB)+RAW(LUV);11.144539;4152;192;249;96;192
HOG(RGB)+RAW(LUV);11.131485;1596;468;201;48;96
HOG(RGB)+RAW(LUV);11.122187;3592;32;281;64;128
HOG(RGB)+RAW(LUV);11.102817;388;128;216;128;256
HOG(RGB)+RAW(LUV);11.086327;1696;528;202;32;64
HOG(RGB)+RAW(LUV);11.047085;1540;72;298;32;64
HOG(RGB)+RAW(LUV);11.039407;656;216;202;32;64
HOG(RGB)+RAW(LUV);10.984329;2776;520;153;104;208
HOG(RGB)+RAW(LUV);10.956111;656;568;258;32;64
HOG(RGB)+RAW(LUV);10.926248;3720;72;261;48;96
HOG(RGB)+RAW(LUV);10.910167;876;182;283;104;208
HOG(RGB)+RAW(LUV);10.899449;1612;16;298;32;64
HOG(RGB)+RAW(LUV);10.890235;980;360;274;80;160
HOG(RGB)+RAW(LUV);10.883287;112;20;234;80;160
HOG(RGB)+RAW(LUV);10.856463;2784;360;254;80;160
HOG(RGB)+RAW(LUV);10.856072;32;140;254;80;160
HOG(RGB)+RAW(LUV);10.801156;1580;180;177;48;96
HOG(RGB)+RAW(LUV);10.797428;3008;584;242;32;64
HOG(RGB)+RAW(LUV);10.787535;3072;390;283;104;208
HOG(RGB)+RAW(LUV);10.773778;3028;420;273;48;96
HOG(RGB)+RAW(LUV);10.769748;1632;204;225;48;96
HOG(RGB)+RAW(LUV);10.739041;104;504;290;32;64
HOG(RGB)+RAW(LUV);10.733679;304;48;345;64;128
HOG(RGB)+RAW(LUV);10.717435;384;168;208;112;224
HOG(RGB)+RAW(LUV);10.700275;3068;392;236;112;224
HOG(RGB)+RAW(LUV);10.690381;1012;384;345;48;96
HOG(RGB)+RAW(LUV);10.674205;2976;448;153;64;128
HOG(RGB)+RAW(LUV);10.664413;1632;96;281;64;128
HOG(RGB)+RAW(LUV);10.663711;312;64;361;64;128
HOG(RGB)+RAW(LUV);10.566644;92;24;322;32;64
HOG(RGB)+RAW(LUV);10.563574;3848;128;242;32;64
HOG(RGB)+RAW(LUV);10.538916;3876;84;321;48;96
HOG(RGB)+RAW(LUV);10.522583;512;432;194;32;64
HOG(RGB)+RAW(LUV);10.505868;4244;276;369;48;96
HOG(RGB)+RAW(LUV);10.500388;144;504;177;96;192
HOG(RGB)+RAW(LUV);10.499908;3876;488;218;32;64
HOG(RGB)+RAW(LUV);10.497112;1740;432;202;32;64
HOG(RGB)+RAW(LUV);10.495646;2608;472;210;32;64
HOG(RGB)+RAW(LUV);10.495617;32;168;261;48;96
HOG(RGB)+RAW(LUV);10.495190;4708;200;250;32;64
HOG(RGB)+RAW(LUV);10.494311;1356;24;370;32;64
HOG(RGB)+RAW(LUV);10.486361;1376;192;226;32;64
HOG(RGB)+RAW(LUV);10.474107;1364;252;297;48;96
HOG(RGB)+RAW(LUV);10.467260;456;516;189;48;96
HOG(RGB)+RAW(LUV);10.452494;364;84;264;112;224
HOG(RGB)+RAW(LUV);10.449294;4748;384;249;48;96
HOG(RGB)+RAW(LUV);10.440049;1012;288;178;32;64
HOG(RGB)+RAW(LUV);10.438110;3552;130;231;104;208
HOG(RGB)+RAW(LUV);10.431376;476;424;242;32;64
HOG(RGB)+RAW(LUV);10.421357;4292;72;338;32;64
HOG(RGB)+RAW(LUV);10.408157;440;96;184;128;256
HOG(RGB)+RAW(LUV);10.357827;3544;0;314;80;160
HOG(RGB)+RAW(LUV);10.350815;2516;64;248;128;256
HOG(RGB)+RAW(LUV);10.271712;1428;36;345;48;96
HOG(RGB)+RAW(LUV);10.259025;996;56;282;32;64
HOG(RGB)+RAW(LUV);10.254179;1592;576;202;32;64
HOG(RGB)+RAW(LUV);10.236157;4464;90;242;120;240
HOG(RGB)+RAW(LUV);10.231295;620;320;178;32;64
HOG(RGB)+RAW(LUV);10.212823;3964;376;194;32;64
HOG(RGB)+RAW(LUV);10.205165;2556;140;236;112;224
HOG(RGB)+RAW(LUV);10.198521;3500;24;297;48;96
HOG(RGB)+RAW(LUV);10.198029;884;78;283;104;208
HOG(RGB)+RAW(LUV);10.198026;2560;182;231;104;208
HOG(RGB)+RAW(LUV);10.170206;524;16;290;32;64
HOG(RGB)+RAW(LUV);10.168491;980;120;249;96;192
HOG(RGB)+RAW(LUV);10.161891;1520;176;282;32;64
HOG(RGB)+RAW(LUV);10.159829;3644;568;330;32;64
HOG(RGB)+RAW(LUV);10.149592;476;360;214;80;160
HOG(RGB)+RAW(LUV);10.148547;1292;48;313;64;128
HOG(RGB)+RAW(LUV);10.140637;708;592;298;32;64
HOG(RGB)+RAW(LUV);10.119224;4116;432;178;32;64
HOG(RGB)+RAW(LUV);10.111717;960;120;249;96;192
HOG(RGB)+RAW(LUV);10.098466;84;372;261;48;96
HOG(RGB)+RAW(LUV);10.094376;72;360;218;32;64
HOG(RGB)+RAW(LUV);10.089125;1392;60;254;80;160
HOG(RGB)+RAW(LUV);10.087627;3924;48;330;32;64
HOG(RGB)+RAW(LUV);10.081995;4716;340;154;80;160
HOG(RGB)+RAW(LUV);10.070255;644;488;306;32;64
HOG(RGB)+RAW(LUV);10.028645;3652;60;294;80;160
HOG(RGB)+RAW(LUV);10.026585;600;544;186;32;64
HOG(RGB)+RAW(LUV);10.007650;528;184;258;32;64
HOG(RGB)+RAW(LUV);9.993079;2936;240;249;48;96
HOG(RGB)+RAW(LUV);9.978484;524;576;282;32;64
HOG(RGB)+RAW(LUV);9.971887;88;144;297;96;192
HOG(RGB)+RAW(LUV);9.945736;1300;88;226;32;64
HOG(RGB)+RAW(LUV);9.939948;4252;24;258;32;64
HOG(RGB)+RAW(LUV);9.928690;3552;28;264;112;224
HOG(RGB)+RAW(LUV);9.918731;1608;40;266;32;64
HOG(RGB)+RAW(LUV);9.916789;1440;528;250;32;64
HOG(RGB)+RAW(LUV);9.906015;1560;60;242;120;240
HOG(RGB)+RAW(LUV);9.891498;72;504;210;32;64
HOG(RGB)+RAW(LUV);9.878503;3068;352;250;32;64
HOG(RGB)+RAW(LUV);9.855812;1096;0;248;128;256
HOG(RGB)+RAW(LUV);9.853325;884;84;297;48;96
HOG(RGB)+RAW(LUV);9.849786;2656;312;225;96;192
HOG(RGB)+RAW(LUV);9.846144;2564;208;178;32;64
HOG(RGB)+RAW(LUV);9.845062;1632;72;273;96;192
