Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+SDDG(Thermal);11.061618;2432;460;154;80;160
HOG(RGB)+SDDG(Thermal);10.653038;3032;252;165;48;96
HOG(RGB)+SDDG(Thermal);10.455189;4420;96;177;48;96
HOG(RGB)+SDDG(Thermal);10.448863;2972;488;170;32;64
HOG(RGB)+SDDG(Thermal);10.363356;1316;288;186;32;64
HOG(RGB)+SDDG(Thermal);10.344786;1056;0;153;48;96
HOG(RGB)+SDDG(Thermal);10.260332;4716;180;214;80;160
HOG(RGB)+SDDG(Thermal);10.260100;2980;300;153;48;96
HOG(RGB)+SDDG(Thermal);10.180511;2992;400;194;32;64
HOG(RGB)+SDDG(Thermal);10.165694;2852;444;165;48;96
HOG(RGB)+SDDG(Thermal);10.152275;4016;496;226;32;64
HOG(RGB)+SDDG(Thermal);10.140584;96;536;282;32;64
HOG(RGB)+SDDG(Thermal);10.091056;2724;260;179;104;208
HOG(RGB)+SDDG(Thermal);10.089279;1568;432;153;48;96
HOG(RGB)+SDDG(Thermal);10.013264;2744;600;266;32;64
HOG(RGB)+SDDG(Thermal);9.931611;1136;588;153;48;96
HOG(RGB)+SDDG(Thermal);9.922362;1148;424;226;32;64
HOG(RGB)+SDDG(Thermal);9.917574;132;432;201;48;96
HOG(RGB)+SDDG(Thermal);9.904450;2520;560;226;32;64
HOG(RGB)+SDDG(Thermal);9.903348;2768;424;290;32;64
HOG(RGB)+SDDG(Thermal);9.880281;288;368;258;32;64
HOG(RGB)+SDDG(Thermal);9.819934;1128;60;153;48;96
HOG(RGB)+SDDG(Thermal);9.818727;2808;408;218;32;64
HOG(RGB)+SDDG(Thermal);9.818551;548;496;169;64;128
HOG(RGB)+SDDG(Thermal);9.798605;384;588;165;48;96
HOG(RGB)+SDDG(Thermal);9.772527;368;444;225;48;96
HOG(RGB)+SDDG(Thermal);9.772158;2680;0;189;48;96
HOG(RGB)+SDDG(Thermal);9.770547;4224;216;194;32;64
HOG(RGB)+SDDG(Thermal);9.759501;2160;152;202;32;64
HOG(RGB)+SDDG(Thermal);9.748317;3036;128;154;32;64
HOG(RGB)+SDDG(Thermal);9.736288;52;300;165;48;96
HOG(RGB)+SDDG(Thermal);9.720258;948;280;178;32;64
HOG(RGB)+SDDG(Thermal);9.699821;468;208;257;104;208
HOG(RGB)+SDDG(Thermal);9.699198;4236;576;213;48;96
HOG(RGB)+SDDG(Thermal);9.663534;2972;456;249;48;96
HOG(RGB)+SDDG(Thermal);9.630193;352;588;381;48;96
HOG(RGB)+SDDG(Thermal);9.616882;2536;528;177;48;96
HOG(RGB)+SDDG(Thermal);9.611553;488;564;177;48;96
HOG(RGB)+SDDG(Thermal);9.606142;528;520;154;80;160
HOG(RGB)+SDDG(Thermal);9.600223;2736;228;177;48;96
HOG(RGB)+SDDG(Thermal);9.599455;12;552;218;32;64
HOG(RGB)+SDDG(Thermal);9.592741;1100;288;153;48;96
HOG(RGB)+SDDG(Thermal);9.589830;1324;96;201;48;96
HOG(RGB)+SDDG(Thermal);9.587281;2544;444;165;48;96
HOG(RGB)+SDDG(Thermal);9.571436;4248;160;154;80;160
HOG(RGB)+SDDG(Thermal);9.550380;104;440;254;80;160
HOG(RGB)+SDDG(Thermal);9.548827;1336;408;189;48;96
HOG(RGB)+SDDG(Thermal);9.547487;1292;384;178;32;64
HOG(RGB)+SDDG(Thermal);9.537693;2576;472;186;32;64
HOG(RGB)+SDDG(Thermal);9.535120;1440;444;201;48;96
HOG(RGB)+SDDG(Thermal);9.532420;3000;576;242;32;64
HOG(RGB)+SDDG(Thermal);9.528405;2740;568;170;32;64
HOG(RGB)+SDDG(Thermal);9.524126;1148;528;250;32;64
HOG(RGB)+SDDG(Thermal);9.523955;1256;576;194;32;64
HOG(RGB)+SDDG(Thermal);9.514098;1444;440;194;80;160
HOG(RGB)+SDDG(Thermal);9.498813;1312;60;254;80;160
HOG(RGB)+SDDG(Thermal);9.468366;1364;264;285;48;96
HOG(RGB)+SDDG(Thermal);9.465714;1236;336;165;48;96
HOG(RGB)+SDDG(Thermal);9.465484;360;200;194;80;160
HOG(RGB)+SDDG(Thermal);9.460170;1360;364;231;104;208
HOG(RGB)+SDDG(Thermal);9.455901;4444;100;234;80;160
HOG(RGB)+SDDG(Thermal);9.453109;152;432;213;48;96
HOG(RGB)+SDDG(Thermal);9.452029;1432;288;261;48;96
HOG(RGB)+SDDG(Thermal);9.449968;144;460;174;80;160
HOG(RGB)+SDDG(Thermal);9.442085;4756;132;213;48;96
HOG(RGB)+SDDG(Thermal);9.439590;4436;272;202;32;64
HOG(RGB)+SDDG(Thermal);9.437657;184;24;226;32;64
HOG(RGB)+SDDG(Thermal);9.426902;4400;528;333;48;96
HOG(RGB)+SDDG(Thermal);9.422090;1364;480;321;48;96
HOG(RGB)+SDDG(Thermal);9.421178;940;544;185;64;128
HOG(RGB)+SDDG(Thermal);9.398644;1108;24;202;32;64
HOG(RGB)+SDDG(Thermal);9.390845;1124;464;186;32;64
HOG(RGB)+SDDG(Thermal);9.386847;1032;280;234;32;64
HOG(RGB)+SDDG(Thermal);9.376028;2520;456;162;32;64
HOG(RGB)+SDDG(Thermal);9.374031;4252;384;369;48;96
HOG(RGB)+SDDG(Thermal);9.361127;1732;304;201;64;128
HOG(RGB)+SDDG(Thermal);9.359568;692;328;250;32;64
HOG(RGB)+SDDG(Thermal);9.331677;3260;264;194;32;64
HOG(RGB)+SDDG(Thermal);9.330617;476;468;177;48;96
HOG(RGB)+SDDG(Thermal);9.323061;580;304;194;32;64
HOG(RGB)+SDDG(Thermal);9.320235;1428;300;194;80;160
HOG(RGB)+SDDG(Thermal);9.316463;1296;516;225;48;96
HOG(RGB)+SDDG(Thermal);9.313380;3048;8;258;32;64
HOG(RGB)+SDDG(Thermal);9.303119;2556;564;273;48;96
HOG(RGB)+SDDG(Thermal);9.299335;4528;440;194;80;160
HOG(RGB)+SDDG(Thermal);9.272387;1236;480;178;32;64
HOG(RGB)+SDDG(Thermal);9.269707;1404;144;177;96;192
HOG(RGB)+SDDG(Thermal);9.259967;80;192;177;48;96
HOG(RGB)+SDDG(Thermal);9.255021;3032;472;250;32;64
HOG(RGB)+SDDG(Thermal);9.254294;4220;128;418;32;64
HOG(RGB)+SDDG(Thermal);9.248580;3540;480;153;48;96
HOG(RGB)+SDDG(Thermal);9.246164;3720;344;170;32;64
HOG(RGB)+SDDG(Thermal);9.240859;1332;312;213;48;96
HOG(RGB)+SDDG(Thermal);9.222056;420;392;170;32;64
HOG(RGB)+SDDG(Thermal);9.221491;1376;160;218;32;64
