Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB);5.748483;0;8;162;32;64
HOG(RGB);5.280354;16;104;154;32;64
HOG(RGB);0.796953;1576;208;370;32;64
HOG(RGB);0.795774;812;256;234;32;64
HOG(RGB);0.790570;2932;240;314;80;160
HOG(RGB);0.784815;892;256;184;128;256
HOG(RGB);0.781777;488;424;306;32;64
HOG(RGB);0.780060;872;240;178;32;64
HOG(RGB);0.775684;3004;48;338;32;64
HOG(RGB);0.775661;1576;400;410;32;64
HOG(RGB);0.769683;3432;520;266;32;64
HOG(RGB);0.769318;872;184;434;32;64
HOG(RGB);0.766055;4540;288;216;128;256
HOG(RGB);0.763306;932;160;170;32;64
HOG(RGB);0.748038;780;392;410;32;64
HOG(RGB);0.743650;1576;600;410;32;64
HOG(RGB);0.739022;3084;272;434;32;64
HOG(RGB);0.738168;1576;152;386;32;64
HOG(RGB);0.736730;872;0;152;128;256
HOG(RGB);0.735761;2568;280;274;80;160
HOG(RGB);0.734030;932;0;266;32;64
HOG(RGB);0.732194;3004;0;154;32;64
HOG(RGB);0.730292;1576;240;394;32;64
HOG(RGB);0.721406;4728;480;322;32;64
HOG(RGB);0.717585;4728;600;442;32;64
HOG(RGB);0.713339;488;0;313;64;128
HOG(RGB);0.702752;4540;176;154;32;64
HOG(RGB);0.699723;488;456;330;32;64
HOG(RGB);0.694655;932;136;162;32;64
HOG(RGB);0.693859;3084;384;354;32;64
HOG(RGB);0.692856;2932;248;298;32;64
HOG(RGB);0.691648;408;544;234;32;64
HOG(RGB);0.690595;812;600;442;32;64
HOG(RGB);0.689812;2932;464;154;32;64
HOG(RGB);0.684909;2568;320;274;32;64
HOG(RGB);0.678692;932;600;442;32;64
HOG(RGB);0.675716;2932;128;210;32;64
HOG(RGB);0.674701;780;396;273;48;96
HOG(RGB);0.670319;780;496;370;32;64
HOG(RGB);0.660754;488;564;297;48;96
HOG(RGB);0.650743;872;264;290;32;64
HOG(RGB);0.644128;3084;32;248;128;256
HOG(RGB);0.643970;892;192;218;32;64
HOG(RGB);0.641875;488;32;184;128;256
HOG(RGB);0.639258;2932;280;322;32;64
HOG(RGB);0.639205;3084;528;346;32;64
HOG(RGB);0.639081;2124;56;154;32;64
HOG(RGB);0.634992;892;160;226;32;64
HOG(RGB);0.631879;408;600;426;32;64
HOG(RGB);0.631160;3432;488;282;32;64
HOG(RGB);0.621541;780;224;274;32;64
HOG(RGB);0.615748;488;48;298;32;64
HOG(RGB);0.605931;408;0;154;32;64
HOG(RGB);0.603478;3084;368;290;32;64
HOG(RGB);0.599259;3084;312;354;32;64
HOG(RGB);0.576915;812;352;242;32;64
HOG(RGB);0.560746;2568;592;266;32;64
HOG(RGB);0.555175;812;520;346;32;64
HOG(RGB);0.541540;2932;40;154;32;64
HOG(RGB);0.538644;812;360;314;80;160
HOG(RGB);0.513170;812;320;250;32;64
HOG(RGB);0.441120;3432;296;218;32;64
HOG(RGB);0.376619;4728;384;242;32;64
HOG(RGB);0.285942;3432;480;282;32;64
HOG(RGB);0.283407;4728;120;154;32;64
