Name;Score;ImageNumber;X;Y;Width;Height
CenSurE(RGB);4.227445;464;1128;160;32;64
CenSurE(RGB);4.148369;752;984;136;32;64
CenSurE(RGB);4.146766;3508;952;168;32;64
CenSurE(RGB);4.113056;2848;84;148;48;96
CenSurE(RGB);4.080667;1740;1080;268;48;96
CenSurE(RGB);4.073785;1984;1008;295;32;64
CenSurE(RGB);4.067063;1804;248;295;32;64
CenSurE(RGB);4.037240;2960;136;168;32;64
CenSurE(RGB);4.019969;2584;992;272;32;64
CenSurE(RGB);3.991718;1620;1152;196;48;96
CenSurE(RGB);3.950255;4132;96;304;32;64
CenSurE(RGB);3.949736;432;792;304;32;64
CenSurE(RGB);3.943930;860;688;272;32;64
CenSurE(RGB);3.925980;6796;900;244;48;96
CenSurE(RGB);3.924676;4872;568;240;32;64
CenSurE(RGB);3.913665;192;1116;208;48;96
CenSurE(RGB);3.894523;6968;420;244;48;96
CenSurE(RGB);3.869224;2956;688;111;32;64
CenSurE(RGB);3.865407;7060;736;200;32;64
CenSurE(RGB);3.848547;5828;832;224;64;128
CenSurE(RGB);3.846889;7400;1136;256;32;64
CenSurE(RGB);3.839753;6808;48;232;32;64
CenSurE(RGB);3.838626;1780;1144;144;32;64
CenSurE(RGB);3.826218;4220;528;264;32;64
CenSurE(RGB);3.820931;128;640;208;32;64
CenSurE(RGB);3.816959;4684;856;176;32;64
CenSurE(RGB);3.815769;6200;1160;192;32;64
CenSurE(RGB);3.813649;3204;84;220;48;96
CenSurE(RGB);3.807047;1924;448;128;32;64
CenSurE(RGB);3.805269;1888;552;191;32;64
CenSurE(RGB);3.802165;5956;216;208;48;96
CenSurE(RGB);3.798144;4024;240;168;32;64
CenSurE(RGB);3.798076;5300;312;304;32;64
CenSurE(RGB);3.789354;4080;1176;184;32;64
CenSurE(RGB);3.785135;2148;1056;256;48;96
CenSurE(RGB);3.785103;1672;704;183;32;64
CenSurE(RGB);3.784323;4688;96;112;32;64
CenSurE(RGB);3.782927;5084;496;232;32;64
CenSurE(RGB);3.781058;1856;840;112;120;240
CenSurE(RGB);3.766197;4240;576;224;32;64
CenSurE(RGB);3.762565;3212;72;304;32;64
CenSurE(RGB);3.759372;5672;72;192;32;64
CenSurE(RGB);3.758201;7192;1096;128;32;64
CenSurE(RGB);3.755136;2052;808;296;32;64
CenSurE(RGB);3.748522;6960;744;256;32;64
CenSurE(RGB);3.745348;2776;24;144;32;64
CenSurE(RGB);3.744557;2604;456;224;32;64
CenSurE(RGB);3.741706;2528;56;304;32;64
CenSurE(RGB);3.735029;328;24;220;48;96
CenSurE(RGB);3.724680;1836;1200;224;32;64
CenSurE(RGB);3.724291;1868;464;272;32;64
CenSurE(RGB);3.724190;6808;352;288;32;64
CenSurE(RGB);3.717114;3384;592;232;32;64
CenSurE(RGB);3.715589;6248;924;268;48;96
CenSurE(RGB);3.713881;2024;104;216;32;64
CenSurE(RGB);3.712851;4044;1024;280;32;64
CenSurE(RGB);3.709347;3472;776;183;32;64
CenSurE(RGB);3.706355;3812;924;136;48;96
CenSurE(RGB);3.704687;1736;1140;256;48;96
CenSurE(RGB);3.701432;4924;72;159;96;192
CenSurE(RGB);3.697011;6752;904;224;32;64
CenSurE(RGB);3.695793;928;0;194;48;96
CenSurE(RGB);3.693499;4836;96;220;48;96
CenSurE(RGB);3.692223;2516;920;184;32;64
CenSurE(RGB);3.692103;2408;64;151;32;64
CenSurE(RGB);3.690786;6124;816;208;64;128
CenSurE(RGB);3.690285;6104;168;160;32;64
CenSurE(RGB);3.690284;7224;472;240;32;64
CenSurE(RGB);3.687674;1820;720;240;64;128
CenSurE(RGB);3.683711;1156;216;272;32;64
CenSurE(RGB);3.682287;6632;1120;256;32;64
CenSurE(RGB);3.664904;5244;552;248;32;64
CenSurE(RGB);3.663298;876;1000;128;32;64
CenSurE(RGB);3.663099;2104;1200;120;32;64
CenSurE(RGB);3.662852;1084;968;160;32;64
CenSurE(RGB);3.661475;3836;1072;200;32;64
CenSurE(RGB);3.659893;5380;392;288;32;64
CenSurE(RGB);3.658576;1108;104;280;32;64
CenSurE(RGB);3.653609;6600;616;248;32;64
CenSurE(RGB);3.652828;92;168;240;32;64
CenSurE(RGB);3.651167;68;856;288;32;64
CenSurE(RGB);3.648767;32;624;224;32;64
CenSurE(RGB);3.643547;7184;560;216;32;64
CenSurE(RGB);3.638943;2140;240;136;32;64
CenSurE(RGB);3.637673;6560;72;184;48;96
CenSurE(RGB);3.635597;2916;288;240;32;64
CenSurE(RGB);3.635525;8;1024;160;32;64
CenSurE(RGB);3.630942;2608;768;112;32;64
CenSurE(RGB);3.629617;7312;80;304;32;64
CenSurE(RGB);3.627853;6424;1160;248;32;64
CenSurE(RGB);3.625396;860;72;232;48;96
CenSurE(RGB);3.623242;1380;32;240;32;64
CenSurE(RGB);3.623164;920;816;192;32;64
CenSurE(RGB);3.619338;6868;1032;112;32;64
CenSurE(RGB);3.617249;5264;40;168;32;64
CenSurE(RGB);3.615654;1028;920;223;32;64
CenSurE(RGB);3.615266;492;1088;176;32;64
CenSurE(RGB);3.614143;4604;768;232;32;64
CenSurE(RGB);3.614017;7456;64;264;32;64
CenSurE(RGB);3.614011;4872;280;272;32;64
CenSurE(RGB);3.610016;468;480;208;64;128
CenSurE(RGB);3.608631;2540;992;176;64;128
CenSurE(RGB);3.608505;4764;64;256;32;64
CenSurE(RGB);3.605815;2272;704;224;64;128
CenSurE(RGB);3.605761;5612;552;220;48;96
CenSurE(RGB);3.601244;76;12;112;48;96
CenSurE(RGB);3.600374;2332;664;264;32;64
CenSurE(RGB);3.600196;1316;576;240;64;128
CenSurE(RGB);3.598311;2836;280;288;32;64
CenSurE(RGB);3.597211;2664;144;256;32;64
CenSurE(RGB);3.590072;4980;784;280;32;64
CenSurE(RGB);3.589940;2744;612;196;48;96
