Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);15.795313;2692;136;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);14.871553;2852;200;200;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);14.568998;112;488;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);14.221745;6928;456;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.954563;1136;12;268;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.951347;5304;344;208;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.873158;692;720;184;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.859147;1336;1080;248;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.854267;3208;304;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.823229;4884;1120;144;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.800426;7464;624;172;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.723349;7104;1040;296;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.683686;5112;288;183;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.656670;3896;616;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.651964;856;806;138;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.564045;6932;848;144;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.540470;2976;368;192;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.532150;5664;1016;232;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.531028;6508;240;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.510734;6196;288;183;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.500873;4748;416;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.498475;4172;712;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.456743;1164;576;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.421254;3100;424;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.420095;7380;736;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.416289;3904;384;176;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.348911;1764;248;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.301722;976;520;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.290977;6572;592;144;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.288041;1308;288;183;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.267669;6780;0;152;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.242027;4492;1056;232;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.241506;120;348;220;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.224129;816;320;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.206143;2340;1000;224;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.200112;5908;304;296;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.175008;8;456;160;96;192
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.173573;1772;80;256;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.156292;4104;896;280;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.138233;7480;1092;148;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.132821;4724;828;170;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.105521;5992;300;136;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.075213;5668;980;132;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.074563;6052;800;192;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.052779;760;936;164;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.045749;708;140;212;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.042609;1788;400;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.005197;2416;1008;148;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);13.004705;3744;920;224;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.945913;4192;828;170;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.908074;5600;88;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.901653;7424;420;172;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.899113;1964;944;192;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.897025;6604;1176;280;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.895469;1240;288;159;96;192
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.834005;5076;432;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.823811;6780;120;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.819461;5244;904;264;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.808559;3256;480;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.797093;444;456;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.772535;1088;828;170;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.765351;3020;1008;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.737535;1916;936;264;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.705579;5148;924;124;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.703470;3624;280;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.698429;5052;312;240;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.694837;3880;720;176;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.689979;5848;650;164;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.680396;956;156;164;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.675005;7040;300;148;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.674053;4928;228;134;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.674028;3344;588;160;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.648746;1576;168;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.647863;1844;496;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.614640;6572;696;208;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.609495;6660;26;164;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.604297;2200;8;248;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.588385;3764;976;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.588099;6388;1192;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.587421;5516;688;208;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HDD+HOG(RGB);12.567973;6368;996;196;48;96
