Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.510706;864;632;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.298024;484;860;112;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.147924;6780;132;256;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.086640;7128;1064;128;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.083042;3716;1116;148;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);13.033792;1260;1088;192;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.928151;2592;112;136;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.883817;5288;1200;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.855325;5868;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.811462;3620;688;160;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.786227;3732;552;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.766646;1428;600;191;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.734679;1656;648;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.660295;5216;80;280;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.601612;1008;384;136;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.583733;5932;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.569646;5320;248;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.558251;5288;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.550140;3896;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.530246;5416;624;184;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.517746;4516;240;128;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.482796;4184;182;138;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.469780;5780;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.451492;4280;0;112;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.379250;660;256;160;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.348909;7256;192;240;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.324910;2704;960;160;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.199111;1452;984;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.167676;456;216;268;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.128437;2624;528;256;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.121419;4672;192;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.105438;7132;544;208;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.093852;5880;1184;304;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.061457;1992;286;164;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.039353;2824;204;256;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.035008;2884;320;200;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);12.024996;3708;1056;172;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.973460;488;792;160;96;192
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.930985;5768;672;224;64;128
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.901712;2152;792;136;96;192
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.892391;6800;60;148;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.880712;2212;0;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.853317;2592;592;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.852279;3592;380;192;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.837785;6204;1024;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.824098;316;930;112;120;240
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.814075;4604;1188;184;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.771891;6572;584;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.762752;5100;1136;136;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.751317;304;420;152;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.737511;2152;468;160;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.725534;2824;168;268;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.713340;3568;168;176;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.708549;3620;858;112;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.699809;6264;600;160;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.697723;5496;856;256;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.668098;2808;32;112;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.652764;2088;840;220;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.642783;7100;728;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.642657;2380;360;172;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.627917;4596;104;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.627583;4180;380;152;80;160
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.625465;3924;884;138;104;208
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);11.615945;3320;240;160;96;192
