Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.904049;1592;624;172;48;96
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.852462;3904;256;264;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.489468;6580;368;176;64;128
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.405669;7312;944;184;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.368239;208;752;160;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.360401;3084;736;136;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.255139;3240;312;216;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.239560;2912;984;152;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.214724;5672;200;288;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.182524;6872;744;144;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.163172;4216;240;208;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.129789;5336;568;152;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.078832;1500;216;248;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.041281;5700;312;184;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.032180;7260;1032;136;96;192
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);10.021986;5436;672;184;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.982593;1256;736;151;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.976493;6008;392;176;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.951913;5480;392;183;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.914556;1928;192;184;48;96
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.853061;2696;1092;220;48;96
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.847463;2588;328;184;32;64
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.847124;6044;264;244;48;96
CoOccurrence(RGB)+HDD+HOG(RGB)+SDDG(Depth);9.837472;6584;360;200;32;64
