Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.814815;1380;552;232;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.671198;352;852;112;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.429489;3104;736;128;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.414377;7060;480;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.390974;4948;872;296;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.206815;1184;456;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.133172;7156;104;112;104;208
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.132237;6800;0;112;104;208
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);9.044482;6112;56;152;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.994207;8;640;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.991803;1300;1000;247;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.985229;1156;64;112;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.934185;2480;800;232;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.880940;3196;1068;184;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.835328;3748;900;152;80;160
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.834354;6772;272;120;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.793266;6728;928;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.784884;3892;80;152;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.751626;356;760;144;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.736253;736;296;304;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.720345;5492;828;158;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.700964;3676;392;184;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.696105;3620;252;160;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.695995;7256;720;112;80;160
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.681150;4516;702;164;104;208
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.676214;6216;176;120;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.676109;3152;192;256;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.676034;2168;992;184;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.660037;2436;16;184;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.622251;1632;760;167;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.614046;6908;816;111;96;192
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.597405;1856;376;288;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.583119;3016;1048;224;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.582660;3180;928;128;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.567364;4616;128;144;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.556087;7072;816;264;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.536722;5904;696;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.535078;3396;276;268;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.531734;152;408;232;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.524352;3448;472;128;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.523919;820;1104;152;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.518268;6216;1168;216;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.495571;3284;392;272;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.487989;3200;1080;124;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.467148;6928;272;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.440638;5280;0;184;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.432871;4228;728;140;112;224
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.417176;616;96;144;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.416575;1904;832;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.401921;5188;128;144;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.391843;1128;768;136;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.391000;5188;16;144;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.373711;6040;128;128;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.363911;5948;1100;172;80;160
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.356914;616;192;152;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.356265;6508;1024;136;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.354285;3004;672;176;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.352296;2424;392;199;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.345814;2440;792;160;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.344612;2004;64;176;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.339339;1380;828;268;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.333755;1872;768;160;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.332154;1204;1104;124;48;96
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.326661;3828;304;208;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.312700;2792;968;248;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.310593;6260;888;272;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.293220;1172;1024;192;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.290588;1248;870;112;120;240
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.284272;6204;1032;184;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.273800;4312;816;160;96;192
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.271481;2708;768;160;64;128
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.269772;5960;800;264;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.258763;2160;936;200;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.248599;352;368;168;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.241308;4360;992;128;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.239785;6368;696;176;32;64
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.238744;5352;60;132;80;160
CoOccurrence(RGB)+HOG(RGB)+ORB(RGB);8.231650;4860;72;136;96;192
