Name;Score;ImageNumber;X;Y;Width;Height
GoodFts(Depth);11.896123;2072;712;168;32;64
GoodFts(Depth);11.646992;76;12;232;48;96
GoodFts(Depth);11.587993;656;904;264;32;64
GoodFts(Depth);9.356641;4228;352;240;32;64
GoodFts(Depth);9.274417;296;240;240;32;64
GoodFts(Depth);9.181067;496;20;131;80;160
GoodFts(Depth);9.129412;264;1200;248;32;64
GoodFts(Depth);9.091675;6172;984;280;32;64
GoodFts(Depth);9.065547;4012;984;159;96;192
GoodFts(Depth);9.043918;964;1152;124;48;96
GoodFts(Depth);9.019840;1668;960;211;80;160
GoodFts(Depth);8.888507;4180;884;164;104;208
GoodFts(Depth);8.886698;5124;0;143;64;128
GoodFts(Depth);8.675216;4032;952;248;32;64
GoodFts(Depth);8.666104;7420;1168;120;32;64
GoodFts(Depth);8.643277;4624;1056;160;48;96
GoodFts(Depth);8.636640;1628;1116;160;48;96
GoodFts(Depth);8.626663;5196;1176;160;32;64
GoodFts(Depth);8.616176;3576;792;159;32;64
GoodFts(Depth);8.615529;488;1040;192;32;64
GoodFts(Depth);8.602464;1548;792;159;32;64
GoodFts(Depth);8.593596;4900;1136;184;32;64
GoodFts(Depth);8.589487;28;0;130;80;160
GoodFts(Depth);8.582063;4744;8;256;32;64
GoodFts(Depth);8.580172;856;1000;240;32;64
GoodFts(Depth);8.580081;1568;688;143;64;128
GoodFts(Depth);8.556758;6760;1000;136;32;64
GoodFts(Depth);8.523430;7412;1128;192;32;64
GoodFts(Depth);8.505120;2224;888;256;48;96
GoodFts(Depth);8.502331;876;192;196;48;96
GoodFts(Depth);8.482394;2428;1104;184;32;64
GoodFts(Depth);8.471919;308;1152;207;32;64
GoodFts(Depth);8.460632;3592;1184;128;32;64
GoodFts(Depth);8.457297;5548;1160;212;80;160
GoodFts(Depth);8.448462;1432;1160;152;32;64
GoodFts(Depth);8.438372;2616;24;220;48;96
GoodFts(Depth);8.435390;264;1068;184;48;96
GoodFts(Depth);8.433247;6976;132;136;48;96
GoodFts(Depth);8.424999;4092;912;240;32;64
GoodFts(Depth);8.412413;2380;1168;240;64;128
GoodFts(Depth);8.387540;0;1184;135;32;64
GoodFts(Depth);8.384408;2988;848;144;64;128
GoodFts(Depth);8.379705;6540;856;232;32;64
GoodFts(Depth);8.379683;1380;800;152;80;160
GoodFts(Depth);8.376493;2616;20;192;80;160
GoodFts(Depth);8.372416;6488;182;138;104;208
GoodFts(Depth);8.353724;108;16;304;32;64
GoodFts(Depth);8.349895;1572;24;112;32;64
GoodFts(Depth);8.343517;1584;1136;296;32;64
GoodFts(Depth);8.339460;2620;928;184;32;64
GoodFts(Depth);8.321484;6400;64;264;32;64
GoodFts(Depth);8.301952;7116;1056;240;32;64
GoodFts(Depth);8.301374;4444;96;128;64;128
GoodFts(Depth);8.296926;1584;1008;268;48;96
GoodFts(Depth);8.284852;2836;968;224;32;64
GoodFts(Depth);8.280160;4316;1064;184;32;64
GoodFts(Depth);8.273799;4904;1136;152;32;64
GoodFts(Depth);8.263527;5660;1014;164;104;208
GoodFts(Depth);8.261415;2624;0;160;64;128
GoodFts(Depth);8.260819;4400;112;159;64;128
GoodFts(Depth);8.258870;2972;960;224;32;64
GoodFts(Depth);8.244153;1956;560;168;32;64
GoodFts(Depth);8.235334;28;1184;135;32;64
GoodFts(Depth);8.227410;1544;936;127;32;64
GoodFts(Depth);8.215837;524;16;240;32;64
GoodFts(Depth);8.211872;2812;960;208;64;128
GoodFts(Depth);8.204715;188;1024;192;32;64
GoodFts(Depth);8.202073;6860;1120;304;32;64
GoodFts(Depth);8.195400;2840;864;160;48;96
GoodFts(Depth);8.188855;4684;120;212;80;160
GoodFts(Depth);8.185184;264;992;216;32;64
GoodFts(Depth);8.184439;288;1144;303;32;64
GoodFts(Depth);8.177759;3180;1176;196;48;96
GoodFts(Depth);8.175869;920;424;216;32;64
GoodFts(Depth);8.162386;4672;832;120;32;64
GoodFts(Depth);8.149671;1028;1144;263;32;64
GoodFts(Depth);8.147447;5140;104;164;104;208
GoodFts(Depth);8.141916;4216;12;172;48;96
GoodFts(Depth);8.138131;4408;144;128;32;64
GoodFts(Depth);8.136036;1116;928;232;32;64
GoodFts(Depth);8.133833;2736;888;124;48;96
GoodFts(Depth);8.126721;628;872;240;32;64
GoodFts(Depth);8.126378;6844;872;216;32;64
GoodFts(Depth);8.112158;2068;1164;184;48;96
GoodFts(Depth);8.103307;4688;128;224;64;128
GoodFts(Depth);8.099689;4736;1024;240;64;128
GoodFts(Depth);8.090329;8;280;212;80;160
GoodFts(Depth);8.087010;3456;512;160;32;64
GoodFts(Depth);8.086772;3104;340;172;80;160
GoodFts(Depth);8.075612;1580;1140;136;48;96
GoodFts(Depth);8.074867;4748;1080;232;32;64
GoodFts(Depth);8.065844;1228;1168;191;32;64
GoodFts(Depth);8.049142;364;384;144;32;64
GoodFts(Depth);8.042207;2404;1064;256;32;64
GoodFts(Depth);8.041565;3792;1080;216;32;64
GoodFts(Depth);8.032104;2376;1184;160;32;64
GoodFts(Depth);8.031330;2092;16;192;32;64
GoodFts(Depth);8.024999;4636;344;128;32;64
GoodFts(Depth);8.017965;6772;1024;176;64;128
GoodFts(Depth);8.011757;6240;688;143;64;128
GoodFts(Depth);8.011554;3016;952;128;32;64
GoodFts(Depth);8.004198;5552;984;196;48;96
GoodFts(Depth);7.999941;3104;960;184;48;96
GoodFts(Depth);7.984296;5096;1104;136;96;192
GoodFts(Depth);7.983237;2528;1176;208;32;64
