Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+Histogram(Depth);39.477146;3416;152;240;32;64
HOG(RGB)+Histogram(Depth);38.680061;1868;1128;244;48;96
HOG(RGB)+Histogram(Depth);38.387005;1960;88;208;32;64
HOG(RGB)+Histogram(Depth);38.149963;7228;8;176;32;64
HOG(RGB)+Histogram(Depth);37.542530;7228;16;192;32;64
HOG(RGB)+Histogram(Depth);37.276253;7228;0;184;48;96
HOG(RGB)+Histogram(Depth);36.885731;7228;8;200;32;64
HOG(RGB)+Histogram(Depth);36.319569;2440;32;296;32;64
HOG(RGB)+Histogram(Depth);35.505024;5088;1128;176;32;64
HOG(RGB)+Histogram(Depth);34.647556;4708;752;176;32;64
HOG(RGB)+Histogram(Depth);34.144890;4620;1008;256;32;64
HOG(RGB)+Histogram(Depth);34.021896;2416;1016;208;32;64
HOG(RGB)+Histogram(Depth);33.808834;3192;288;248;32;64
HOG(RGB)+Histogram(Depth);33.794422;5828;368;176;32;64
HOG(RGB)+Histogram(Depth);33.608376;7256;768;176;64;128
HOG(RGB)+Histogram(Depth);33.325527;2696;1092;232;48;96
HOG(RGB)+Histogram(Depth);33.069778;2160;768;112;32;64
HOG(RGB)+Histogram(Depth);32.646942;1324;72;120;32;64
HOG(RGB)+Histogram(Depth);32.531479;6256;264;160;48;96
HOG(RGB)+Histogram(Depth);32.526802;2896;288;288;32;64
HOG(RGB)+Histogram(Depth);32.476116;7228;8;168;32;64
HOG(RGB)+Histogram(Depth);32.384861;840;936;124;48;96
HOG(RGB)+Histogram(Depth);32.372425;1960;112;200;32;64
HOG(RGB)+Histogram(Depth);32.363918;7228;12;172;48;96
HOG(RGB)+Histogram(Depth);32.279858;1324;88;120;32;64
HOG(RGB)+Histogram(Depth);32.241573;1960;144;200;32;64
HOG(RGB)+Histogram(Depth);32.191967;5864;160;256;32;64
HOG(RGB)+Histogram(Depth);32.021889;4984;144;240;32;64
HOG(RGB)+Histogram(Depth);31.794302;1932;192;216;32;64
HOG(RGB)+Histogram(Depth);31.754723;6728;1008;172;48;96
HOG(RGB)+Histogram(Depth);31.725321;5040;752;176;64;128
HOG(RGB)+Histogram(Depth);31.724653;2440;32;272;32;64
HOG(RGB)+Histogram(Depth);31.632801;2260;192;232;48;96
HOG(RGB)+Histogram(Depth);31.543037;2852;936;120;32;64
HOG(RGB)+Histogram(Depth);31.417545;3444;920;168;32;64
HOG(RGB)+Histogram(Depth);31.385143;3732;112;248;32;64
HOG(RGB)+Histogram(Depth);31.350073;6424;1152;232;32;64
HOG(RGB)+Histogram(Depth);31.345005;5824;584;296;32;64
HOG(RGB)+Histogram(Depth);31.278004;1336;24;264;32;64
HOG(RGB)+Histogram(Depth);31.248262;672;216;220;48;96
HOG(RGB)+Histogram(Depth);31.201221;1772;1080;132;80;160
HOG(RGB)+Histogram(Depth);31.164349;4352;920;200;32;64
HOG(RGB)+Histogram(Depth);31.123510;7228;0;208;32;64
HOG(RGB)+Histogram(Depth);31.120373;6372;720;168;32;64
HOG(RGB)+Histogram(Depth);31.115374;6820;960;200;32;64
HOG(RGB)+Histogram(Depth);31.066326;6256;280;152;32;64
HOG(RGB)+Histogram(Depth);31.035345;4452;320;216;32;64
HOG(RGB)+Histogram(Depth);31.011255;5632;352;200;32;64
HOG(RGB)+Histogram(Depth);31.010849;1868;1136;264;32;64
HOG(RGB)+Histogram(Depth);30.994350;1456;328;184;32;64
HOG(RGB)+Histogram(Depth);30.987581;5088;1120;184;32;64
HOG(RGB)+Histogram(Depth);30.914087;4572;304;192;32;64
HOG(RGB)+Histogram(Depth);30.889875;4228;152;296;32;64
HOG(RGB)+Histogram(Depth);30.848694;7228;16;152;32;64
HOG(RGB)+Histogram(Depth);30.830141;2256;368;272;32;64
HOG(RGB)+Histogram(Depth);30.795378;2632;1168;240;32;64
HOG(RGB)+Histogram(Depth);30.780888;3204;1020;220;48;96
HOG(RGB)+Histogram(Depth);30.763472;6256;276;112;48;96
HOG(RGB)+Histogram(Depth);30.722078;4532;792;112;32;64
HOG(RGB)+Histogram(Depth);30.703405;6180;200;208;32;64
HOG(RGB)+Histogram(Depth);30.691298;4620;1016;248;32;64
HOG(RGB)+Histogram(Depth);30.672369;4376;944;184;32;64
HOG(RGB)+Histogram(Depth);30.594702;2808;336;272;32;64
HOG(RGB)+Histogram(Depth);30.571918;5632;360;192;80;160
HOG(RGB)+Histogram(Depth);30.527418;1800;1020;192;80;160
HOG(RGB)+Histogram(Depth);30.521698;1868;1140;232;48;96
HOG(RGB)+Histogram(Depth);30.446156;1232;840;160;32;64
HOG(RGB)+Histogram(Depth);30.436913;708;176;288;32;64
HOG(RGB)+Histogram(Depth);30.415770;1580;1152;272;32;64
HOG(RGB)+Histogram(Depth);30.408695;6904;288;208;48;96
HOG(RGB)+Histogram(Depth);30.368891;3984;816;264;32;64
HOG(RGB)+Histogram(Depth);30.359955;4452;312;196;48;96
HOG(RGB)+Histogram(Depth);30.338875;6856;248;272;32;64
HOG(RGB)+Histogram(Depth);30.290476;2696;1064;216;32;64
HOG(RGB)+Histogram(Depth);30.286364;2060;168;256;32;64
HOG(RGB)+Histogram(Depth);30.222713;1960;152;192;32;64
HOG(RGB)+Histogram(Depth);30.124979;616;176;168;32;64
HOG(RGB)+Histogram(Depth);30.110258;4148;256;192;32;64
HOG(RGB)+Histogram(Depth);30.088284;2616;488;288;32;64
HOG(RGB)+Histogram(Depth);30.076397;4800;1192;184;32;64
HOG(RGB)+Histogram(Depth);30.057058;672;224;240;32;64
HOG(RGB)+Histogram(Depth);29.986254;7228;24;168;32;64
HOG(RGB)+Histogram(Depth);29.966337;4452;424;256;32;64
HOG(RGB)+Histogram(Depth);29.925533;6400;584;272;32;64
HOG(RGB)+Histogram(Depth);29.875158;5632;760;192;32;64
HOG(RGB)+Histogram(Depth);29.833654;1504;504;268;48;96
HOG(RGB)+Histogram(Depth);29.820114;6780;688;184;32;64
HOG(RGB)+Histogram(Depth);29.815739;5404;1120;208;32;64
HOG(RGB)+Histogram(Depth);29.801805;6904;144;240;32;64
HOG(RGB)+Histogram(Depth);29.795124;1232;184;296;32;64
HOG(RGB)+Histogram(Depth);29.701553;4228;160;264;32;64
HOG(RGB)+Histogram(Depth);29.689634;3792;1120;304;32;64
HOG(RGB)+Histogram(Depth);29.658670;2896;288;232;48;96
HOG(RGB)+Histogram(Depth);29.657385;3500;1200;192;32;64
HOG(RGB)+Histogram(Depth);29.611267;4948;1008;248;32;64
HOG(RGB)+Histogram(Depth);29.575260;5096;1056;176;32;64
HOG(RGB)+Histogram(Depth);29.558584;1476;8;304;32;64
HOG(RGB)+Histogram(Depth);29.548546;4748;848;192;32;64
