Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+LBP(RGB);14.665840;7204;72;232;32;64
HOG(RGB)+LBP(RGB);14.532853;2452;136;200;32;64
HOG(RGB)+LBP(RGB);14.422390;5496;1008;264;32;64
HOG(RGB)+LBP(RGB);14.257510;4328;1064;184;32;64
HOG(RGB)+LBP(RGB);14.184554;5828;1008;232;32;64
HOG(RGB)+LBP(RGB);14.163771;5948;1008;184;32;64
HOG(RGB)+LBP(RGB);14.122225;3872;192;208;32;64
HOG(RGB)+LBP(RGB);14.079492;6916;1072;208;32;64
HOG(RGB)+LBP(RGB);14.062084;420;352;200;32;64
HOG(RGB)+LBP(RGB);13.977937;1880;424;200;32;64
HOG(RGB)+LBP(RGB);13.932221;3092;872;184;32;64
HOG(RGB)+LBP(RGB);13.920893;7396;160;192;32;64
HOG(RGB)+LBP(RGB);13.884032;1584;168;248;32;64
HOG(RGB)+LBP(RGB);13.843863;6788;112;208;32;64
HOG(RGB)+LBP(RGB);13.835386;1996;64;240;32;64
HOG(RGB)+LBP(RGB);13.791722;668;304;208;32;64
HOG(RGB)+LBP(RGB);13.785671;4436;1112;152;32;64
HOG(RGB)+LBP(RGB);13.749560;436;104;176;32;64
HOG(RGB)+LBP(RGB);13.681089;6324;824;184;32;64
HOG(RGB)+LBP(RGB);13.676822;4840;88;192;32;64
HOG(RGB)+LBP(RGB);13.608199;2136;1168;216;32;64
HOG(RGB)+LBP(RGB);13.587658;6016;952;176;32;64
HOG(RGB)+LBP(RGB);13.436017;3980;232;168;32;64
HOG(RGB)+LBP(RGB);13.435162;444;720;224;32;64
HOG(RGB)+LBP(RGB);13.415354;3368;632;159;32;64
HOG(RGB)+LBP(RGB);13.407118;6576;1200;216;32;64
HOG(RGB)+LBP(RGB);13.388337;520;32;255;32;64
HOG(RGB)+LBP(RGB);13.336673;7148;468;196;48;96
HOG(RGB)+LBP(RGB);13.285674;1748;248;255;32;64
HOG(RGB)+LBP(RGB);13.263345;2000;1088;135;32;64
HOG(RGB)+LBP(RGB);13.257121;2344;1008;192;32;64
HOG(RGB)+LBP(RGB);13.245280;5212;224;296;32;64
HOG(RGB)+LBP(RGB);13.222800;4688;24;232;32;64
HOG(RGB)+LBP(RGB);13.191591;340;176;224;32;64
HOG(RGB)+LBP(RGB);13.180717;4824;1104;184;32;64
