Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+ORB(RGB);12.343092;5568;952;175;32;64
HOG(RGB)+ORB(RGB);12.321010;480;1048;232;32;64
HOG(RGB)+ORB(RGB);12.275955;4672;744;168;32;64
HOG(RGB)+ORB(RGB);12.087716;3144;912;172;48;96
HOG(RGB)+ORB(RGB);12.074782;2064;300;136;48;96
HOG(RGB)+ORB(RGB);11.998361;96;40;112;32;64
HOG(RGB)+ORB(RGB);11.929707;4832;88;192;32;64
HOG(RGB)+ORB(RGB);11.917863;3980;1040;280;32;64
HOG(RGB)+ORB(RGB);11.864615;952;1096;208;32;64
HOG(RGB)+ORB(RGB);11.846501;168;576;160;32;64
HOG(RGB)+ORB(RGB);11.832626;784;588;158;48;96
HOG(RGB)+ORB(RGB);11.789199;6800;0;135;96;192
HOG(RGB)+ORB(RGB);11.751026;4736;888;160;96;192
HOG(RGB)+ORB(RGB);11.736624;336;1104;288;32;64
HOG(RGB)+ORB(RGB);11.706498;4516;208;192;32;64
HOG(RGB)+ORB(RGB);11.677765;3620;720;160;32;64
HOG(RGB)+ORB(RGB);11.653592;848;1104;200;32;64
HOG(RGB)+ORB(RGB);11.614120;600;48;148;48;96
HOG(RGB)+ORB(RGB);11.594982;6180;1168;192;32;64
HOG(RGB)+ORB(RGB);11.555723;4704;952;175;32;64
HOG(RGB)+ORB(RGB);11.526543;4400;584;191;32;64
HOG(RGB)+ORB(RGB);11.522337;7096;816;216;32;64
HOG(RGB)+ORB(RGB);11.511500;1680;16;200;32;64
HOG(RGB)+ORB(RGB);11.490990;2392;1104;256;32;64
HOG(RGB)+ORB(RGB);11.482087;3472;1176;183;32;64
HOG(RGB)+ORB(RGB);11.475392;2088;856;216;32;64
HOG(RGB)+ORB(RGB);11.469683;5992;960;152;32;64
HOG(RGB)+ORB(RGB);11.465870;6708;8;256;32;64
HOG(RGB)+ORB(RGB);11.447277;5136;864;160;64;128
HOG(RGB)+ORB(RGB);11.424180;5288;1120;168;32;64
HOG(RGB)+ORB(RGB);11.410974;4560;744;200;32;64
HOG(RGB)+ORB(RGB);11.384250;3896;984;168;32;64
HOG(RGB)+ORB(RGB);11.304898;3192;896;176;32;64
HOG(RGB)+ORB(RGB);11.292026;4800;624;176;32;64
HOG(RGB)+ORB(RGB);11.287862;3196;1144;192;32;64
HOG(RGB)+ORB(RGB);11.247256;4580;584;191;32;64
HOG(RGB)+ORB(RGB);11.240017;6632;1168;224;32;64
HOG(RGB)+ORB(RGB);11.232746;2612;304;160;32;64
HOG(RGB)+ORB(RGB);11.231626;2832;80;208;32;64
HOG(RGB)+ORB(RGB);11.208862;5516;360;200;32;64
HOG(RGB)+ORB(RGB);11.203591;5680;192;176;32;64
HOG(RGB)+ORB(RGB);11.202107;52;328;200;32;64
HOG(RGB)+ORB(RGB);11.193934;340;224;192;32;64
HOG(RGB)+ORB(RGB);11.166244;5608;1176;183;32;64
HOG(RGB)+ORB(RGB);11.137850;3492;468;148;48;96
HOG(RGB)+ORB(RGB);11.131932;6348;408;184;32;64
HOG(RGB)+ORB(RGB);11.130260;2276;864;144;64;128
HOG(RGB)+ORB(RGB);11.122135;7256;1160;184;32;64
HOG(RGB)+ORB(RGB);11.099804;3472;1120;191;32;64
HOG(RGB)+ORB(RGB);11.067533;3084;1176;148;48;96
HOG(RGB)+ORB(RGB);11.063898;6292;584;191;32;64
HOG(RGB)+ORB(RGB);11.052703;4940;1184;295;32;64
HOG(RGB)+ORB(RGB);11.052634;4088;1112;184;32;64
HOG(RGB)+ORB(RGB);11.050736;1300;616;183;32;64
HOG(RGB)+ORB(RGB);11.035208;748;992;216;32;64
HOG(RGB)+ORB(RGB);11.024130;4140;952;264;32;64
HOG(RGB)+ORB(RGB);11.023369;316;1104;208;64;128
HOG(RGB)+ORB(RGB);11.018567;2408;588;158;48;96
HOG(RGB)+ORB(RGB);11.017900;4388;832;160;32;64
HOG(RGB)+ORB(RGB);11.013231;5980;728;192;32;64
HOG(RGB)+ORB(RGB);11.002911;6084;784;160;32;64
HOG(RGB)+ORB(RGB);10.999237;5996;324;172;48;96
HOG(RGB)+ORB(RGB);10.989573;2168;840;184;32;64
HOG(RGB)+ORB(RGB);10.988095;1368;840;196;48;96
HOG(RGB)+ORB(RGB);10.974477;356;784;192;32;64
HOG(RGB)+ORB(RGB);10.974371;4072;360;232;48;96
HOG(RGB)+ORB(RGB);10.966433;2344;104;240;32;64
HOG(RGB)+ORB(RGB);10.960113;5928;592;208;32;64
HOG(RGB)+ORB(RGB);10.955628;1044;600;160;32;64
HOG(RGB)+ORB(RGB);10.949987;5164;240;152;80;160
HOG(RGB)+ORB(RGB);10.946316;6020;1032;168;32;64
