Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+RAW(LUV);10.817112;1984;256;143;32;64
HOG(RGB)+RAW(LUV);10.563059;6228;256;143;32;64
HOG(RGB)+RAW(LUV);10.110770;5572;192;184;48;96
HOG(RGB)+RAW(LUV);10.020406;316;728;168;32;64
HOG(RGB)+RAW(LUV);10.008175;4116;256;143;32;64
HOG(RGB)+RAW(LUV);9.848764;6052;240;152;32;64
HOG(RGB)+RAW(LUV);9.738495;6692;688;192;32;64
HOG(RGB)+RAW(LUV);9.523766;1812;192;184;48;96
HOG(RGB)+RAW(LUV);9.523209;7344;896;223;32;64
HOG(RGB)+RAW(LUV);9.419600;5272;480;168;32;64
HOG(RGB)+RAW(LUV);9.418481;6600;880;128;32;64
HOG(RGB)+RAW(LUV);9.369280;4988;984;196;48;96
HOG(RGB)+RAW(LUV);9.322467;1424;736;296;32;64
HOG(RGB)+RAW(LUV);9.273429;3020;1104;176;64;128
HOG(RGB)+RAW(LUV);9.242955;460;928;143;64;128
HOG(RGB)+RAW(LUV);9.235447;6144;204;172;48;96
HOG(RGB)+RAW(LUV);9.206389;7140;0;192;80;160
HOG(RGB)+RAW(LUV);9.200129;84;228;160;48;96
HOG(RGB)+RAW(LUV);9.115169;1832;240;184;48;96
HOG(RGB)+RAW(LUV);9.083014;5504;480;159;32;64
HOG(RGB)+RAW(LUV);9.078467;5664;1072;216;32;64
HOG(RGB)+RAW(LUV);9.036962;1204;52;138;104;208
HOG(RGB)+RAW(LUV);9.035551;6304;160;192;80;160
HOG(RGB)+RAW(LUV);8.992064;6184;936;136;96;192
HOG(RGB)+RAW(LUV);8.988503;1612;992;192;32;64
HOG(RGB)+RAW(LUV);8.974463;5224;136;184;32;64
HOG(RGB)+RAW(LUV);8.972075;6204;456;176;32;64
HOG(RGB)+RAW(LUV);8.967171;5192;80;112;80;160
HOG(RGB)+RAW(LUV);8.927614;4180;896;128;32;64
HOG(RGB)+RAW(LUV);8.880419;1088;416;167;32;64
HOG(RGB)+RAW(LUV);8.879521;1012;312;244;48;96
HOG(RGB)+RAW(LUV);8.862854;44;288;224;64;128
HOG(RGB)+RAW(LUV);8.848605;784;348;134;48;96
HOG(RGB)+RAW(LUV);8.840564;2392;1160;176;32;64
HOG(RGB)+RAW(LUV);8.833003;5688;1192;144;32;64
HOG(RGB)+RAW(LUV);8.825466;2952;448;167;32;64
HOG(RGB)+RAW(LUV);8.816054;3628;200;159;32;64
HOG(RGB)+RAW(LUV);8.800509;4308;304;159;32;64
HOG(RGB)+RAW(LUV);8.795445;7372;416;167;32;64
HOG(RGB)+RAW(LUV);8.723320;2144;352;159;64;128
HOG(RGB)+RAW(LUV);8.717995;400;688;168;32;64
HOG(RGB)+RAW(LUV);8.708124;5132;340;132;80;160
HOG(RGB)+RAW(LUV);8.659261;3700;416;167;32;64
HOG(RGB)+RAW(LUV);8.654873;1928;672;128;32;64
HOG(RGB)+RAW(LUV);8.647764;6676;368;143;64;128
HOG(RGB)+RAW(LUV);8.629985;4308;896;223;32;64
HOG(RGB)+RAW(LUV);8.606635;1444;336;158;48;96
HOG(RGB)+RAW(LUV);8.596853;2812;1056;144;32;64
HOG(RGB)+RAW(LUV);8.596274;7424;876;256;48;96
HOG(RGB)+RAW(LUV);8.586761;5336;848;120;32;64
HOG(RGB)+RAW(LUV);8.563359;4472;352;176;64;128
HOG(RGB)+RAW(LUV);8.553713;1568;520;215;32;64
HOG(RGB)+RAW(LUV);8.553268;5124;408;167;32;64
HOG(RGB)+RAW(LUV);8.519698;2136;1104;128;32;64
HOG(RGB)+RAW(LUV);8.512597;3996;240;148;48;96
HOG(RGB)+RAW(LUV);8.505905;4368;228;196;48;96
HOG(RGB)+RAW(LUV);8.500919;4976;416;167;32;64
HOG(RGB)+RAW(LUV);8.488297;444;96;256;32;64
HOG(RGB)+RAW(LUV);8.480838;4356;368;184;32;64
HOG(RGB)+RAW(LUV);8.480106;4444;128;176;64;128
HOG(RGB)+RAW(LUV);8.479130;100;1184;192;32;64
HOG(RGB)+RAW(LUV);8.467431;768;496;144;32;64
HOG(RGB)+RAW(LUV);8.457838;240;528;136;48;96
HOG(RGB)+RAW(LUV);8.451239;1384;416;167;32;64
HOG(RGB)+RAW(LUV);8.446260;4564;336;158;48;96
HOG(RGB)+RAW(LUV);8.445723;2256;312;120;32;64
HOG(RGB)+RAW(LUV);8.441157;6600;816;176;32;64
HOG(RGB)+RAW(LUV);8.438511;2856;952;176;32;64
HOG(RGB)+RAW(LUV);8.398398;1464;156;172;48;96
HOG(RGB)+RAW(LUV);8.392334;7324;208;144;32;64
HOG(RGB)+RAW(LUV);8.385764;7188;416;167;32;64
HOG(RGB)+RAW(LUV);8.382562;1992;948;208;48;96
HOG(RGB)+RAW(LUV);8.382157;7448;240;194;48;96
HOG(RGB)+RAW(LUV);8.377547;1504;944;144;64;128
HOG(RGB)+RAW(LUV);8.377398;2572;728;120;32;64
HOG(RGB)+RAW(LUV);8.373376;3632;1104;268;48;96
HOG(RGB)+RAW(LUV);8.371711;816;400;136;32;64
HOG(RGB)+RAW(LUV);8.365686;6536;344;184;32;64
HOG(RGB)+RAW(LUV);8.362830;5036;40;248;32;64
HOG(RGB)+RAW(LUV);8.351317;5924;416;167;32;64
HOG(RGB)+RAW(LUV);8.343813;3180;732;160;48;96
HOG(RGB)+RAW(LUV);8.336551;324;984;218;48;96
HOG(RGB)+RAW(LUV);8.331720;4120;240;172;80;160
HOG(RGB)+RAW(LUV);8.322387;1632;416;167;32;64
HOG(RGB)+RAW(LUV);8.319841;6404;264;192;32;64
HOG(RGB)+RAW(LUV);8.318702;2408;348;134;48;96
HOG(RGB)+RAW(LUV);8.313807;2984;296;152;32;64
HOG(RGB)+RAW(LUV);8.311284;368;336;143;64;128
HOG(RGB)+RAW(LUV);8.298482;1664;864;208;64;128
HOG(RGB)+RAW(LUV);8.282853;4656;792;192;32;64
HOG(RGB)+RAW(LUV);8.281728;2932;848;168;32;64
HOG(RGB)+RAW(LUV);8.277741;1040;912;296;32;64
HOG(RGB)+RAW(LUV);8.276090;476;376;176;32;64
HOG(RGB)+RAW(LUV);8.274192;3524;140;152;80;160
HOG(RGB)+RAW(LUV);8.240949;6224;496;152;32;64
HOG(RGB)+RAW(LUV);8.235189;7032;840;272;32;64
HOG(RGB)+RAW(LUV);8.232889;768;32;152;32;64
HOG(RGB)+RAW(LUV);8.226433;112;0;112;80;160
HOG(RGB)+RAW(LUV);8.222083;2440;852;136;48;96
HOG(RGB)+RAW(LUV);8.221227;5928;900;208;48;96
HOG(RGB)+RAW(LUV);8.220773;7460;228;232;48;96
HOG(RGB)+RAW(LUV);8.220758;156;240;194;48;96
HOG(RGB)+RAW(LUV);8.219302;5900;492;172;48;96
HOG(RGB)+RAW(LUV);8.217475;4320;128;184;32;64
HOG(RGB)+RAW(LUV);8.215624;3984;928;176;64;128
HOG(RGB)+RAW(LUV);8.214348;3688;0;128;64;128
HOG(RGB)+RAW(LUV);8.192739;2452;800;136;32;64
HOG(RGB)+RAW(LUV);8.192314;5760;408;167;32;64
HOG(RGB)+RAW(LUV);8.187819;6780;36;160;48;96
HOG(RGB)+RAW(LUV);8.184672;4844;368;143;64;128
HOG(RGB)+RAW(LUV);8.179191;696;224;208;64;128
HOG(RGB)+RAW(LUV);8.177684;5680;408;184;32;64
HOG(RGB)+RAW(LUV);8.176535;808;1100;152;80;160
HOG(RGB)+RAW(LUV);8.171802;3592;80;112;32;64
HOG(RGB)+RAW(LUV);8.171624;6412;300;152;80;160
HOG(RGB)+RAW(LUV);8.164863;2856;1088;200;32;64
HOG(RGB)+RAW(LUV);8.157918;3336;344;184;32;64
HOG(RGB)+RAW(LUV);8.152995;7412;88;280;32;64
HOG(RGB)+RAW(LUV);8.151183;2324;368;143;64;128
HOG(RGB)+RAW(LUV);8.149030;5040;728;164;104;208
HOG(RGB)+RAW(LUV);8.145406;4716;832;224;64;128
HOG(RGB)+RAW(LUV);8.144155;6480;448;167;32;64
HOG(RGB)+RAW(LUV);8.143471;6172;384;172;48;96
HOG(RGB)+RAW(LUV);8.140014;4912;352;159;64;128
HOG(RGB)+RAW(LUV);8.139369;2128;8;184;32;64
HOG(RGB)+RAW(LUV);8.135680;1496;800;150;80;160
HOG(RGB)+RAW(LUV);8.133403;6212;1104;208;48;96
HOG(RGB)+RAW(LUV);8.133245;1224;792;136;96;192
HOG(RGB)+RAW(LUV);8.132274;6136;576;192;32;64
HOG(RGB)+RAW(LUV);8.132090;4780;620;110;80;160
HOG(RGB)+RAW(LUV);8.128806;6184;1060;152;80;160
HOG(RGB)+RAW(LUV);8.128545;1368;224;160;32;64
HOG(RGB)+RAW(LUV);8.126493;4848;208;208;64;128
HOG(RGB)+RAW(LUV);8.125385;6244;352;208;64;128
HOG(RGB)+RAW(LUV);8.119292;1444;896;223;32;64
HOG(RGB)+RAW(LUV);8.119117;3172;728;144;32;64
HOG(RGB)+RAW(LUV);8.110238;2956;368;143;64;128
HOG(RGB)+RAW(LUV);8.108931;6404;888;268;48;96
HOG(RGB)+RAW(LUV);8.108110;3012;272;224;32;64
HOG(RGB)+RAW(LUV);8.106402;68;824;200;32;64
HOG(RGB)+RAW(LUV);8.104545;156;416;167;32;64
HOG(RGB)+RAW(LUV);8.100699;7288;368;143;64;128
HOG(RGB)+RAW(LUV);8.099223;3864;944;160;64;128
HOG(RGB)+RAW(LUV);8.097970;1232;156;244;48;96
HOG(RGB)+RAW(LUV);8.090890;1384;240;194;48;96
HOG(RGB)+RAW(LUV);8.090286;4376;912;112;96;192
HOG(RGB)+RAW(LUV);8.087795;3752;1016;240;32;64
HOG(RGB)+RAW(LUV);8.085165;1228;352;159;64;128
HOG(RGB)+RAW(LUV);8.085120;968;992;176;32;64
HOG(RGB)+RAW(LUV);8.084296;1984;756;134;48;96
HOG(RGB)+RAW(LUV);8.083160;3676;744;196;48;96
HOG(RGB)+RAW(LUV);8.073096;4304;528;176;32;64
HOG(RGB)+RAW(LUV);8.068219;7160;1152;136;48;96
HOG(RGB)+RAW(LUV);8.066811;5912;568;200;32;64
HOG(RGB)+RAW(LUV);8.066180;2704;392;144;32;64
HOG(RGB)+RAW(LUV);8.065396;6708;1000;208;32;64
HOG(RGB)+RAW(LUV);8.064913;48;736;216;32;64
HOG(RGB)+RAW(LUV);8.057538;2444;872;184;32;64
HOG(RGB)+RAW(LUV);8.052090;1272;368;143;64;128
HOG(RGB)+RAW(LUV);8.051559;4584;424;151;32;64
HOG(RGB)+RAW(LUV);8.050571;6368;960;160;32;64
HOG(RGB)+RAW(LUV);8.048634;6704;1140;172;80;160
HOG(RGB)+RAW(LUV);8.047283;1936;296;200;32;64
HOG(RGB)+RAW(LUV);8.046093;2652;664;168;32;64
HOG(RGB)+RAW(LUV);8.043881;1176;348;148;48;96
HOG(RGB)+RAW(LUV);8.043291;6052;828;160;48;96
HOG(RGB)+RAW(LUV);8.041369;4696;528;191;32;64
HOG(RGB)+RAW(LUV);8.035022;64;832;128;64;128
HOG(RGB)+RAW(LUV);8.029283;4572;800;144;32;64
HOG(RGB)+RAW(LUV);8.025983;2384;80;192;80;160
HOG(RGB)+RAW(LUV);8.022297;3704;860;212;80;160
HOG(RGB)+RAW(LUV);8.021686;4564;896;223;32;64
HOG(RGB)+RAW(LUV);8.021613;1908;880;152;32;64
HOG(RGB)+RAW(LUV);8.021086;3032;816;144;64;128
HOG(RGB)+RAW(LUV);8.015119;4752;192;176;64;128
HOG(RGB)+RAW(LUV);8.014121;636;684;268;48;96
HOG(RGB)+RAW(LUV);8.008432;3036;592;288;32;64
