Name;Score;ImageNumber;X;Y;Width;Height
HONV;10.142199;5468;584;168;32;64
HONV;9.507703;1104;260;132;80;160
HONV;9.144437;80;1056;128;32;64
HONV;8.986753;5644;1140;112;48;96
HONV;8.913968;7384;1000;192;32;64
HONV;8.870364;4680;968;112;32;64
HONV;8.766265;5844;792;176;32;64
HONV;8.764282;4900;632;192;32;64
HONV;8.718830;3536;240;144;32;64
HONV;8.700664;6856;0;112;128;256
HONV;8.699467;572;248;168;32;64
HONV;8.649852;2040;1128;160;96;192
HONV;8.604927;5780;552;160;96;192
HONV;8.595390;3392;816;122;48;96
HONV;8.573725;2944;816;124;48;96
HONV;8.571190;2620;760;128;32;64
HONV;8.461249;2752;592;176;32;64
HONV;8.451165;6952;684;172;48;96
HONV;8.445628;1344;584;128;32;64
HONV;8.414822;3396;564;160;48;96
HONV;8.398916;3112;1008;192;32;64
HONV;8.396382;6576;1104;112;32;64
HONV;8.378842;5824;336;112;96;192
HONV;8.378832;6628;832;160;32;64
HONV;8.361302;4260;752;272;32;64
HONV;8.297907;4996;504;138;112;224
HONV;8.291390;1512;976;144;32;64
HONV;8.281077;4216;1176;220;48;96
HONV;8.273965;6468;776;184;32;64
HONV;8.267695;4024;1104;112;48;96
HONV;8.238677;2128;1140;112;48;96
HONV;8.237650;6388;888;200;32;64
HONV;8.202093;7068;1008;296;32;64
HONV;8.162278;5132;696;168;32;64
HONV;8.140806;3828;984;112;32;64
HONV;8.129854;2320;952;136;32;64
HONV;8.117827;7280;1032;172;48;96
HONV;8.097463;6520;848;272;32;64
HONV;8.091988;2520;576;176;32;64
HONV;8.091451;4112;120;196;48;96
HONV;8.086705;3224;960;112;120;240
HONV;8.070957;2136;880;128;32;64
HONV;8.060784;188;320;136;32;64
HONV;8.058194;3224;976;160;64;128
HONV;8.050265;4840;192;136;32;64
HONV;8.014437;3756;1176;136;32;64
HONV;7.987212;3584;960;128;32;64
HONV;7.964056;6576;1120;208;32;64
HONV;7.961951;5672;1024;208;32;64
HONV;7.954720;4996;80;159;64;128
HONV;7.939239;4992;936;160;96;192
HONV;7.938802;6144;488;176;32;64
HONV;7.931349;732;1024;144;64;128
HONV;7.926460;3688;104;138;104;208
HONV;7.917694;776;120;112;96;192
HONV;7.908668;996;1200;176;32;64
HONV;7.904351;2424;1044;134;48;96
HONV;7.902668;3728;784;128;32;64
HONV;7.899564;2516;1120;112;32;64
HONV;7.896297;4764;944;160;32;64
HONV;7.883864;4596;752;128;32;64
HONV;7.874166;3196;1032;120;32;64
HONV;7.865179;4096;1032;120;32;64
HONV;7.856022;4324;912;160;48;96
HONV;7.855690;2160;840;168;32;64
HONV;7.855422;1260;408;148;48;96
HONV;7.850665;4636;1048;240;32;64
HONV;7.840899;3452;324;196;48;96
HONV;7.838264;4840;592;160;32;64
HONV;7.838138;1488;1044;124;48;96
HONV;7.833117;1932;492;172;48;96
HONV;7.832405;3056;1208;208;32;64
HONV;7.824510;4516;864;268;48;96
HONV;7.823049;6936;884;164;104;208
HONV;7.821536;484;1152;224;32;64
HONV;7.820877;1088;880;110;80;160
HONV;7.816111;4396;800;184;32;64
HONV;7.806386;6868;936;136;48;96
HONV;7.802722;6812;888;208;32;64
HONV;7.802089;5564;1064;111;32;64
HONV;7.800278;5276;636;184;48;96
HONV;7.798422;3216;120;172;80;160
HONV;7.791177;7156;740;172;80;160
HONV;7.782261;2860;636;194;48;96
HONV;7.760392;3240;1040;138;104;208
HONV;7.758489;5344;588;172;48;96
HONV;7.757384;1456;1152;112;32;64
HONV;7.752359;2492;496;136;32;64
HONV;7.748639;2600;1092;112;48;96
HONV;7.744953;756;448;168;32;64
HONV;7.740171;7388;1040;144;32;64
HONV;7.721530;6060;1128;124;48;96
HONV;7.713890;5416;1088;120;32;64
HONV;7.706764;520;1008;110;48;96
HONV;7.705452;776;1056;112;128;256
HONV;7.703259;6204;360;184;48;96
HONV;7.703096;5600;108;172;48;96
HONV;7.699230;1572;984;112;96;192
HONV;7.693518;6332;984;112;48;96
HONV;7.692605;1132;704;128;64;128
HONV;7.685809;824;260;132;80;160
HONV;7.675209;3508;980;140;112;224
HONV;7.673401;2832;560;172;80;160
HONV;7.671369;5896;60;132;80;160
HONV;7.663779;2168;912;208;32;64
HONV;7.653926;3104;40;208;32;64
HONV;7.644756;5056;1152;128;64;128
HONV;7.644521;2436;1092;138;104;208
HONV;7.635015;3148;72;170;48;96
HONV;7.632618;4076;1160;212;80;160
HONV;7.628477;1492;990;112;120;240
HONV;7.623850;620;864;184;48;96
HONV;7.621668;5780;768;200;32;64
HONV;7.621353;3848;944;128;64;128
HONV;7.620062;4756;1048;120;32;64
HONV;7.617041;2008;1176;148;48;96
HONV;7.614234;4104;960;196;48;96
HONV;7.601323;5664;828;136;48;96
HONV;7.600285;2388;588;172;48;96
HONV;7.598643;5708;1164;244;48;96
HONV;7.597541;5516;580;172;80;160
HONV;7.595307;6604;720;192;32;64
HONV;7.593406;328;1192;176;32;64
HONV;7.588743;216;1072;208;32;64
HONV;7.587765;1104;576;168;32;64
HONV;7.583508;5480;1080;190;80;160
HONV;7.581504;5616;1048;120;32;64
HONV;7.579760;5532;16;111;64;128
HONV;7.558895;1692;192;194;48;96
HONV;7.555049;2468;840;124;48;96
HONV;7.554355;1384;616;127;32;64
HONV;7.554175;4968;560;192;32;64
HONV;7.552704;2384;920;184;32;64
HONV;7.551097;7208;960;136;32;64
HONV;7.546770;3708;712;144;32;64
HONV;7.546323;5800;1032;120;32;64
HONV;7.545463;336;1072;224;64;128
HONV;7.544188;136;960;112;96;192
HONV;7.542289;2896;1080;128;32;64
HONV;7.538741;6956;96;176;64;128
HONV;7.530086;3304;1000;144;32;64
HONV;7.525027;4868;816;160;32;64
HONV;7.522957;552;16;112;32;64
HONV;7.517466;356;888;160;48;96
HONV;7.512293;1116;1064;208;32;64
HONV;7.494143;892;468;172;48;96
HONV;7.490716;5776;808;176;32;64
HONV;7.488249;3828;976;112;64;128
HONV;7.483878;5560;928;176;32;64
HONV;7.479565;4996;624;159;64;128
HONV;7.477249;7000;656;152;32;64
HONV;7.474440;3168;448;152;32;64
HONV;7.473928;6820;840;196;48;96
HONV;7.473219;5868;650;164;104;208
HONV;7.471103;6720;516;172;48;96
HONV;7.470490;1600;120;111;120;240
HONV;7.467807;4440;896;128;32;64
HONV;7.467408;4140;1144;200;32;64
HONV;7.467109;604;928;223;32;64
HONV;7.465401;2924;1128;272;32;64
HONV;7.464262;4108;1032;112;48;96
HONV;7.464177;4936;872;128;32;64
HONV;7.461832;3056;8;216;32;64
HONV;7.457449;6896;852;124;48;96
HONV;7.455328;3368;568;159;32;64
HONV;7.454616;3400;0;112;112;224
HONV;7.453483;6832;1120;112;32;64
HONV;7.450909;144;1104;184;48;96
HONV;7.448385;7296;952;232;32;64
HONV;7.444226;6532;360;160;48;96
HONV;7.443556;2384;968;176;32;64
HONV;7.443007;948;56;248;32;64
HONV;7.440212;2892;472;136;32;64
HONV;7.433059;2832;640;172;80;160
HONV;7.432127;1240;480;151;80;160
HONV;7.431479;4368;1192;184;32;64
HONV;7.426807;3420;1208;152;32;64
HONV;7.425981;2632;864;192;32;64
HONV;7.419571;1836;808;144;32;64
HONV;7.412271;6936;480;184;32;64
HONV;7.409110;436;680;176;32;64
HONV;7.403306;5800;216;148;48;96
HONV;7.403165;4096;876;124;48;96
HONV;7.402040;4444;0;112;104;208
HONV;7.401501;472;36;196;48;96
HONV;7.399079;3324;924;110;48;96
HONV;7.394904;5288;546;164;104;208
HONV;7.391650;4280;376;136;32;64
HONV;7.387484;3132;988;138;104;208
HONV;7.387162;5764;904;128;32;64
HONV;7.382419;6564;880;128;32;64
HONV;7.379583;888;1208;184;32;64
HONV;7.374728;1404;816;280;32;64
HONV;7.368519;396;1104;128;32;64
HONV;7.364425;4880;560;160;32;64
HONV;7.363841;1008;1168;128;32;64
HONV;7.363185;6572;760;144;32;64
HONV;7.358924;6636;816;128;32;64
HONV;7.356539;2100;1176;112;48;96
HONV;7.354392;7024;472;136;32;64
HONV;7.354232;1256;360;167;32;64
HONV;7.352058;6060;1128;136;32;64
HONV;7.347020;6844;960;288;32;64
HONV;7.346441;460;96;159;96;192
HONV;7.346183;1632;880;231;32;64
HONV;7.344202;4496;990;112;120;240
HONV;7.341726;5968;48;168;32;64
HONV;7.337919;4728;1104;128;32;64
HONV;7.335128;2296;808;200;32;64
HONV;7.335018;5680;1136;288;32;64
HONV;7.333795;4504;612;160;48;96
HONV;7.329736;1376;672;140;112;224
HONV;7.329200;5788;1104;152;32;64
HONV;7.327544;7372;1128;127;32;64
HONV;7.323879;2004;608;136;32;64
HONV;7.316447;116;1016;224;32;64
HONV;7.315205;1228;608;127;32;64
HONV;7.311139;928;80;111;64;128
HONV;7.305627;4704;672;167;32;64
HONV;7.305140;736;1092;138;104;208
HONV;7.304937;976;232;160;32;64
HONV;7.302651;5640;36;136;48;96
HONV;7.298689;5200;552;160;48;96
HONV;7.296126;4716;1152;112;48;96
HONV;7.293676;7192;912;208;32;64
HONV;7.291796;3668;0;138;112;224
HONV;7.286513;5652;400;172;80;160
HONV;7.285226;3672;1184;112;32;64
HONV;7.275078;1152;888;296;32;64
HONV;7.272753;1944;960;112;80;160
HONV;7.272235;856;392;136;32;64
HONV;7.267461;772;544;136;32;64
HONV;7.266057;4464;952;184;32;64
