Name;Score;ImageNumber;X;Y;Width;Height
S2HOG(RGB);10.011189;4780;896;207;64;128
S2HOG(RGB);9.872772;6228;364;138;112;224
S2HOG(RGB);9.588438;6436;768;144;64;128
S2HOG(RGB);9.374801;4032;160;172;80;160
S2HOG(RGB);9.372037;4424;1112;128;32;64
S2HOG(RGB);9.281593;1196;372;172;48;96
S2HOG(RGB);9.227581;7032;712;256;32;64
S2HOG(RGB);9.130877;2348;1140;220;48;96
S2HOG(RGB);9.123602;1228;72;159;32;64
S2HOG(RGB);9.100279;1468;1048;184;32;64
S2HOG(RGB);9.095019;5620;112;184;32;64
S2HOG(RGB);8.990425;1244;848;256;32;64
S2HOG(RGB);8.971911;6440;300;192;80;160
S2HOG(RGB);8.969810;2928;440;304;32;64
S2HOG(RGB);8.933556;2324;312;159;96;192
S2HOG(RGB);8.930334;6288;864;240;64;128
S2HOG(RGB);8.923968;4208;224;240;32;64
S2HOG(RGB);8.923140;4280;960;112;96;192
S2HOG(RGB);8.917443;6692;1088;232;32;64
S2HOG(RGB);8.909670;6104;408;220;48;96
S2HOG(RGB);8.905502;3440;720;132;80;160
S2HOG(RGB);8.890267;3004;120;136;96;192
S2HOG(RGB);8.850292;5556;136;184;32;64
S2HOG(RGB);8.833243;3952;1128;144;32;64
S2HOG(RGB);8.829529;5184;256;208;64;128
S2HOG(RGB);8.815468;7176;806;138;104;208
S2HOG(RGB);8.767603;4600;72;124;48;96
S2HOG(RGB);8.757915;7224;768;256;48;96
S2HOG(RGB);8.741869;952;1024;144;32;64
S2HOG(RGB);8.734883;7104;896;112;112;224
S2HOG(RGB);8.732637;2540;140;152;80;160
S2HOG(RGB);8.706882;5980;420;140;112;224
S2HOG(RGB);8.695507;4420;112;240;64;128
S2HOG(RGB);8.691558;5164;192;268;48;96
S2HOG(RGB);8.689672;3540;808;192;32;64
S2HOG(RGB);8.664001;928;808;271;32;64
S2HOG(RGB);8.661604;6820;120;136;96;192
S2HOG(RGB);8.658995;7264;312;160;96;192
S2HOG(RGB);8.658475;5088;720;136;96;192
S2HOG(RGB);8.640798;6260;0;148;48;96
S2HOG(RGB);8.637998;2372;896;192;32;64
S2HOG(RGB);8.632948;3508;720;148;48;96
S2HOG(RGB);8.614889;6936;372;184;48;96
S2HOG(RGB);8.604585;6744;880;150;80;160
S2HOG(RGB);8.599031;2216;896;140;112;224
S2HOG(RGB);8.568293;2788;888;160;32;64
S2HOG(RGB);8.548289;5076;440;304;32;64
S2HOG(RGB);8.541395;528;1080;132;80;160
S2HOG(RGB);8.539084;2388;40;152;80;160
S2HOG(RGB);8.532486;3356;864;144;64;128
S2HOG(RGB);8.518881;284;96;184;48;96
S2HOG(RGB);8.497153;1444;60;130;80;160
S2HOG(RGB);8.479617;2496;336;264;32;64
S2HOG(RGB);8.471342;1384;936;191;32;64
S2HOG(RGB);8.469306;4400;280;151;32;64
S2HOG(RGB);8.463835;2428;480;176;32;64
S2HOG(RGB);8.456327;2476;704;232;32;64
S2HOG(RGB);8.454871;5488;712;256;32;64
S2HOG(RGB);8.438941;5528;400;224;64;128
S2HOG(RGB);8.435321;1288;800;176;64;128
S2HOG(RGB);8.422225;5576;848;128;64;128
S2HOG(RGB);8.422117;6992;864;152;32;64
S2HOG(RGB);8.420797;1808;0;192;64;128
S2HOG(RGB);8.407108;6844;440;256;32;64
S2HOG(RGB);8.405602;1848;848;176;32;64
S2HOG(RGB);8.400388;7104;780;132;80;160
S2HOG(RGB);8.400366;4496;952;136;32;64
S2HOG(RGB);8.395605;5844;1088;256;32;64
