Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;9;2384;0;2147;0.004174;0.000000;1.000000;0.004174;0.008314;-1.000000;0.995826;3.228855;-30.000000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;9;2384;0;2147;0.004174;0.000000;1.000000;0.004174;0.008314;-1.000000;0.995826;3.228855;-29.799999;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;10;2384;0;2146;0.004638;0.000000;1.000000;0.004638;0.009234;-1.000000;0.995362;3.228855;-29.600000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;11;2384;0;2145;0.005102;0.000000;1.000000;0.005102;0.010152;-1.000000;0.994898;3.228855;-29.400000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;12;2384;0;2144;0.005566;0.000000;1.000000;0.005566;0.011070;-1.000000;0.994434;3.228855;-29.200001;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;13;2384;0;2143;0.006030;0.000000;1.000000;0.006030;0.011987;-1.000000;0.993970;3.228855;-29.000000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;13;2384;0;2143;0.006030;0.000000;1.000000;0.006030;0.011987;-1.000000;0.993970;3.228855;-28.799999;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;13;2384;0;2143;0.006030;0.000000;1.000000;0.006030;0.011987;-1.000000;0.993970;3.228855;-28.600000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;14;2384;0;2142;0.006494;0.000000;1.000000;0.006494;0.012903;-1.000000;0.993506;3.228855;-28.400000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;15;2384;0;2141;0.006957;0.000000;1.000000;0.006957;0.013819;-1.000000;0.993043;3.228855;-28.200001;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;15;2384;0;2141;0.006957;0.000000;1.000000;0.006957;0.013819;-1.000000;0.993043;3.228855;-28.000000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;17;2384;0;2139;0.007885;0.000000;1.000000;0.007885;0.015647;-1.000000;0.992115;3.228855;-27.799999;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;18;2384;0;2138;0.008349;0.000000;1.000000;0.008349;0.016559;-1.000000;0.991651;3.228855;-27.600000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;21;2384;0;2135;0.009740;0.000000;1.000000;0.009740;0.019293;-1.000000;0.990260;3.228855;-27.400000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;24;2384;0;2132;0.011132;0.000000;1.000000;0.011132;0.022018;-1.000000;0.988868;3.228855;-27.200001;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;24;2384;0;2132;0.011132;0.000000;1.000000;0.011132;0.022018;-1.000000;0.988868;3.228855;-27.000000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;26;2384;0;2130;0.012059;0.000000;1.000000;0.012059;0.023831;-1.000000;0.987941;3.228855;-26.799999;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;34;2384;0;2122;0.015770;0.000000;1.000000;0.015770;0.031050;-1.000000;0.984230;3.228855;-26.600000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;36;2384;0;2120;0.016698;0.000000;1.000000;0.016698;0.032847;-1.000000;0.983302;3.228855;-26.400000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;37;2384;0;2119;0.017161;0.000000;1.000000;0.017161;0.033744;-1.000000;0.982839;3.228855;-26.200001;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;40;2384;0;2116;0.018553;0.000000;1.000000;0.018553;0.036430;-1.000000;0.981447;3.228855;-26.000000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;43;2384;0;2113;0.019944;0.000000;1.000000;0.019944;0.039109;-1.000000;0.980056;3.228855;-25.799999;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;48;2384;0;2108;0.022263;0.000000;1.000000;0.022263;0.043557;-1.000000;0.977737;3.228855;-25.600000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;53;2384;0;2103;0.024583;0.000000;1.000000;0.024583;0.047986;-1.000000;0.975417;3.228855;-25.400000;
CenSurE(RGB)+HOG(RGB)+HOG(Thermal)_round0;58;2384;0;2098;0.026902;0.000000;1.000000;0.026902;0.052394;-1.000000;0.973098;3.228855;-25.200001;
