Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;0;1021984;4;1850;0.000000;0.000004;0.000000;0.000000;-nan(ind);0.003356;1.000000;0.531549;-30.000000;788,3832,3916,4172,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;0;1021984;4;1850;0.000000;0.000004;0.000000;0.000000;-nan(ind);0.003356;1.000000;0.531549;-29.799999;788,3832,3916,4172,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;0;1021983;5;1850;0.000000;0.000005;0.000000;0.000000;-nan(ind);0.004195;1.000000;0.531549;-29.600000;788,964,3832,3916,4172,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;1;1021981;7;1849;0.000541;0.000007;0.125000;0.000541;0.001076;0.005872;0.999459;0.531549;-29.400000;788,964,2900,3832,3916,4172,4176,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;1;1021981;7;1849;0.000541;0.000007;0.125000;0.000541;0.001076;0.005872;0.999459;0.531549;-29.200001;788,964,2900,3832,3916,4172,4176,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;2;1021981;7;1848;0.001081;0.000007;0.222222;0.001081;0.002152;0.005872;0.998919;0.531549;-29.000000;788,964,2900,3832,3916,4172,4176,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;2;1021981;7;1848;0.001081;0.000007;0.222222;0.001081;0.002152;0.005872;0.998919;0.531549;-28.799999;788,964,2900,3832,3916,4172,4176,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;2;1021979;9;1848;0.001081;0.000009;0.181818;0.001081;0.002149;0.007550;0.998919;0.531549;-28.600000;964,788,2900,3832,3916,4172,4176,4244,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;3;1021977;11;1847;0.001622;0.000011;0.214286;0.001622;0.003219;0.009228;0.998378;0.531549;-28.400000;964,788,2900,3832,3836,3916,4172,4176,4244,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;3;1021976;12;1847;0.001622;0.000012;0.200000;0.001622;0.003217;0.010067;0.998378;0.531549;-28.200001;964,788,2900,3832,3836,3916,4172,4176,4244,4680,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
HOG(RGB)+HOG(Thermal)+LBP(RGB)[S]_round0;3;1021976;12;1847;0.001622;0.000012;0.200000;0.001622;0.003217;0.010067;0.998378;0.531549;-28.000000;964,788,2900,3832,3836,3916,4172,4176,4244,4680,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
