height;avgdepth
229;0,471430
222;0,549577
109;0,803601
266;0,324311
51;0,896772
131;0,807398
205;0,477370
51;0,000000
75;0,000000
66;0,672759
261;0,384373
205;0,636169
91;0,006485
77;0,885334
271;0,348138
91;0,293518
243;0,687105
279;0,599903
134;0,855160
201;0,428675
282;0,409820
37;0,890639
278;0,342668
78;0,000000
37;0,334888
94;0,425545
211;0,672314
41;0,785924
269;0,595501
129;0,731354
92;0,887562
80;0,579333
105;0,042895
119;0,734547
107;0,149944
48;0,000000
219;0,199790
254;0,662965
122;0,840665
268;0,798435
231;0,544257
96;0,000000
197;0,242467
164;0,359670
116;0,449040
183;0,528285
276;0,559028
101;0,253673
61;0,754286
194;0,815024
141;0,378712
69;0,000000
221;0,392489
35;0,885057
261;0,432617
209;0,062633
115;0,801466
160;0,817877
184;0,522033
280;0,580740
47;0,903475
123;0,945285
279;0,597676
275;0,632469
136;0,824992
228;0,120271
240;0,578855
257;0,222518
109;0,701862
71;0,000000
94;0,693442
134;0,000000
100;0,885245
237;0,472926
153;0,883736
92;0,410168
265;0,506399
280;0,452223
130;0,771460
287;0,623384
196;0,614692
139;0,245732
190;0,703390
51;0,037345
135;0,332887
251;0,603389
281;0,799352
66;0,817678
260;0,509922
285;0,769908
287;0,311609
164;0,753820
258;0,729155
276;0,552997
260;0,605273
158;0,878597
100;0,511450
107;0,914667
49;0,836457
168;0,908981
147;0,689739
34;0,912103
124;0,000000
198;0,427992
264;0,776471
249;0,218601
42;0,000000
64;0,795469
112;0,387780
195;0,849793
199;0,571603
235;0,647477
144;0,181876
61;0,629815
257;0,619866
268;0,714748
193;0,786893
167;0,370860
63;0,872200
94;0,397366
184;0,350450
124;0,650825
211;0,381070
159;0,212527
101;0,865774
178;0,171518
191;0,648482
275;0,465728
281;0,499150
158;0,840360
58;0,904952
112;0,060253
285;0,431977
81;0,257874
269;0,539528
180;0,369159
171;0,287930
150;0,803574
67;0,009837
200;0,318126
274;0,627000
94;0,848472
123;0,710151
120;0,875256
173;0,806838
249;0,475176
73;0,928533
186;0,523766
165;0,628139
66;0,883304
228;0,624941
58;0,736112
88;0,849187
55;0,917458
173;0,420831
277;0,814046
138;0,696802
238;0,671071
232;0,458387
168;0,868945
219;0,727549
146;0,623910
107;0,336431
38;0,492337
264;0,539560
108;0,869726
186;0,191719
115;0,031972
270;0,663206
59;0,625050
101;0,771968
92;0,833059
275;0,595319
65;0,918017
211;0,441469
98;0,648748
39;0,148056
247;0,647180
138;0,887940
212;0,840560
255;0,555589
51;0,000000
67;0,441727
258;0,639965
264;0,446123
239;0,519058
49;0,907117
56;0,000000
110;0,856539
110;0,906392
38;0,000000
271;0,527867
262;0,626009
36;0,907312
213;0,200796
248;0,484669
51;0,900822
263;0,480165
269;0,321350
237;0,718167
261;0,374988
74;0,698792
126;0,792894
137;0,870540
60;0,911247
51;0,684436
242;0,826439
116;0,889771
122;0,049325
267;0,571741
126;0,000000
106;0,870831
71;0,869658
214;0,651175
141;0,803074
195;0,126576
47;0,607055
221;0,602768
95;0,481244
167;0,850379
204;0,332966
181;0,626120
282;0,555698
125;0,441830
233;0,502552
192;0,234109
85;0,628813
105;0,881738
243;0,312554
269;0,565100
71;0,000000
66;0,302090
190;0,551335
76;0,000000
162;0,336909
164;0,827756
128;0,869576
206;0,498076
79;0,606907
148;0,677690
52;0,880270
263;0,396421
271;0,362544
198;0,251051
115;0,888847
120;0,036562
233;0,621092
118;0,799659
280;0,423788
117;0,808093
154;0,788423
283;0,394678
44;0,832423
59;0,861536
151;0,698873
86;0,000000
229;0,846937
150;0,876873
192;0,097162
82;0,000000
116;0,875427
240;0,799188
161;0,106331
243;0,477389
94;0,011859
96;0,838790
71;0,000000
57;0,907164
173;0,876072
254;0,497483
111;0,681613
198;0,574447
171;0,868845
65;0,839393
233;0,374337
223;0,541175
229;0,164955
124;0,703566
262;0,558272
284;0,463596
285;0,745931
265;0,438330
133;0,862483
211;0,813681
42;0,000000
154;0,240311
163;0,759594
83;0,142440
85;0,885488
52;0,000000
45;0,670865
138;0,864756
234;0,507163
125;0,894180
38;0,777653
183;0,036813
144;0,763845
262;0,452504
260;0,352547
49;0,192318
139;0,000000
84;0,000000
37;0,541814
215;0,517035
139;0,934707
191;0,197091
190;0,634907
195;0,314668
245;0,586272
216;0,575106
70;0,655348
112;0,763430
72;0,810676
174;0,834070
99;0,000000
188;0,790181
169;0,199433
214;0,354077
105;0,009488
86;0,852565
182;0,464818
143;0,412224
103;0,835390
49;0,000000
212;0,667519
75;0,806692
206;0,790608
33;0,798809
92;0,896849
142;0,804157
115;0,913925
252;0,525194
148;0,587228
53;0,901288
111;0,583144
174;0,000000
71;0,346512
214;0,655760
212;0,735538
131;0,073746
229;0,397021
144;0,768697
219;0,129991
64;0,000000
107;0,856097
179;0,735460
115;0,056917
198;0,880156
105;0,727098
88;0,852728
175;0,044749
228;0,447358
121;0,017492
73;0,845957
282;0,407838
59;0,000000
152;0,355945
193;0,435938
59;0,667862
234;0,683023
280;0,585623
89;0,728684
179;0,656741
186;0,831086
