Name;Score;ImageNumber;X;Y;Width;Height
CenSurE(RGB)+HOG(RGB);10.118941;3936;396;177;48;96
CenSurE(RGB)+HOG(RGB);9.379640;3710;456;234;32;64
CenSurE(RGB)+HOG(RGB);8.890451;4302;192;297;96;192
CenSurE(RGB)+HOG(RGB);8.883108;4588;360;273;96;192
CenSurE(RGB)+HOG(RGB);8.685679;1574;456;202;32;64
CenSurE(RGB)+HOG(RGB);8.636366;794;456;274;32;64
CenSurE(RGB)+HOG(RGB);8.607219;646;112;194;32;64
CenSurE(RGB)+HOG(RGB);8.564548;3736;584;202;32;64
CenSurE(RGB)+HOG(RGB);8.552957;2292;0;170;32;64
CenSurE(RGB)+HOG(RGB);8.404467;972;208;297;64;128
CenSurE(RGB)+HOG(RGB);8.337761;3614;408;242;32;64
CenSurE(RGB)+HOG(RGB);8.320528;4612;156;273;48;96
CenSurE(RGB)+HOG(RGB);8.279782;3944;144;237;48;96
CenSurE(RGB)+HOG(RGB);8.214974;1404;480;234;32;64
CenSurE(RGB)+HOG(RGB);8.196962;1278;96;248;128;256
CenSurE(RGB)+HOG(RGB);8.142697;2410;480;213;48;96
CenSurE(RGB)+HOG(RGB);8.091046;16;270;212;120;240
CenSurE(RGB)+HOG(RGB);8.066534;3946;208;205;104;208
CenSurE(RGB)+HOG(RGB);8.059991;1474;48;201;48;96
CenSurE(RGB)+HOG(RGB);7.950617;4244;336;321;48;96
CenSurE(RGB)+HOG(RGB);7.902910;1262;160;329;64;128
CenSurE(RGB)+HOG(RGB);7.836053;1142;480;165;48;96
CenSurE(RGB)+HOG(RGB);7.812268;1216;210;182;120;240
CenSurE(RGB)+HOG(RGB);7.800686;790;494;205;104;208
CenSurE(RGB)+HOG(RGB);7.796347;1442;592;354;32;64
CenSurE(RGB)+HOG(RGB);7.794785;796;464;290;32;64
CenSurE(RGB)+HOG(RGB);7.786058;1270;160;329;64;128
CenSurE(RGB)+HOG(RGB);7.781537;3486;64;266;32;64
CenSurE(RGB)+HOG(RGB);7.745446;1314;120;273;48;96
CenSurE(RGB)+HOG(RGB);7.732522;4162;156;201;48;96
CenSurE(RGB)+HOG(RGB);7.715985;4180;64;377;64;128
CenSurE(RGB)+HOG(RGB);7.705673;3706;448;242;32;64
CenSurE(RGB)+HOG(RGB);7.690073;4204;384;154;32;64
CenSurE(RGB)+HOG(RGB);7.682787;320;156;237;48;96
CenSurE(RGB)+HOG(RGB);7.661807;3456;182;257;104;208
CenSurE(RGB)+HOG(RGB);7.655596;2112;48;194;32;64
CenSurE(RGB)+HOG(RGB);7.655077;2472;280;154;80;160
CenSurE(RGB)+HOG(RGB);7.653010;310;192;248;128;256
CenSurE(RGB)+HOG(RGB);7.627103;4282;408;370;32;64
CenSurE(RGB)+HOG(RGB);7.586069;2396;408;177;48;96
CenSurE(RGB)+HOG(RGB);7.581838;1016;456;386;32;64
CenSurE(RGB)+HOG(RGB);7.572331;2748;260;254;80;160
CenSurE(RGB)+HOG(RGB);7.563388;1400;552;250;32;64
CenSurE(RGB)+HOG(RGB);7.538795;608;600;290;32;64
CenSurE(RGB)+HOG(RGB);7.528209;2812;168;309;48;96
CenSurE(RGB)+HOG(RGB);7.502931;2952;32;233;64;128
CenSurE(RGB)+HOG(RGB);7.483540;4250;12;297;48;96
CenSurE(RGB)+HOG(RGB);7.467628;2610;192;194;32;64
CenSurE(RGB)+HOG(RGB);7.464818;2618;540;261;48;96
CenSurE(RGB)+HOG(RGB);7.453097;3048;492;321;48;96
CenSurE(RGB)+HOG(RGB);7.423237;2732;440;242;32;64
CenSurE(RGB)+HOG(RGB);7.405109;2520;576;369;48;96
CenSurE(RGB)+HOG(RGB);7.384001;660;320;202;32;64
CenSurE(RGB)+HOG(RGB);7.381354;2950;384;178;32;64
CenSurE(RGB)+HOG(RGB);7.371563;2656;56;154;32;64
CenSurE(RGB)+HOG(RGB);7.371497;4640;312;194;32;64
CenSurE(RGB)+HOG(RGB);7.362195;3492;84;261;48;96
CenSurE(RGB)+HOG(RGB);7.350125;1630;144;218;32;64
CenSurE(RGB)+HOG(RGB);7.329056;1530;84;237;48;96
CenSurE(RGB)+HOG(RGB);7.306105;398;168;386;32;64
CenSurE(RGB)+HOG(RGB);7.299984;1430;416;249;64;128
CenSurE(RGB)+HOG(RGB);7.293278;90;152;250;32;64
CenSurE(RGB)+HOG(RGB);7.286909;1568;456;201;48;96
CenSurE(RGB)+HOG(RGB);7.270774;4196;384;154;32;64
CenSurE(RGB)+HOG(RGB);7.264651;3256;208;194;32;64
CenSurE(RGB)+HOG(RGB);7.264458;4764;156;213;48;96
CenSurE(RGB)+HOG(RGB);7.260107;1130;560;249;64;128
CenSurE(RGB)+HOG(RGB);7.253362;1252;204;297;48;96
CenSurE(RGB)+HOG(RGB);7.253090;3924;440;258;32;64
CenSurE(RGB)+HOG(RGB);7.248320;1264;160;329;64;128
CenSurE(RGB)+HOG(RGB);7.243209;3618;80;185;64;128
CenSurE(RGB)+HOG(RGB);7.242747;2750;480;169;64;128
