Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;13.464689;3084;324;261;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;11.361859;1318;0;281;64;128
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;11.237810;3584;372;177;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;11.144526;3892;540;177;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;11.100311;1138;384;202;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;11.043542;1206;544;210;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.892506;1360;180;213;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.804586;1278;72;189;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.774819;686;492;225;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.749347;3604;152;218;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.686877;1488;384;202;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.663320;3668;160;202;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.662975;3416;192;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.649889;1474;264;165;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.600458;1240;516;249;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.594765;1416;588;285;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.542196;950;480;213;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.537085;1558;384;201;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.529485;2802;96;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.505149;3344;360;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.438664;3350;496;258;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.423284;416;192;194;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.402416;2978;400;274;80;160
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.393614;692;544;282;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.326492;338;384;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.292792;2820;200;178;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.258670;3066;112;202;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.228647;2848;400;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.221841;3814;112;226;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.184475;780;96;273;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.172167;3512;264;189;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.158083;1360;48;201;64;128
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.115840;692;528;261;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.113627;1444;432;201;64;128
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.113430;1502;28;180;112;224
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.096996;916;540;201;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.076513;3668;84;201;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.062338;1600;504;213;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.054785;1060;88;186;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.045659;3828;40;210;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.044602;1642;224;154;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.032410;3120;40;194;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.029577;2642;372;297;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.023708;84;448;152;112;224
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.022220;1442;392;226;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.019814;326;392;202;32;64
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.014270;3326;180;194;80;160
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;10.007876;3034;204;273;48;96
CoOccurrence(RGB)+HOG(RGB)+HOG(Thermal)+HOI;9.999688;1520;300;189;48;96
