Name;Score;ImageNumber;X;Y;Width;Height
FAST(RGB);3.625774;1194;328;210;32;64
FAST(RGB);3.576537;3490;48;189;48;96
FAST(RGB);3.535281;1302;8;186;32;64
FAST(RGB);3.528379;3540;88;202;32;64
FAST(RGB);3.434057;1376;432;154;32;64
FAST(RGB);3.425340;652;480;170;32;64
FAST(RGB);3.404903;3292;360;249;48;96
FAST(RGB);3.387101;3930;512;218;32;64
FAST(RGB);3.363680;3944;480;218;32;64
FAST(RGB);3.329897;2100;168;330;32;64
FAST(RGB);3.328002;414;468;201;48;96
FAST(RGB);3.320647;1426;324;261;48;96
FAST(RGB);3.314141;4098;592;202;32;64
FAST(RGB);3.260641;2578;528;194;32;64
FAST(RGB);3.239314;4280;24;154;32;64
FAST(RGB);3.232413;2776;396;177;48;96
FAST(RGB);3.222402;356;576;314;32;64
FAST(RGB);3.216846;2480;296;210;32;64
FAST(RGB);3.213861;3298;360;249;48;96
FAST(RGB);3.210340;3326;120;210;32;64
FAST(RGB);3.187739;2584;448;313;64;128
FAST(RGB);3.177728;3956;24;226;32;64
FAST(RGB);3.160619;2582;460;314;80;160
FAST(RGB);3.159871;2658;0;202;32;64
FAST(RGB);3.156401;3218;272;170;32;64
FAST(RGB);3.153779;2522;72;170;32;64
FAST(RGB);3.144758;2692;280;152;112;224
FAST(RGB);3.138624;1506;400;169;64;128
FAST(RGB);3.133996;1590;384;153;48;96
FAST(RGB);3.132843;636;56;218;32;64
FAST(RGB);3.131907;1360;72;165;48;96
FAST(RGB);3.130297;2492;80;186;32;64
FAST(RGB);3.129374;32;216;178;32;64
FAST(RGB);3.121178;812;496;234;32;64
FAST(RGB);3.120286;994;360;189;48;96
FAST(RGB);3.119363;6;160;202;32;64
FAST(RGB);3.117708;1234;312;273;48;96
FAST(RGB);3.116938;1198;344;154;32;64
FAST(RGB);3.112462;358;168;154;32;64
FAST(RGB);3.110757;604;72;225;48;96
FAST(RGB);3.106416;778;408;242;32;64
FAST(RGB);3.101506;1648;264;170;32;64
FAST(RGB);3.094604;3972;352;194;32;64
FAST(RGB);3.091332;4364;348;261;48;96
FAST(RGB);3.091135;444;396;189;48;96
FAST(RGB);3.089041;456;32;265;64;128
FAST(RGB);3.085226;2578;444;393;48;96
FAST(RGB);3.076539;1618;88;250;32;64
FAST(RGB);3.074161;1572;448;402;32;64
FAST(RGB);3.073035;2844;392;202;32;64
FAST(RGB);3.072388;3938;480;298;32;64
FAST(RGB);3.071183;784;516;273;48;96
FAST(RGB);3.067713;3288;568;234;32;64
FAST(RGB);3.066100;3476;528;153;96;192
FAST(RGB);3.064563;2642;464;282;32;64
FAST(RGB);3.058876;2624;128;210;32;64
FAST(RGB);3.058198;644;420;201;48;96
FAST(RGB);3.057881;1046;280;162;32;64
FAST(RGB);3.057439;3818;560;202;32;64
FAST(RGB);3.057227;4424;592;282;32;64
FAST(RGB);3.053828;3458;104;202;32;64
FAST(RGB);3.053362;234;384;152;128;256
FAST(RGB);3.053056;1366;520;334;80;160
FAST(RGB);3.050769;4244;360;186;32;64
FAST(RGB);3.049111;1134;120;226;32;64
FAST(RGB);3.046461;356;496;201;64;128
FAST(RGB);3.044748;1170;8;178;32;64
FAST(RGB);3.043838;4446;280;266;32;64
FAST(RGB);3.042227;3294;360;249;48;96
