Name;Score;ImageNumber;X;Y;Width;Height
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);8.328393;2986;216;162;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);8.282441;2810;304;202;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);8.143806;3014;492;153;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.721306;4296;48;249;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.617367;3132;276;153;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.588752;3584;64;234;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.541506;3446;408;226;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.466146;726;588;177;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.442555;1538;40;242;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.439473;2812;156;273;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.353528;656;112;153;64;128
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.343005;3026;552;282;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.273316;3094;496;250;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.269254;838;432;153;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.260765;1324;376;186;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.258954;1548;560;290;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.234970;4628;96;285;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.225004;3784;264;249;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.205544;1554;32;226;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.191058;636;56;250;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.183800;124;348;213;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.172495;864;576;162;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.148764;62;64;185;64;128
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.147712;1362;400;274;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.147027;990;528;234;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.129137;4268;180;249;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.104920;74;472;226;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.081480;4652;120;194;80;160
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.062577;1140;128;194;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.056872;806;504;274;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.019938;2974;120;153;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);7.000181;1644;96;178;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);6.972301;2922;480;226;32;64
