Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+ORB(RGB);8.779507;1436;512;329;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);8.710282;992;464;185;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);8.219176;476;468;225;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);8.067657;80;488;266;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.926821;1624;180;225;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.909796;1396;480;386;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.868025;1256;176;297;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.783330;2988;96;185;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.762403;1532;24;357;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.639115;642;60;194;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.638678;1316;560;313;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.621085;74;592;274;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.590120;4622;156;249;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.583571;456;516;165;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.573638;4594;496;169;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.544140;1072;80;186;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.543285;1360;180;213;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.520006;3372;168;261;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.494416;76;540;261;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.452222;96;516;237;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.433689;2848;248;170;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.431381;4516;48;265;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.425973;444;584;170;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.414870;770;420;249;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.408216;4444;72;201;96;192
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.404257;1016;528;345;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.390495;838;288;162;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.389582;2806;192;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.374358;1150;480;178;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.359022;1188;544;234;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.349787;1398;224;169;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.348970;326;416;306;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.340883;478;520;231;104;208
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.336048;2620;0;154;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.334496;2968;544;210;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.310790;146;488;234;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.288309;3010;496;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.287203;2726;500;314;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.285933;778;120;273;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.272317;3502;440;178;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.252163;3310;384;258;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.233516;3136;40;178;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.211860;3304;420;237;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);7.205632;692;472;274;32;64
