Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+RAW(LUV);29.445490;1374;16;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);28.184061;2786;512;370;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);28.061285;3714;40;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);27.494392;1290;584;354;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);27.477488;3828;40;218;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.941780;1036;584;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.392046;1396;464;361;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.376617;3776;504;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.266184;262;120;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.262205;3556;464;186;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);26.043737;2986;456;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.798359;4660;536;306;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.748167;4286;104;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.531246;486;600;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.509043;450;560;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.489027;3330;208;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.433811;1622;36;309;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.143452;1306;160;345;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.022139;350;80;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);25.016354;1288;88;258;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.937689;3858;248;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.705677;788;464;297;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.670095;478;416;281;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.565500;3548;216;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.536871;386;216;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.451881;1620;584;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.431168;2970;512;153;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.329931;1006;552;381;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.324514;1086;40;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.233931;1364;512;394;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.233280;2942;480;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.159824;1302;600;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.096161;1682;352;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);24.075823;1392;96;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.978086;614;48;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.965002;1036;576;290;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.964842;4664;536;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.851606;1006;540;334;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.773821;1316;560;329;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.768133;2976;408;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.730652;2786;500;334;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.720333;478;480;254;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.710857;1306;176;378;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.678053;1438;504;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.651224;104;584;322;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.622803;58;80;162;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.619957;3654;168;314;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.588526;3654;140;234;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.586937;3936;84;177;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.561642;952;600;314;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.547733;1346;200;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.485548;2848;392;186;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.479057;3706;96;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.438534;3764;568;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.425150;4624;96;281;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.369207;2970;536;162;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.326103;94;584;282;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.324696;1444;504;370;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.323807;692;456;249;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.322275;1488;168;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.292274;90;24;345;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.288597;1626;112;266;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.249689;1536;192;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.237118;1618;568;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.236029;3772;560;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.191999;4610;16;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.187244;3828;48;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.144594;3524;472;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.132809;3302;200;258;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.122963;686;216;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.100098;4516;48;265;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.067650;3586;516;261;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.064459;1292;400;169;64;128
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.062536;3628;456;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.049347;1474;72;322;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.027855;3326;208;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.018385;1130;384;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);23.004620;2972;392;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.992676;2986;396;165;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.988106;2604;24;186;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.968208;3544;48;218;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.944162;788;472;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.929487;72;48;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.915787;3874;344;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.896255;1542;8;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.869556;916;584;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.835815;3856;248;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.835011;1530;232;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.826391;3060;288;186;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.814543;1528;36;321;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.793941;3706;128;258;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.792398;922;376;178;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.737431;3900;320;218;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.728331;3310;208;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.709969;3654;248;290;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.681284;3310;88;314;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.677719;1444;592;314;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.645128;396;144;402;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.633942;688;120;234;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.631186;3518;264;226;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.593855;1362;232;266;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.562481;1484;24;345;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.518421;1322;504;218;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.480822;722;528;178;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);22.478617;1292;496;306;32;64
