Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+RAW(RGB);28.376596;916;576;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);28.345835;1330;536;354;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);28.061884;4230;104;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);27.367243;4660;536;306;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);27.362453;478;416;281;64;128
HOG(RGB)+HOG(Thermal)+RAW(RGB);27.280987;1532;0;334;80;160
HOG(RGB)+HOG(Thermal)+RAW(RGB);27.070885;3330;208;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);26.943743;3328;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);26.916965;692;456;249;48;96
HOG(RGB)+HOG(Thermal)+RAW(RGB);26.247530;3326;208;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);26.181753;450;560;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.959751;4662;288;333;48;96
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.688530;1362;232;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.655813;1434;300;225;48;96
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.644245;3302;208;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.609756;3302;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.563448;3322;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.486826;914;544;298;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.427906;102;576;314;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.337477;1306;160;345;64;128
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.291281;1396;464;345;64;128
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.268875;3318;208;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.243494;3310;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.140396;818;480;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.110126;1036;584;290;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);25.004482;3314;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(RGB);24.967432;2592;160;186;32;64
