Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal);13.578834;1522;288;153;48;96
HOG(RGB)+HOG(Thermal);13.373389;1594;352;202;32;64
HOG(RGB)+HOG(Thermal);13.337593;774;496;218;32;64
HOG(RGB)+HOG(Thermal);13.191317;2546;336;186;32;64
HOG(RGB)+HOG(Thermal);13.160610;806;480;177;48;96
HOG(RGB)+HOG(Thermal);12.798944;2976;288;189;48;96
HOG(RGB)+HOG(Thermal);12.770199;420;512;194;32;64
HOG(RGB)+HOG(Thermal);12.725608;3332;440;186;32;64
HOG(RGB)+HOG(Thermal);12.652210;1460;176;217;64;128
HOG(RGB)+HOG(Thermal);12.611236;3046;528;321;48;96
HOG(RGB)+HOG(Thermal);12.383218;2836;444;201;48;96
HOG(RGB)+HOG(Thermal);12.377059;3030;48;178;32;64
HOG(RGB)+HOG(Thermal);12.307412;3642;200;218;32;64
HOG(RGB)+HOG(Thermal);12.273362;2914;456;297;48;96
HOG(RGB)+HOG(Thermal);12.236369;904;400;234;32;64
HOG(RGB)+HOG(Thermal);12.151493;1130;176;178;32;64
HOG(RGB)+HOG(Thermal);12.138478;640;168;258;32;64
HOG(RGB)+HOG(Thermal);12.080510;54;360;249;48;96
HOG(RGB)+HOG(Thermal);12.073654;1130;588;249;48;96
HOG(RGB)+HOG(Thermal);12.053123;3426;504;189;48;96
HOG(RGB)+HOG(Thermal);11.983812;152;336;189;48;96
HOG(RGB)+HOG(Thermal);11.941035;1572;88;194;32;64
HOG(RGB)+HOG(Thermal);11.915256;1138;576;218;32;64
HOG(RGB)+HOG(Thermal);11.903270;2558;536;202;32;64
HOG(RGB)+HOG(Thermal);11.876977;4258;192;273;48;96
HOG(RGB)+HOG(Thermal);11.866836;3350;296;178;32;64
HOG(RGB)+HOG(Thermal);11.859193;2750;348;273;48;96
HOG(RGB)+HOG(Thermal);11.805435;2954;48;165;48;96
HOG(RGB)+HOG(Thermal);11.803298;3048;328;226;32;64
HOG(RGB)+HOG(Thermal);11.797462;3490;232;226;32;64
HOG(RGB)+HOG(Thermal);11.751719;3696;560;274;32;64
HOG(RGB)+HOG(Thermal);11.746494;100;564;249;48;96
HOG(RGB)+HOG(Thermal);11.735506;496;460;174;80;160
HOG(RGB)+HOG(Thermal);11.726275;2994;416;217;64;128
HOG(RGB)+HOG(Thermal);11.711679;2876;576;258;32;64
HOG(RGB)+HOG(Thermal);11.670771;914;528;213;48;96
HOG(RGB)+HOG(Thermal);11.668952;2564;576;213;48;96
HOG(RGB)+HOG(Thermal);11.662661;4346;60;254;80;160
HOG(RGB)+HOG(Thermal);11.652523;1330;480;313;64;128
HOG(RGB)+HOG(Thermal);11.649172;2942;220;154;80;160
HOG(RGB)+HOG(Thermal);11.642432;3542;432;226;32;64
HOG(RGB)+HOG(Thermal);11.638459;3430;564;165;48;96
HOG(RGB)+HOG(Thermal);11.633223;3938;360;202;32;64
HOG(RGB)+HOG(Thermal);11.607966;1124;336;170;32;64
HOG(RGB)+HOG(Thermal);11.562879;1170;440;194;32;64
