Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOI;5.199998;1492;390;212;120;240
HOG(RGB)+HOI;5.199998;872;492;321;48;96
HOG(RGB)+HOI;5.199997;2628;140;236;112;224
HOG(RGB)+HOI;5.199997;1546;160;242;32;64
HOG(RGB)+HOI;5.199996;2024;442;205;104;208
HOG(RGB)+HOI;5.199996;1486;432;346;32;64
HOG(RGB)+HOI;5.199994;3208;328;218;32;64
HOG(RGB)+HOI;5.199993;4250;120;234;32;64
HOG(RGB)+HOI;5.199992;3654;30;242;120;240
HOG(RGB)+HOI;5.199988;1658;48;170;32;64
HOG(RGB)+HOI;5.199988;254;480;201;48;96
HOG(RGB)+HOI;5.199986;2354;576;354;32;64
HOG(RGB)+HOI;5.199985;1030;528;185;64;128
HOG(RGB)+HOI;5.199985;3952;24;357;48;96
HOG(RGB)+HOI;5.199984;982;128;185;64;128
HOG(RGB)+HOI;5.199983;3628;136;234;32;64
HOG(RGB)+HOI;5.199982;3188;72;177;96;192
HOG(RGB)+HOI;5.199982;3278;16;154;32;64
HOG(RGB)+HOI;5.199980;3110;156;165;48;96
HOG(RGB)+HOI;5.199979;1258;324;393;48;96
HOG(RGB)+HOI;5.199978;748;32;274;32;64
HOG(RGB)+HOI;5.199976;2468;208;205;104;208
HOG(RGB)+HOI;5.199973;2340;136;442;32;64
HOG(RGB)+HOI;5.199972;1604;368;313;64;128
HOG(RGB)+HOI;5.199971;4236;60;285;48;96
HOG(RGB)+HOI;5.199967;4734;360;178;32;64
HOG(RGB)+HOI;5.199964;4284;384;153;64;128
HOG(RGB)+HOI;5.199964;4402;296;242;32;64
HOG(RGB)+HOI;5.199963;974;544;442;32;64
HOG(RGB)+HOI;5.199963;2828;256;162;32;64
HOG(RGB)+HOI;5.199962;2970;300;261;48;96
HOG(RGB)+HOI;5.199961;4704;480;201;48;96
HOG(RGB)+HOI;5.199959;2716;540;321;48;96
HOG(RGB)+HOI;5.199958;4426;540;297;48;96
HOG(RGB)+HOI;5.199955;3710;192;217;64;128
HOG(RGB)+HOI;5.199954;1640;36;405;48;96
HOG(RGB)+HOI;5.199952;3348;48;201;96;192
HOG(RGB)+HOI;5.199951;416;536;210;32;64
HOG(RGB)+HOI;5.199950;4518;104;290;32;64
HOG(RGB)+HOI;5.199949;4436;288;177;48;96
HOG(RGB)+HOI;5.199948;2596;384;333;48;96
HOG(RGB)+HOI;5.199947;2398;400;214;80;160
HOG(RGB)+HOI;5.199946;1188;136;162;32;64
HOG(RGB)+HOI;5.199944;4766;228;285;48;96
HOG(RGB)+HOI;5.199939;4148;256;242;32;64
HOG(RGB)+HOI;5.199937;3520;24;178;32;64
HOG(RGB)+HOI;5.199937;2860;324;237;48;96
HOG(RGB)+HOI;5.199936;1342;528;201;48;96
HOG(RGB)+HOI;5.199934;456;0;281;64;128
HOG(RGB)+HOI;5.199930;2862;528;297;48;96
HOG(RGB)+HOI;5.199929;3502;220;174;80;160
HOG(RGB)+HOI;5.199927;448;516;165;48;96
HOG(RGB)+HOI;5.199926;2798;168;208;112;224
HOG(RGB)+HOI;5.199926;1184;352;402;32;64
HOG(RGB)+HOI;5.199925;3658;472;210;32;64
HOG(RGB)+HOI;5.199924;3352;64;250;32;64
HOG(RGB)+HOI;5.199924;2822;52;231;104;208
HOG(RGB)+HOI;5.199923;3306;488;186;32;64
HOG(RGB)+HOI;5.199922;3262;408;249;96;192
HOG(RGB)+HOI;5.199921;1014;200;290;32;64
HOG(RGB)+HOI;5.199920;2166;0;254;80;160
HOG(RGB)+HOI;5.199916;930;160;210;32;64
HOG(RGB)+HOI;5.199916;368;184;258;32;64
HOG(RGB)+HOI;5.199915;2860;288;249;96;192
HOG(RGB)+HOI;5.199915;2934;512;233;64;128
HOG(RGB)+HOI;5.199914;1192;72;202;32;64
HOG(RGB)+HOI;5.199913;1668;336;369;48;96
HOG(RGB)+HOI;5.199912;346;200;330;32;64
HOG(RGB)+HOI;5.199910;3310;52;205;104;208
HOG(RGB)+HOI;5.199908;2718;364;264;112;224
HOG(RGB)+HOI;5.199904;2916;296;234;32;64
HOG(RGB)+HOI;5.199904;3860;96;217;64;128
HOG(RGB)+HOI;5.199903;1450;240;185;64;128
HOG(RGB)+HOI;5.199902;4200;312;250;32;64
HOG(RGB)+HOI;5.199902;3778;480;202;32;64
HOG(RGB)+HOI;5.199901;3360;224;265;64;128
HOG(RGB)+HOI;5.199901;3210;88;418;32;64
HOG(RGB)+HOI;5.199900;1662;32;217;64;128
HOG(RGB)+HOI;5.199900;882;564;333;48;96
HOG(RGB)+HOI;5.199899;3226;96;405;48;96
HOG(RGB)+HOI;5.199899;300;492;309;48;96
HOG(RGB)+HOI;5.199897;2854;80;218;32;64
HOG(RGB)+HOI;5.199895;492;584;250;32;64
HOG(RGB)+HOI;5.199894;2882;48;201;64;128
HOG(RGB)+HOI;5.199894;2538;584;394;32;64
HOG(RGB)+HOI;5.199893;720;400;313;64;128
HOG(RGB)+HOI;5.199893;314;512;202;32;64
HOG(RGB)+HOI;5.199892;3094;248;250;32;64
HOG(RGB)+HOI;5.199891;1592;216;225;96;192
HOG(RGB)+HOI;5.199889;3360;288;250;32;64
HOG(RGB)+HOI;5.199889;626;64;234;32;64
HOG(RGB)+HOI;5.199887;1514;232;218;32;64
HOG(RGB)+HOI;5.199885;4228;176;210;32;64
HOG(RGB)+HOI;5.199884;1428;24;282;32;64
HOG(RGB)+HOI;5.199884;782;416;297;64;128
HOG(RGB)+HOI;5.199883;1404;78;153;104;208
HOG(RGB)+HOI;5.199883;3796;100;234;80;160
HOG(RGB)+HOI;5.199882;506;520;306;32;64
HOG(RGB)+HOI;5.199881;102;36;177;48;96
HOG(RGB)+HOI;5.199878;2340;440;274;32;64
HOG(RGB)+HOI;5.199877;3464;88;202;32;64
HOG(RGB)+HOI;5.199876;4290;384;213;48;96
HOG(RGB)+HOI;5.199872;434;520;174;80;160
HOG(RGB)+HOI;5.199871;4328;60;333;48;96
HOG(RGB)+HOI;5.199871;578;424;242;32;64
HOG(RGB)+HOI;5.199870;1322;104;242;32;64
HOG(RGB)+HOI;5.199869;3874;280;314;80;160
HOG(RGB)+HOI;5.199864;606;16;297;64;128
HOG(RGB)+HOI;5.199862;4258;156;225;48;96
HOG(RGB)+HOI;5.199860;198;224;154;32;64
HOG(RGB)+HOI;5.199859;580;416;314;32;64
HOG(RGB)+HOI;5.199858;458;576;354;32;64
HOG(RGB)+HOI;5.199858;274;36;237;48;96
HOG(RGB)+HOI;5.199857;2522;0;257;104;208
HOG(RGB)+HOI;5.199856;3028;416;314;32;64
HOG(RGB)+HOI;5.199854;628;104;186;32;64
HOG(RGB)+HOI;5.199853;4458;544;201;64;128
HOG(RGB)+HOI;5.199852;3150;320;194;32;64
HOG(RGB)+HOI;5.199852;4658;400;194;32;64
HOG(RGB)+HOI;5.199851;2870;144;234;32;64
HOG(RGB)+HOI;5.199850;1326;392;258;32;64
HOG(RGB)+HOI;5.199849;1260;40;154;80;160
HOG(RGB)+HOI;5.199849;3874;448;218;32;64
HOG(RGB)+HOI;5.199848;918;540;201;48;96
HOG(RGB)+HOI;5.199846;2150;32;322;32;64
HOG(RGB)+HOI;5.199845;3468;182;205;104;208
HOG(RGB)+HOI;5.199844;2972;442;205;104;208
HOG(RGB)+HOI;5.199844;1350;520;282;32;64
