Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+SDDG(Thermal);29.412128;4362;488;298;32;64
HOG(RGB)+SDDG(Thermal);27.458029;4208;288;410;32;64
HOG(RGB)+SDDG(Thermal);26.972626;478;464;226;32;64
HOG(RGB)+SDDG(Thermal);26.957855;4418;144;306;32;64
HOG(RGB)+SDDG(Thermal);26.550310;4228;88;306;32;64
HOG(RGB)+SDDG(Thermal);25.990955;4608;64;306;32;64
HOG(RGB)+SDDG(Thermal);25.899641;4394;144;274;32;64
HOG(RGB)+SDDG(Thermal);25.664413;4180;288;410;32;64
HOG(RGB)+SDDG(Thermal);25.410534;2988;552;258;32;64
HOG(RGB)+SDDG(Thermal);25.406250;2784;416;210;32;64
HOG(RGB)+SDDG(Thermal);25.226347;4218;288;410;32;64
HOG(RGB)+SDDG(Thermal);25.194544;4594;584;170;32;64
HOG(RGB)+SDDG(Thermal);25.135040;2742;320;234;32;64
HOG(RGB)+SDDG(Thermal);25.122265;1092;40;194;32;64
HOG(RGB)+SDDG(Thermal);25.093462;1212;480;194;32;64
HOG(RGB)+SDDG(Thermal);25.091009;4292;448;322;32;64
HOG(RGB)+SDDG(Thermal);25.051291;4680;424;210;32;64
HOG(RGB)+SDDG(Thermal);24.989117;4206;288;410;32;64
HOG(RGB)+SDDG(Thermal);24.976049;2866;552;194;32;64
HOG(RGB)+SDDG(Thermal);24.960136;1082;104;186;32;64
HOG(RGB)+SDDG(Thermal);24.957142;4238;72;306;32;64
HOG(RGB)+SDDG(Thermal);24.919804;4610;112;330;32;64
HOG(RGB)+SDDG(Thermal);24.778536;4610;104;338;32;64
HOG(RGB)+SDDG(Thermal);24.765953;4190;288;410;32;64
HOG(RGB)+SDDG(Thermal);24.759529;2808;408;234;32;64
HOG(RGB)+SDDG(Thermal);24.681387;3010;48;242;32;64
HOG(RGB)+SDDG(Thermal);24.669781;4660;536;306;32;64
HOG(RGB)+SDDG(Thermal);24.662487;1086;64;186;32;64
HOG(RGB)+SDDG(Thermal);24.650269;4176;280;362;32;64
HOG(RGB)+SDDG(Thermal);24.617785;688;152;234;32;64
HOG(RGB)+SDDG(Thermal);24.500505;4186;288;410;32;64
HOG(RGB)+SDDG(Thermal);24.353991;478;456;225;48;96
HOG(RGB)+SDDG(Thermal);24.268063;1316;456;186;32;64
HOG(RGB)+SDDG(Thermal);24.258617;2814;72;322;32;64
HOG(RGB)+SDDG(Thermal);24.227579;3284;200;306;32;64
