Name;Score;ImageNumber;X;Y;Width;Height
LBP(RGB);22.497730;628;136;218;32;64
LBP(RGB);21.640450;730;168;202;32;64
LBP(RGB);20.394861;3042;432;234;32;64
LBP(RGB);20.176176;2346;512;218;32;64
LBP(RGB);20.038980;4390;72;242;32;64
LBP(RGB);19.884789;1160;416;178;32;64
LBP(RGB);19.842812;4372;72;242;32;64
LBP(RGB);19.590809;4588;184;290;32;64
LBP(RGB);19.475866;2910;328;170;32;64
LBP(RGB);19.364023;1166;416;178;32;64
LBP(RGB);19.362137;4384;72;242;32;64
LBP(RGB);19.354115;3794;72;202;32;64
LBP(RGB);19.210789;4388;72;242;32;64
LBP(RGB);19.197311;3588;32;322;32;64
LBP(RGB);19.179520;1290;32;266;32;64
LBP(RGB);19.161600;4606;240;258;32;64
LBP(RGB);19.034464;1744;496;178;32;64
LBP(RGB);19.004477;3580;24;226;32;64
LBP(RGB);18.907331;916;520;154;32;64
LBP(RGB);18.894493;2764;440;234;32;64
LBP(RGB);18.831947;4256;488;202;32;64
LBP(RGB);18.794477;4632;168;266;32;64
LBP(RGB);18.727108;4674;128;234;32;64
LBP(RGB);18.714453;4378;72;242;32;64
LBP(RGB);18.710501;2086;200;306;32;64
LBP(RGB);18.695833;4622;480;210;32;64
LBP(RGB);18.693184;4336;360;154;32;64
LBP(RGB);18.673489;3336;224;242;32;64
LBP(RGB);18.654890;4744;224;186;32;64
LBP(RGB);18.643333;3764;504;226;32;64
LBP(RGB);18.637646;3310;224;250;32;64
LBP(RGB);18.635256;4172;208;226;32;64
LBP(RGB);18.598473;4438;112;170;32;64
LBP(RGB);18.555595;1742;56;282;32;64
LBP(RGB);18.551897;4258;120;266;32;64
LBP(RGB);18.526842;4520;520;194;32;64
LBP(RGB);18.503786;132;568;250;32;64
LBP(RGB);18.479345;1604;8;162;32;64
LBP(RGB);18.448689;1326;208;218;32;64
LBP(RGB);18.441292;4082;168;234;32;64
LBP(RGB);18.424805;3312;224;250;32;64
LBP(RGB);18.380121;4376;72;242;32;64
LBP(RGB);18.311537;3326;320;178;32;64
LBP(RGB);18.294508;1330;528;282;32;64
LBP(RGB);18.293440;1402;72;154;32;64
LBP(RGB);18.291229;4678;464;226;32;64
LBP(RGB);18.268465;3322;224;250;32;64
LBP(RGB);18.261513;4266;392;210;32;64
LBP(RGB);18.245108;4634;184;258;32;64
LBP(RGB);18.232798;3312;392;194;32;64
LBP(RGB);18.232533;4392;72;242;32;64
LBP(RGB);18.207035;1354;64;362;32;64
LBP(RGB);18.196150;3990;440;250;32;64
LBP(RGB);18.173285;2600;488;202;32;64
LBP(RGB);18.172064;1326;40;234;32;64
LBP(RGB);18.171251;1502;360;178;32;64
LBP(RGB);18.159576;1168;416;178;32;64
LBP(RGB);18.159081;3604;208;218;32;64
LBP(RGB);18.158348;458;72;186;32;64
LBP(RGB);18.157265;3290;224;250;32;64
LBP(RGB);18.140081;1212;544;210;32;64
LBP(RGB);18.097666;4266;416;154;32;64
LBP(RGB);18.067942;4418;72;258;32;64
LBP(RGB);18.038782;3796;72;186;32;64
LBP(RGB);18.033537;1316;0;237;48;96
LBP(RGB);18.015957;1128;80;186;32;64
LBP(RGB);18.012545;4740;376;170;32;64
LBP(RGB);18.006969;4620;104;282;32;64
LBP(RGB);17.989124;650;24;154;32;64
LBP(RGB);17.977283;3924;96;309;48;96
LBP(RGB);17.974943;730;448;194;32;64
LBP(RGB);17.957396;1338;492;153;48;96
LBP(RGB);17.952702;2398;408;226;32;64
