Name;Score;ImageNumber;X;Y;Width;Height
SDDG(Thermal);12.172531;2788;432;177;48;96
SDDG(Thermal);11.905028;918;420;213;48;96
SDDG(Thermal);11.825390;3078;132;237;48;96
SDDG(Thermal);11.697516;2894;120;153;48;96
SDDG(Thermal);11.350240;2546;168;201;48;96
SDDG(Thermal);11.282169;294;112;236;112;224
SDDG(Thermal);11.279624;1260;348;153;48;96
SDDG(Thermal);11.219684;468;24;201;48;96
SDDG(Thermal);11.161824;4462;276;153;48;96
SDDG(Thermal);11.092118;1236;348;153;48;96
SDDG(Thermal);10.907790;2516;228;201;48;96
SDDG(Thermal);10.876147;506;120;225;48;96
SDDG(Thermal);10.820528;1156;564;189;48;96
SDDG(Thermal);10.809860;3048;588;357;48;96
SDDG(Thermal);10.806065;794;420;177;48;96
SDDG(Thermal);10.757149;4166;276;285;48;96
SDDG(Thermal);10.743903;2334;336;201;48;96
SDDG(Thermal);10.714839;2614;168;249;48;96
SDDG(Thermal);10.690238;2958;276;153;48;96
SDDG(Thermal);10.689299;3078;528;249;48;96
SDDG(Thermal);10.668680;708;576;153;48;96
SDDG(Thermal);10.666727;2950;204;177;48;96
SDDG(Thermal);10.659834;96;528;249;48;96
SDDG(Thermal);10.649847;2542;276;153;48;96
SDDG(Thermal);10.628345;2554;324;201;48;96
SDDG(Thermal);10.614518;356;240;201;96;192
SDDG(Thermal);10.614009;1228;516;237;48;96
SDDG(Thermal);10.538261;1138;468;213;48;96
SDDG(Thermal);10.529263;3034;468;273;48;96
SDDG(Thermal);10.514019;642;444;249;48;96
SDDG(Thermal);10.500723;4238;156;177;48;96
SDDG(Thermal);10.500685;3292;360;273;48;96
SDDG(Thermal);10.491619;4348;276;273;48;96
SDDG(Thermal);10.491302;68;12;201;48;96
SDDG(Thermal);10.490342;2616;228;153;48;96
SDDG(Thermal);10.479873;4634;228;177;48;96
SDDG(Thermal);10.465240;3348;96;213;48;96
SDDG(Thermal);10.447080;4274;492;177;48;96
SDDG(Thermal);10.442636;322;192;177;48;96
SDDG(Thermal);10.436704;4230;156;225;48;96
SDDG(Thermal);10.429165;404;252;201;48;96
SDDG(Thermal);10.417789;1294;408;225;48;96
SDDG(Thermal);10.414004;3296;384;185;64;128
SDDG(Thermal);10.405796;2844;300;177;48;96
SDDG(Thermal);10.404867;2686;112;180;112;224
SDDG(Thermal);10.404394;2656;60;225;48;96
SDDG(Thermal);10.385041;3038;300;177;48;96
SDDG(Thermal);10.382567;1028;108;213;48;96
SDDG(Thermal);10.379056;1732;312;213;48;96
SDDG(Thermal);10.369662;3548;492;201;48;96
SDDG(Thermal);10.363625;288;130;231;104;208
SDDG(Thermal);10.348695;2338;340;234;80;160
SDDG(Thermal);10.335997;2836;408;261;48;96
SDDG(Thermal);10.326041;2984;60;153;48;96
SDDG(Thermal);10.321073;316;348;213;48;96
SDDG(Thermal);10.320515;3010;156;189;48;96
SDDG(Thermal);10.312772;1460;192;177;48;96
SDDG(Thermal);10.311126;4626;540;153;48;96
SDDG(Thermal);10.301936;1360;60;201;48;96
SDDG(Thermal);10.298905;94;180;177;48;96
SDDG(Thermal);10.286438;2786;504;345;48;96
SDDG(Thermal);10.280903;1312;240;154;80;160
SDDG(Thermal);10.274299;1366;300;201;48;96
SDDG(Thermal);10.262438;122;168;180;112;224
SDDG(Thermal);10.259795;338;540;321;48;96
