Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);9.011083;1300;136;226;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);8.676047;1348;536;266;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);8.326146;1008;104;194;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);8.303793;1404;180;393;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);8.067241;1344;360;261;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);8.003661;4212;108;213;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.950781;1316;0;249;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.768408;3712;240;154;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.759157;3108;0;153;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.694754;3676;340;154;80;160
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.652197;1292;108;165;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.644828;1220;0;202;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.614995;1632;60;177;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.604153;996;16;330;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.603093;1552;24;218;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.596454;2688;0;285;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.593488;3036;252;249;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.564567;208;0;153;64;128
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.542680;596;492;273;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.475079;4248;64;282;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.471662;2396;156;201;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.457722;1448;264;369;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.454592;88;72;249;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.418264;1116;200;170;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.410436;4044;0;153;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.409341;3544;160;217;64;128
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.403250;2332;32;154;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.387453;3760;176;218;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.374705;2520;440;194;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.360649;2504;204;261;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.359767;1536;168;369;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.356030;3924;384;261;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.351043;688;132;273;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.346409;1376;192;237;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.319323;3292;336;313;64;128
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.315694;1360;424;226;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.285661;940;168;210;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.281818;1076;8;170;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.280024;3856;240;177;96;192
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.271300;1364;256;354;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.269751;1612;592;234;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.259071;4292;32;162;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.242738;3524;480;290;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.222585;3680;48;234;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.198909;3084;72;237;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.190668;2368;224;154;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.169119;1008;0;202;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.159118;3508;264;153;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.153659;1340;96;338;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.151000;4484;96;210;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.147173;204;24;194;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.130480;1620;264;357;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.122969;56;216;186;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.116199;1100;40;170;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.095172;1080;16;186;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.089436;3356;120;381;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.088975;4632;24;165;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.084492;3940;232;354;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.069630;1316;0;212;120;240
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.053237;948;132;201;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.043035;1548;196;180;112;224
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.028457;1336;0;174;80;160
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.025150;3164;0;194;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.023331;3952;64;178;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.020268;3628;424;234;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.012269;1568;424;186;32;64
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.004881;3544;168;273;48;96
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);7.004813;2340;20;234;80;160
CoOccurrence(RGB)+HOG(RGB)+LBP(RGB);6.996311;732;8;274;32;64
