Name;Score;ImageNumber;X;Y;Width;Height
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);40.744530;4288;88;298;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);39.757565;1484;16;297;64;128
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);39.338375;1532;0;334;80;160
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);39.042652;2084;184;322;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);38.665020;4256;360;394;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);38.056580;424;400;162;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);38.042896;4292;88;306;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);37.927872;4232;128;282;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);37.003868;4376;96;314;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.849808;4420;60;345;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.484756;4172;104;274;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.152653;2844;600;218;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.107327;4284;104;298;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.084774;380;272;306;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.083141;996;72;306;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);36.002331;4448;48;333;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.756275;2352;184;242;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.721478;1364;216;309;48;96
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.599804;1036;584;250;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.571266;104;584;322;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.538170;4412;96;346;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.528179;1392;96;274;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.518036;4212;288;410;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.516209;1036;584;282;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.487514;952;600;322;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.336857;1528;8;266;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.321732;4208;288;410;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.308670;2088;184;322;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.257614;2072;200;290;32;64
GoodFts(RGB)+HOG(RGB)+HOG(Thermal);35.216820;1324;480;258;32;64
