Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+ORB(RGB);14.605975;3212;280;154;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);14.587959;448;348;321;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);14.169669;916;584;218;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.726755;80;464;210;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.529081;656;264;201;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.177076;4196;96;249;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.086734;4372;72;225;96;192
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.058742;596;464;218;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);13.054913;1292;256;178;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.981179;692;448;233;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.953857;2960;264;154;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.895523;424;36;177;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.880606;1508;496;162;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.837313;392;288;153;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.792999;596;296;234;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.776378;2660;0;189;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.738571;3308;420;189;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.715919;1092;128;153;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.656152;640;32;186;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.651662;4380;36;297;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.639626;692;432;249;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.583325;2980;440;194;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.404078;628;60;194;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.388705;1236;360;153;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.369071;3760;480;177;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.356310;1536;160;194;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.306824;496;448;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.306408;340;228;177;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.304723;3580;392;194;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.279297;916;540;201;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.275608;3092;432;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.211237;2592;272;185;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.195910;3148;528;210;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.184350;1544;240;201;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.174263;3556;264;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.150861;2084;320;294;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.148236;1016;456;370;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.142763;3000;440;234;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.110135;2992;520;214;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.107450;1452;432;201;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.091441;2596;480;294;80;160
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.085230;632;400;169;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.079455;4608;48;249;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.072864;1504;168;201;96;192
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.065589;2580;320;170;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.036033;36;492;165;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.021162;3548;496;210;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.012491;1356;64;154;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.011355;4400;112;233;64;128
HOG(RGB)+HOG(Thermal)+ORB(RGB);12.002215;2808;408;218;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.998785;708;504;177;48;96
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.969077;620;344;194;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.963978;524;568;306;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.960063;3052;312;194;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.945296;3012;592;202;32;64
HOG(RGB)+HOG(Thermal)+ORB(RGB);11.935221;568;360;234;80;160
