Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+RAW(LUV);41.471390;1544;528;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);40.290112;3548;216;234;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);39.465954;3888;264;274;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);39.275555;1528;16;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);39.052082;3340;592;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);38.536667;4228;88;306;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);38.453152;3316;216;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);38.266720;2972;480;170;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);38.144054;1752;536;330;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);38.027481;3292;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);37.966084;396;144;402;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.884605;3328;216;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.882000;104;584;322;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.852070;1536;176;290;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.721180;3324;216;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.719601;1484;32;346;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.691677;3328;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.558380;1340;464;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.553875;4232;128;282;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.333191;4516;60;273;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.117844;3304;200;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);36.089176;388;160;370;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.920319;1460;400;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.919388;3336;208;242;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.912189;3836;600;210;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.880032;612;112;194;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.836006;2900;104;202;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.711605;1532;0;334;80;160
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.669949;3300;192;225;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.619709;4660;536;306;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.565739;52;392;266;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.434605;2620;468;213;48;96
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.390759;1324;480;250;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.323868;388;136;410;32;64
HOG(RGB)+HOG(Thermal)+RAW(LUV);35.284451;396;160;378;32;64
