Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);12.674376;2632;500;194;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);12.413071;1572;24;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.810103;3264;384;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.805613;116;500;154;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.773355;788;480;354;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.764186;1480;384;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.764140;4440;48;189;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.749520;1316;100;294;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.740797;2996;540;297;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.679762;2428;232;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.565152;2352;540;285;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.556911;1364;492;345;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.342531;4244;360;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.148571;616;56;162;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.126740;1536;0;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.095254;1544;492;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);11.032766;3652;80;297;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.948160;1728;304;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.944633;1376;130;257;104;208
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.935652;548;184;218;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.932366;1668;444;237;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.929090;2560;576;249;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.899037;2084;192;282;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.878519;4700;576;369;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.877204;1484;588;261;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.867760;108;528;321;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.850915;2068;480;226;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.830368;344;304;194;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.820756;4612;300;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.790187;1304;456;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.788581;1344;32;258;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.772969;4608;48;249;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.768788;1272;552;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.768096;4612;312;210;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.713872;184;120;274;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.701965;3084;444;405;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.688691;2988;528;233;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.647621;2516;448;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.634343;1336;180;249;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.634254;2568;472;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.622671;368;456;261;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.610739;1196;104;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.597798;3488;120;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.582485;52;384;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.576675;3112;392;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.559643;1372;100;254;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.555210;1228;168;208;112;224
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.553829;3488;144;169;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.549626;3484;140;214;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.514049;2988;500;214;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.501257;788;456;333;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.484319;264;120;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.475572;1312;480;265;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.463250;1436;180;194;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.458044;3228;180;249;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.456420;948;576;306;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.452601;3892;552;225;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.448791;1332;152;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.447386;1520;288;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.436351;1532;168;225;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.433362;1132;180;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.425854;2732;132;345;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.417892;4384;88;330;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.411493;3252;348;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.392727;72;24;237;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.392160;4636;120;274;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.390277;1316;480;254;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.384401;72;40;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.364724;3360;464;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.354713;4264;336;330;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.346200;1016;492;321;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.333377;1276;528;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.329720;1072;168;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.328311;1292;100;194;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.312043;760;552;266;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.310121;2744;40;178;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.307297;2760;480;154;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.304306;2344;160;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.301277;2560;128;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.293983;2992;588;213;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.293103;1316;564;345;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.290440;2896;416;194;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.271702;104;480;237;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.262830;2576;136;202;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.255393;1364;300;249;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.246388;1252;168;208;112;224
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.228026;2900;432;165;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.226359;4300;120;274;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.223289;980;224;162;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.215935;1324;540;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.204540;1432;576;345;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.203249;468;60;393;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.199685;56;8;234;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.196895;772;448;258;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.186468;3292;460;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.175271;1160;152;194;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.172262;156;500;314;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.157628;1540;72;297;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.155584;1880;60;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.154508;328;408;210;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.136106;4568;460;234;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.136008;4236;104;298;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.130041;1112;24;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.129659;1328;216;234;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.123836;608;376;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.122952;1152;296;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.121117;1724;240;165;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.109741;3332;200;298;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.109036;3120;472;314;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.108603;1124;336;170;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.104823;96;220;214;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.103328;3960;336;213;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.081563;2708;448;226;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.065765;3716;440;154;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.065346;920;516;285;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.061992;2768;528;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.057619;4752;132;213;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.052312;4336;60;309;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.048307;1596;272;210;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.042751;828;96;237;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.041434;4248;384;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.035976;4416;96;345;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.033563;16;240;314;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.031486;900;504;225;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.020385;4192;20;194;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.015064;3284;224;218;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.013014;68;144;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);10.001283;3412;384;189;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.996619;2812;136;354;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.992929;2972;480;201;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.988382;1220;180;274;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.988224;3688;456;242;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.980574;420;400;298;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.967404;2916;264;218;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.966063;2428;456;381;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.962400;1072;72;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.962296;3288;344;266;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.952126;3056;304;186;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.947359;996;96;226;32;64
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.935306;996;16;313;64;128
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.933704;1224;180;182;120;240
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.929018;232;24;177;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.927650;660;108;201;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.926174;524;132;261;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.923133;4256;160;154;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.918813;84;360;194;80;160
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.916928;2720;384;153;48;96
HOG(RGB)+HOG(Thermal)+SDDG(Thermal);9.913587;3272;160;170;32;64
