Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HOG(Thermal)+SURF(RGB);13.996833;320;200;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);13.794218;3048;380;234;80;160
HOG(RGB)+HOG(Thermal)+SURF(RGB);13.204981;3864;384;273;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.631804;36;492;165;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.603637;788;442;231;104;208
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.514357;1520;32;217;64;128
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.477800;1340;372;213;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.424728;3260;400;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.423942;4296;60;201;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.232032;2984;368;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.198609;528;400;210;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.179405;3528;180;201;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.123686;3136;288;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.109882;728;504;225;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.086170;1044;444;201;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);12.026820;356;390;205;104;208
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.977201;2624;0;174;80;160
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.871182;3544;432;170;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.853403;2972;12;153;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.847239;664;320;174;80;160
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.783417;388;348;201;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.678178;3116;240;170;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.674600;3828;40;210;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.642984;156;472;266;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.635260;3544;560;290;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.615554;2260;80;154;80;160
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.608063;1544;240;201;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.589417;3004;252;177;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.571808;1508;352;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.555518;1364;468;205;104;208
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.553679;656;240;185;64;128
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.549932;1016;380;294;80;160
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.532674;1532;168;225;48;96
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.526993;3520;384;186;32;64
HOG(RGB)+HOG(Thermal)+SURF(RGB);11.518099;2800;512;185;64;128
