Name;Score;ImageNumber;X;Y;Width;Height
S2HOG(RGB);10.944870;340;240;225;96;192
S2HOG(RGB);10.610297;584;480;309;48;96
S2HOG(RGB);10.412399;3156;240;357;48;96
S2HOG(RGB);10.225377;464;264;213;48;96
S2HOG(RGB);10.206954;3128;252;309;48;96
S2HOG(RGB);10.093513;3488;296;378;32;64
S2HOG(RGB);10.079882;3172;568;218;32;64
S2HOG(RGB);10.065127;3280;300;309;48;96
S2HOG(RGB);9.745835;3936;528;186;32;64
S2HOG(RGB);9.656221;1016;60;309;48;96
S2HOG(RGB);9.610036;1324;444;381;48;96
S2HOG(RGB);9.501125;1536;208;442;32;64
S2HOG(RGB);9.478831;3340;200;314;32;64
S2HOG(RGB);9.451434;2080;380;294;80;160
S2HOG(RGB);9.449635;668;276;189;48;96
S2HOG(RGB);9.394034;1360;528;249;48;96
S2HOG(RGB);9.351560;1316;488;226;32;64
S2HOG(RGB);9.287851;2672;516;345;48;96
S2HOG(RGB);9.273715;2328;108;165;48;96
S2HOG(RGB);9.249502;2600;576;297;48;96
S2HOG(RGB);9.233795;2616;492;249;48;96
S2HOG(RGB);9.233627;4224;80;174;80;160
S2HOG(RGB);9.212605;3324;408;266;32;64
S2HOG(RGB);9.179277;3280;600;314;32;64
S2HOG(RGB);9.174376;3812;588;297;48;96
S2HOG(RGB);9.170321;4724;168;170;32;64
S2HOG(RGB);9.132947;2124;480;154;32;64
S2HOG(RGB);9.107306;3344;336;177;96;192
S2HOG(RGB);9.100912;3492;330;152;120;240
S2HOG(RGB);9.069147;1360;288;313;64;128
S2HOG(RGB);9.010667;1136;512;290;32;64
S2HOG(RGB);8.944352;3084;336;226;32;64
S2HOG(RGB);8.941415;3080;396;345;48;96
S2HOG(RGB);8.934994;1144;384;309;48;96
S2HOG(RGB);8.929316;3364;252;309;48;96
S2HOG(RGB);8.875031;2956;416;298;32;64
S2HOG(RGB);8.867842;3280;144;165;48;96
