Name;Score;ImageNumber;X;Y;Width;Height
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.594220;5196;840;136;96;192
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.281171;1248;828;160;48;96
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.218448;2908;992;144;64;128
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.193020;7256;672;160;64;128
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.185037;6964;728;256;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.111707;5696;264;111;96;192
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.097632;6296;360;196;48;96
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.064276;1908;480;232;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);9.045711;1008;480;136;48;96
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.898936;2544;1112;168;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.894880;3344;264;136;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.840879;5724;992;199;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.835901;1428;264;159;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.764917;7184;824;152;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.713920;1832;256;136;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.712295;6588;760;160;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.708570;2496;96;240;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.690138;3520;16;216;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.646816;5892;60;268;48;96
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.612597;6292;288;206;48;96
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.571183;56;1032;176;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.565329;6912;24;176;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.555524;3276;1008;136;32;64
CenSurE(RGB)+CoOccurrence(RGB)+HOG(RGB);8.551582;216;176;176;32;64
