Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);43.320377;3416;152;240;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);43.210999;2160;768;112;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);39.260330;7256;784;248;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.562889;4188;760;248;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.442455;1456;280;288;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.313789;5404;1136;208;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.304462;2856;1064;200;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.260254;3192;288;248;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);37.040348;4032;208;280;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.865406;6144;40;152;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.604374;4392;120;304;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.595726;616;136;168;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.275040;2856;1048;192;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.242317;2856;1016;192;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.208996;7204;888;224;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.204704;4820;32;280;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);36.157452;2024;768;256;48;96
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.957363;5404;1104;208;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.881958;3744;968;232;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.524849;356;72;184;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.514565;2856;1088;200;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.457481;3172;1040;216;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.327248;5404;1088;200;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.264462;5156;384;232;32;64
CoOccurrence(RGB)+GoodFts(RGB)+HOG(RGB);35.237976;7156;784;184;32;64
