Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);18.857857;264;1066;164;104;208
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);18.165422;2336;712;192;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.873209;824;416;240;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.785936;4764;1044;208;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.667858;7208;400;184;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.639660;3284;840;112;120;240
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.604059;7424;1208;272;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.094049;2596;24;224;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);17.033440;4748;328;192;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.941971;7128;896;144;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.922342;3104;1128;160;96;192
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.884443;3304;1092;148;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.847198;2512;80;224;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.784094;2052;904;304;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.576305;952;660;192;80;160
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.558815;4180;984;160;96;192
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.539560;5052;784;140;112;224
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.409937;8;432;160;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.192940;5324;584;175;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.136375;7096;736;152;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.108601;1224;592;208;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);16.000019;436;988;112;104;208
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.967127;244;168;160;96;192
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.955543;2232;1116;148;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.951251;244;752;240;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.922050;3504;1120;160;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.914345;2632;1104;160;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.894298;3896;632;160;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.893083;6808;264;148;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.888244;720;936;184;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.862432;2644;960;244;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.858578;6320;632;160;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.847065;7132;944;256;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.830493;3912;704;168;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.820856;4516;216;192;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.795215;6372;432;184;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.777954;1260;912;136;96;192
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.714321;7156;720;160;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.666081;5668;1008;140;112;224
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.654404;5640;1176;244;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.560123;7136;520;160;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.545337;3028;760;159;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.544708;3504;1152;184;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.514397;3376;896;264;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.494104;1788;1080;160;96;192
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.469952;3072;1152;184;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.461535;6600;432;192;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.437859;5036;216;208;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.423057;4888;860;212;80;160
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.393710;6952;680;184;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.377199;6472;632;191;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.369332;4888;848;240;64;128
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.367442;5164;8;152;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.331914;2644;1140;160;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.326231;2028;732;196;48;96
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.296399;2088;424;184;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.287845;6372;784;192;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.283852;7360;8;184;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.271421;4808;840;296;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.252096;5804;576;167;32;64
CoOccurrence(RGB)+HDD+HOG(Depth)+HOG(RGB);15.250887;2424;768;135;32;64
