Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB);25.950262;5860;224;296;32;64
CoOccurrence(RGB);25.827707;2232;1112;136;32;64
CoOccurrence(RGB);25.720615;5560;648;232;32;64
CoOccurrence(RGB);25.580860;1200;156;172;48;96
CoOccurrence(RGB);25.522486;4028;328;304;32;64
CoOccurrence(RGB);25.484663;540;732;244;48;96
CoOccurrence(RGB);25.443466;1592;608;192;32;64
CoOccurrence(RGB);25.410509;5560;776;256;32;64
CoOccurrence(RGB);25.326620;1488;416;280;32;64
CoOccurrence(RGB);25.241430;936;152;152;32;64
CoOccurrence(RGB);25.027315;3620;368;256;32;64
CoOccurrence(RGB);24.980835;1592;256;232;32;64
CoOccurrence(RGB);24.944876;3620;544;216;32;64
CoOccurrence(RGB);24.872648;3696;168;144;32;64
CoOccurrence(RGB);24.829214;4936;512;176;32;64
CoOccurrence(RGB);24.791784;5812;1128;112;48;96
CoOccurrence(RGB);24.789625;1120;216;172;48;96
CoOccurrence(RGB);24.721060;1728;400;216;32;64
CoOccurrence(RGB);24.676796;184;156;172;48;96
CoOccurrence(RGB);24.631369;952;272;240;32;64
CoOccurrence(RGB);24.619234;5560;856;280;32;64
CoOccurrence(RGB);24.585791;352;552;280;32;64
CoOccurrence(RGB);24.543917;1592;736;152;32;64
CoOccurrence(RGB);24.542414;936;88;144;32;64
CoOccurrence(RGB);24.538345;1908;696;208;32;64
CoOccurrence(RGB);24.491222;4716;992;192;64;128
CoOccurrence(RGB);24.452391;528;176;128;64;128
CoOccurrence(RGB);24.403849;1704;368;192;32;64
CoOccurrence(RGB);24.392836;2896;336;256;48;96
CoOccurrence(RGB);24.355104;4184;120;160;32;64
CoOccurrence(RGB);24.353966;2476;600;192;32;64
CoOccurrence(RGB);24.323662;2800;1080;232;32;64
CoOccurrence(RGB);24.322105;2940;608;192;32;64
CoOccurrence(RGB);24.306158;352;552;268;48;96
CoOccurrence(RGB);24.304636;6328;744;176;32;64
CoOccurrence(RGB);24.267260;4668;432;184;32;64
CoOccurrence(RGB);24.173708;528;168;160;48;96
CoOccurrence(RGB);24.126648;6296;252;160;48;96
CoOccurrence(RGB);24.125883;5336;1128;208;32;64
CoOccurrence(RGB);24.122522;2024;1112;272;32;64
CoOccurrence(RGB);24.068935;6416;720;208;48;96
CoOccurrence(RGB);24.066483;184;228;160;48;96
CoOccurrence(RGB);24.045591;4260;504;168;32;64
CoOccurrence(RGB);24.040224;1592;624;172;48;96
CoOccurrence(RGB);24.038965;540;480;208;32;64
CoOccurrence(RGB);23.964947;2232;344;184;32;64
CoOccurrence(RGB);23.927061;3620;528;216;32;64
CoOccurrence(RGB);23.922453;2652;776;232;32;64
CoOccurrence(RGB);23.917841;3008;880;248;32;64
CoOccurrence(RGB);23.879091;6928;256;248;32;64
CoOccurrence(RGB);23.866556;1488;360;184;32;64
CoOccurrence(RGB);23.842371;1592;288;232;32;64
CoOccurrence(RGB);23.841434;3620;728;240;32;64
CoOccurrence(RGB);23.821674;2548;728;224;32;64
CoOccurrence(RGB);23.768700;3620;384;244;48;96
CoOccurrence(RGB);23.763292;2964;1040;272;32;64
CoOccurrence(RGB);23.728109;6192;952;184;32;64
CoOccurrence(RGB);23.707563;3620;184;232;32;64
CoOccurrence(RGB);23.684464;2864;624;216;32;64
CoOccurrence(RGB);23.662590;1380;264;208;48;96
CoOccurrence(RGB);23.656778;4272;520;168;32;64
CoOccurrence(RGB);23.606606;1780;24;280;32;64
CoOccurrence(RGB);23.581881;2476;688;232;32;64
CoOccurrence(RGB);23.532114;2892;432;272;32;64
CoOccurrence(RGB);23.528713;2496;288;208;32;64
CoOccurrence(RGB);23.497660;1592;816;220;48;96
CoOccurrence(RGB);23.477274;352;776;256;32;64
CoOccurrence(RGB);23.472918;5480;920;247;32;64
CoOccurrence(RGB);23.461979;184;192;192;32;64
CoOccurrence(RGB);23.444107;6016;272;224;32;64
CoOccurrence(RGB);23.401033;316;600;264;32;64
CoOccurrence(RGB);23.379570;1592;624;192;32;64
CoOccurrence(RGB);23.372833;856;1040;216;32;64
CoOccurrence(RGB);23.350828;2652;768;224;32;64
CoOccurrence(RGB);23.309034;352;712;120;32;64
CoOccurrence(RGB);23.297300;336;456;244;48;96
CoOccurrence(RGB);23.229300;6016;120;172;80;160
CoOccurrence(RGB);23.216642;1288;880;240;32;64
CoOccurrence(RGB);23.214851;5860;304;280;32;64
CoOccurrence(RGB);23.201691;176;528;160;48;96
CoOccurrence(RGB);23.198574;3064;112;168;32;64
CoOccurrence(RGB);23.162909;912;712;144;32;64
CoOccurrence(RGB);23.147852;5148;780;196;48;96
CoOccurrence(RGB);23.143274;1820;1000;144;32;64
CoOccurrence(RGB);23.133947;4716;848;224;64;128
CoOccurrence(RGB);23.132278;2088;776;232;32;64
CoOccurrence(RGB);23.129444;1592;712;232;32;64
CoOccurrence(RGB);23.122938;7420;808;200;32;64
CoOccurrence(RGB);23.112288;1560;232;208;32;64
CoOccurrence(RGB);23.103321;864;168;244;48;96
CoOccurrence(RGB);23.101374;5136;160;280;32;64
CoOccurrence(RGB);23.098066;6296;272;168;32;64
CoOccurrence(RGB);23.089426;336;744;272;32;64
CoOccurrence(RGB);23.089306;3852;768;224;32;64
CoOccurrence(RGB);23.049168;5564;888;303;32;64
CoOccurrence(RGB);23.039991;1200;120;172;48;96
CoOccurrence(RGB);23.022022;1072;760;232;32;64
CoOccurrence(RGB);23.005171;1924;348;208;48;96
CoOccurrence(RGB);23.001284;5492;880;263;32;64
CoOccurrence(RGB);22.988771;1592;696;224;32;64
CoOccurrence(RGB);22.986254;184;252;160;48;96
CoOccurrence(RGB);22.981256;1580;800;248;32;64
CoOccurrence(RGB);22.976330;3632;760;248;32;64
CoOccurrence(RGB);22.974804;2892;400;296;32;64
CoOccurrence(RGB);22.970661;96;584;168;32;64
CoOccurrence(RGB);22.967428;4520;672;240;32;64
CoOccurrence(RGB);22.967155;540;768;264;32;64
CoOccurrence(RGB);22.931187;952;176;248;32;64
CoOccurrence(RGB);22.924189;500;608;168;32;64
CoOccurrence(RGB);22.923214;2672;60;268;48;96
CoOccurrence(RGB);22.884174;816;160;304;32;64
CoOccurrence(RGB);22.873627;2152;520;232;32;64
CoOccurrence(RGB);22.872137;3696;208;288;32;64
CoOccurrence(RGB);22.861473;1592;640;200;32;64
CoOccurrence(RGB);22.845064;6416;756;208;48;96
CoOccurrence(RGB);22.840042;2088;760;232;32;64
CoOccurrence(RGB);22.829065;2088;816;224;32;64
CoOccurrence(RGB);22.822338;536;216;304;32;64
CoOccurrence(RGB);22.821781;4060;840;296;32;64
CoOccurrence(RGB);22.813452;3324;752;127;64;128
CoOccurrence(RGB);22.806229;2920;416;231;32;64
CoOccurrence(RGB);22.786503;316;536;264;32;64
CoOccurrence(RGB);22.755005;6176;768;280;32;64
CoOccurrence(RGB);22.711103;6088;852;268;48;96
CoOccurrence(RGB);22.698141;4704;636;170;48;96
CoOccurrence(RGB);22.697325;5560;664;216;32;64
CoOccurrence(RGB);22.690279;2652;924;208;48;96
CoOccurrence(RGB);22.685699;3600;280;240;32;64
CoOccurrence(RGB);22.678087;6016;176;176;64;128
CoOccurrence(RGB);22.676712;768;144;232;32;64
CoOccurrence(RGB);22.674026;4704;680;199;32;64
CoOccurrence(RGB);22.656277;2444;944;216;32;64
CoOccurrence(RGB);22.650553;6800;72;232;48;96
CoOccurrence(RGB);22.649834;6016;156;184;48;96
CoOccurrence(RGB);22.646782;4304;784;192;32;64
CoOccurrence(RGB);22.641813;4092;568;192;32;64
CoOccurrence(RGB);22.638229;2652;608;200;32;64
CoOccurrence(RGB);22.638140;7256;472;304;32;64
CoOccurrence(RGB);22.636290;6720;536;216;32;64
CoOccurrence(RGB);22.630005;5560;800;280;32;64
CoOccurrence(RGB);22.618433;856;240;240;32;64
CoOccurrence(RGB);22.609711;3552;36;196;48;96
CoOccurrence(RGB);22.599529;5860;328;264;32;64
CoOccurrence(RGB);22.587200;952;376;224;32;64
CoOccurrence(RGB);22.586687;1028;872;295;32;64
CoOccurrence(RGB);22.570572;4716;960;256;32;64
CoOccurrence(RGB);22.566500;864;192;248;32;64
CoOccurrence(RGB);22.566057;1820;328;184;32;64
CoOccurrence(RGB);22.555773;5400;768;240;32;64
CoOccurrence(RGB);22.553551;5560;852;220;48;96
CoOccurrence(RGB);22.544252;6996;456;264;32;64
CoOccurrence(RGB);22.536674;1820;960;124;48;96
CoOccurrence(RGB);22.536478;6612;696;148;48;96
CoOccurrence(RGB);22.528233;6416;876;268;48;96
CoOccurrence(RGB);22.526442;2508;520;192;32;64
CoOccurrence(RGB);22.521414;1580;720;248;32;64
