Name;Score;ImageNumber;X;Y;Width;Height
FAST(RGB)+HOG(RGB);8.929548;3792;1032;244;48;96
FAST(RGB)+HOG(RGB);8.862608;4324;200;296;32;64
FAST(RGB)+HOG(RGB);8.433142;3508;456;264;32;64
FAST(RGB)+HOG(RGB);8.259661;3684;208;144;32;64
FAST(RGB)+HOG(RGB);8.213238;104;856;176;32;64
FAST(RGB)+HOG(RGB);8.157137;4980;776;240;32;64
FAST(RGB)+HOG(RGB);8.143347;5216;480;176;32;64
FAST(RGB)+HOG(RGB);8.113900;2136;48;192;32;64
FAST(RGB)+HOG(RGB);7.971642;888;632;256;32;64
FAST(RGB)+HOG(RGB);7.888353;3248;1188;136;48;96
FAST(RGB)+HOG(RGB);7.888303;4892;448;168;32;64
FAST(RGB)+HOG(RGB);7.877657;6216;56;248;32;64
FAST(RGB)+HOG(RGB);7.868541;6300;864;148;48;96
FAST(RGB)+HOG(RGB);7.868339;6864;396;172;48;96
FAST(RGB)+HOG(RGB);7.836745;244;312;200;32;64
FAST(RGB)+HOG(RGB);7.823116;3184;1088;128;32;64
FAST(RGB)+HOG(RGB);7.756748;5780;656;192;32;64
FAST(RGB)+HOG(RGB);7.731317;5556;80;248;32;64
FAST(RGB)+HOG(RGB);7.726541;600;108;148;48;96
FAST(RGB)+HOG(RGB);7.674360;7212;840;264;32;64
FAST(RGB)+HOG(RGB);7.635375;3204;240;248;32;64
FAST(RGB)+HOG(RGB);7.597585;2996;208;256;32;64
FAST(RGB)+HOG(RGB);7.587059;4860;0;128;64;128
FAST(RGB)+HOG(RGB);7.553756;2652;104;264;32;64
FAST(RGB)+HOG(RGB);7.551841;2424;384;170;48;96
FAST(RGB)+HOG(RGB);7.535704;3252;324;148;48;96
FAST(RGB)+HOG(RGB);7.528683;7060;592;216;32;64
FAST(RGB)+HOG(RGB);7.526716;1324;1080;136;48;96
FAST(RGB)+HOG(RGB);7.522468;4416;784;200;32;64
FAST(RGB)+HOG(RGB);7.516265;2376;1072;112;64;128
FAST(RGB)+HOG(RGB);7.511295;6912;1064;160;32;64
FAST(RGB)+HOG(RGB);7.505800;340;608;160;64;128
FAST(RGB)+HOG(RGB);7.497322;2352;1072;168;32;64
FAST(RGB)+HOG(RGB);7.483768;4444;128;176;64;128
FAST(RGB)+HOG(RGB);7.476734;244;192;120;32;64
FAST(RGB)+HOG(RGB);7.475825;1424;920;120;32;64
FAST(RGB)+HOG(RGB);7.470770;3584;156;172;48;96
FAST(RGB)+HOG(RGB);7.456209;3376;912;264;32;64
FAST(RGB)+HOG(RGB);7.439601;3248;1120;240;32;64
FAST(RGB)+HOG(RGB);7.423571;5120;864;124;48;96
FAST(RGB)+HOG(RGB);7.418916;7272;708;122;48;96
FAST(RGB)+HOG(RGB);7.415029;1324;928;120;32;64
FAST(RGB)+HOG(RGB);7.410842;796;432;160;32;64
FAST(RGB)+HOG(RGB);7.404310;7304;888;296;32;64
FAST(RGB)+HOG(RGB);7.402672;6088;1168;208;64;128
FAST(RGB)+HOG(RGB);7.401281;80;984;304;32;64
FAST(RGB)+HOG(RGB);7.383638;6768;16;256;32;64
FAST(RGB)+HOG(RGB);7.383154;4588;488;152;32;64
FAST(RGB)+HOG(RGB);7.381027;4280;996;136;48;96
FAST(RGB)+HOG(RGB);7.380984;2876;996;148;48;96
FAST(RGB)+HOG(RGB);7.379272;7148;976;128;32;64
FAST(RGB)+HOG(RGB);7.371730;2160;756;112;48;96
FAST(RGB)+HOG(RGB);7.363545;2472;808;152;32;64
FAST(RGB)+HOG(RGB);7.360373;4572;264;160;48;96
FAST(RGB)+HOG(RGB);7.353640;3524;8;184;32;64
FAST(RGB)+HOG(RGB);7.346522;5724;864;223;32;64
FAST(RGB)+HOG(RGB);7.336895;580;240;128;64;128
FAST(RGB)+HOG(RGB);7.333064;5288;656;192;32;64
FAST(RGB)+HOG(RGB);7.330124;4096;0;136;96;192
FAST(RGB)+HOG(RGB);7.329907;7084;864;223;32;64
FAST(RGB)+HOG(RGB);7.323594;188;168;148;48;96
FAST(RGB)+HOG(RGB);7.315579;6804;864;223;32;64
