Name;Score;ImageNumber;X;Y;Width;Height
GoodFts(Depth)+HOG(RGB);8.450969;5864;1000;256;32;64
GoodFts(Depth)+HOG(RGB);7.915993;3576;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.652205;7036;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.356447;888;104;184;32;64
GoodFts(Depth)+HOG(RGB);7.339602;1840;352;240;32;64
GoodFts(Depth)+HOG(RGB);7.314655;6060;848;152;32;64
GoodFts(Depth)+HOG(RGB);7.293410;2784;88;248;32;64
GoodFts(Depth)+HOG(RGB);7.243598;3864;1008;112;32;64
GoodFts(Depth)+HOG(RGB);7.222660;1160;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.218839;52;328;176;32;64
GoodFts(Depth)+HOG(RGB);7.184549;2456;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.183404;3700;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.181832;1540;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.141753;6332;1024;192;32;64
GoodFts(Depth)+HOG(RGB);7.096925;4780;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.044338;2868;440;295;32;64
GoodFts(Depth)+HOG(RGB);7.040440;180;296;200;32;64
GoodFts(Depth)+HOG(RGB);7.025362;3176;1176;168;32;64
GoodFts(Depth)+HOG(RGB);6.994571;3664;248;168;32;64
GoodFts(Depth)+HOG(RGB);6.980580;1108;64;136;32;64
GoodFts(Depth)+HOG(RGB);6.974612;5072;640;192;80;160
GoodFts(Depth)+HOG(RGB);6.958679;1960;80;208;64;128
GoodFts(Depth)+HOG(RGB);6.921767;3688;680;160;32;64
GoodFts(Depth)+HOG(RGB);6.899217;1060;160;144;32;64
GoodFts(Depth)+HOG(RGB);6.887768;240;464;192;64;128
GoodFts(Depth)+HOG(RGB);6.850346;3164;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.847205;3676;720;232;48;96
GoodFts(Depth)+HOG(RGB);6.828060;5848;608;224;32;64
GoodFts(Depth)+HOG(RGB);6.822140;304;1112;160;32;64
GoodFts(Depth)+HOG(RGB);6.799682;5808;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.791658;4464;1184;208;32;64
GoodFts(Depth)+HOG(RGB);6.787957;6732;288;216;32;64
GoodFts(Depth)+HOG(RGB);6.782878;1640;252;170;48;96
GoodFts(Depth)+HOG(RGB);6.781202;6736;56;176;32;64
GoodFts(Depth)+HOG(RGB);6.779213;4764;1056;112;64;128
GoodFts(Depth)+HOG(RGB);6.775928;664;264;216;32;64
GoodFts(Depth)+HOG(RGB);6.764497;5196;280;144;32;64
GoodFts(Depth)+HOG(RGB);6.763978;1740;48;120;32;64
GoodFts(Depth)+HOG(RGB);6.747470;1360;24;144;32;64
GoodFts(Depth)+HOG(RGB);6.725029;5248;184;280;32;64
GoodFts(Depth)+HOG(RGB);6.717575;6056;392;192;32;64
GoodFts(Depth)+HOG(RGB);6.705842;1544;496;199;32;64
GoodFts(Depth)+HOG(RGB);6.705075;4616;768;200;32;64
GoodFts(Depth)+HOG(RGB);6.703188;2560;368;144;32;64
GoodFts(Depth)+HOG(RGB);6.702526;5588;824;216;32;64
GoodFts(Depth)+HOG(RGB);6.683239;6332;128;240;32;64
GoodFts(Depth)+HOG(RGB);6.667557;2040;800;144;32;64
GoodFts(Depth)+HOG(RGB);6.664373;3316;1112;240;32;64
GoodFts(Depth)+HOG(RGB);6.661979;1992;320;152;32;64
GoodFts(Depth)+HOG(RGB);6.656925;284;640;176;32;64
GoodFts(Depth)+HOG(RGB);6.654253;1108;648;176;32;64
GoodFts(Depth)+HOG(RGB);6.648529;5808;288;206;48;96
GoodFts(Depth)+HOG(RGB);6.646951;2020;160;120;32;64
GoodFts(Depth)+HOG(RGB);6.638644;2680;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.637924;2120;1024;160;32;64
GoodFts(Depth)+HOG(RGB);6.635744;620;1184;184;32;64
GoodFts(Depth)+HOG(RGB);6.625280;1544;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.624492;3248;88;280;32;64
GoodFts(Depth)+HOG(RGB);6.623204;28;396;182;48;96
GoodFts(Depth)+HOG(RGB);6.620329;4976;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.614923;5924;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.611286;6568;1208;144;32;64
GoodFts(Depth)+HOG(RGB);6.598530;788;112;264;32;64
GoodFts(Depth)+HOG(RGB);6.598523;3896;620;172;80;160
GoodFts(Depth)+HOG(RGB);6.598375;3204;952;184;32;64
GoodFts(Depth)+HOG(RGB);6.598335;5260;0;152;32;64
GoodFts(Depth)+HOG(RGB);6.597742;28;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.596921;1568;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.586868;8;960;192;80;160
GoodFts(Depth)+HOG(RGB);6.586111;6548;824;160;32;64
GoodFts(Depth)+HOG(RGB);6.581089;6832;300;171;80;160
GoodFts(Depth)+HOG(RGB);6.580677;3420;976;152;32;64
GoodFts(Depth)+HOG(RGB);6.573911;1584;72;232;32;64
GoodFts(Depth)+HOG(RGB);6.573393;6648;832;184;32;64
GoodFts(Depth)+HOG(RGB);6.572168;1056;1168;208;32;64
GoodFts(Depth)+HOG(RGB);6.569609;6076;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.568528;1816;780;124;48;96
GoodFts(Depth)+HOG(RGB);6.564332;5356;208;192;32;64
GoodFts(Depth)+HOG(RGB);6.563097;88;1060;132;80;160
GoodFts(Depth)+HOG(RGB);6.563057;4376;304;192;32;64
GoodFts(Depth)+HOG(RGB);6.556766;5880;1096;224;32;64
GoodFts(Depth)+HOG(RGB);6.553463;5524;16;303;32;64
GoodFts(Depth)+HOG(RGB);6.532169;760;840;136;48;96
GoodFts(Depth)+HOG(RGB);6.525479;4192;440;295;32;64
GoodFts(Depth)+HOG(RGB);6.521055;1868;760;208;32;64
GoodFts(Depth)+HOG(RGB);6.520709;4896;144;176;32;64
GoodFts(Depth)+HOG(RGB);6.519361;2968;760;192;32;64
GoodFts(Depth)+HOG(RGB);6.518624;2364;232;136;32;64
