Name;Score;ImageNumber;X;Y;Width;Height
HDD+HOG(RGB);11.394706;2272;432;304;32;64
HDD+HOG(RGB);10.342768;5256;736;224;32;64
HDD+HOG(RGB);10.292133;2132;472;152;32;64
HDD+HOG(RGB);10.179325;7388;144;224;32;64
HDD+HOG(RGB);9.906494;3984;1088;224;32;64
HDD+HOG(RGB);9.880736;6508;96;224;32;64
HDD+HOG(RGB);9.776216;7360;80;172;80;160
HDD+HOG(RGB);9.740121;7468;296;136;32;64
HDD+HOG(RGB);9.699489;408;376;176;32;64
HDD+HOG(RGB);9.629117;1868;1100;192;80;160
HDD+HOG(RGB);9.621645;5560;744;184;48;96
HDD+HOG(RGB);9.621463;196;960;192;32;64
HDD+HOG(RGB);9.587170;4152;808;232;32;64
HDD+HOG(RGB);9.553065;680;912;232;32;64
HDD+HOG(RGB);9.533751;980;1104;296;32;64
HDD+HOG(RGB);9.525157;2484;240;152;32;64
HDD+HOG(RGB);9.486650;1212;352;280;32;64
HDD+HOG(RGB);9.472410;4796;272;288;32;64
HDD+HOG(RGB);9.450654;1016;544;184;32;64
HDD+HOG(RGB);9.443476;5364;1144;280;32;64
HDD+HOG(RGB);9.439080;6780;672;160;64;128
HDD+HOG(RGB);9.438598;5896;360;232;32;64
HDD+HOG(RGB);9.433611;348;824;248;32;64
HDD+HOG(RGB);9.419387;3064;808;200;32;64
HDD+HOG(RGB);9.395369;5104;252;232;48;96
HDD+HOG(RGB);9.380313;720;688;208;32;64
HDD+HOG(RGB);9.369340;1092;880;160;32;64
HDD+HOG(RGB);9.363064;4792;256;248;32;64
HDD+HOG(RGB);9.344614;48;776;192;32;64
HDD+HOG(RGB);9.334314;3240;48;296;32;64
HDD+HOG(RGB);9.323299;1748;280;159;32;64
HDD+HOG(RGB);9.264030;384;912;159;32;64
HDD+HOG(RGB);9.214714;5396;760;256;32;64
HDD+HOG(RGB);9.203105;5452;184;280;32;64
HDD+HOG(RGB);9.203055;7064;1020;256;48;96
HDD+HOG(RGB);9.194848;6348;996;184;48;96
HDD+HOG(RGB);9.164530;4636;200;224;32;64
HDD+HOG(RGB);9.151810;4072;672;160;32;64
HDD+HOG(RGB);9.149290;2080;880;280;32;64
HDD+HOG(RGB);9.148829;2820;768;248;32;64
HDD+HOG(RGB);9.140862;2216;976;248;32;64
HDD+HOG(RGB);9.139050;3288;176;192;64;128
HDD+HOG(RGB);9.136224;2792;860;132;80;160
HDD+HOG(RGB);9.130274;5148;532;140;112;224
HDD+HOG(RGB);9.122149;480;408;280;32;64
HDD+HOG(RGB);9.103650;6004;600;168;32;64
HDD+HOG(RGB);9.083752;928;288;303;32;64
