Name;Score;ImageNumber;X;Y;Width;Height
HOG(Depth)+HOG(RGB);16.576553;4276;0;184;32;64
HOG(Depth)+HOG(RGB);15.940715;6732;856;144;32;64
HOG(Depth)+HOG(RGB);15.547540;3624;168;216;32;64
HOG(Depth)+HOG(RGB);15.532528;6584;808;208;32;64
HOG(Depth)+HOG(RGB);15.406019;4476;912;184;32;64
HOG(Depth)+HOG(RGB);15.277078;2896;704;168;32;64
HOG(Depth)+HOG(RGB);15.140829;5664;896;272;32;64
HOG(Depth)+HOG(RGB);15.110232;3056;0;144;64;128
HOG(Depth)+HOG(RGB);15.095391;1268;300;212;80;160
HOG(Depth)+HOG(RGB);15.072466;5252;1092;136;48;96
HOG(Depth)+HOG(RGB);15.022132;6120;1080;136;32;64
HOG(Depth)+HOG(RGB);14.987834;2644;1152;168;32;64
HOG(Depth)+HOG(RGB);14.962825;5788;32;160;32;64
HOG(Depth)+HOG(RGB);14.951975;7356;1128;176;32;64
HOG(Depth)+HOG(RGB);14.943572;2704;240;288;32;64
HOG(Depth)+HOG(RGB);14.928692;328;944;176;32;64
HOG(Depth)+HOG(RGB);14.842284;2624;384;200;32;64
HOG(Depth)+HOG(RGB);14.791710;2896;248;208;32;64
HOG(Depth)+HOG(RGB);14.736962;348;816;304;32;64
HOG(Depth)+HOG(RGB);14.715878;2644;1080;216;32;64
HOG(Depth)+HOG(RGB);14.687806;4628;988;112;104;208
HOG(Depth)+HOG(RGB);14.652362;1104;1064;272;32;64
HOG(Depth)+HOG(RGB);14.645197;5264;32;176;64;128
HOG(Depth)+HOG(RGB);14.569783;5580;712;176;32;64
HOG(Depth)+HOG(RGB);14.458639;5768;1168;280;32;64
HOG(Depth)+HOG(RGB);14.388621;492;0;244;48;96
HOG(Depth)+HOG(RGB);14.374054;5680;300;192;80;160
HOG(Depth)+HOG(RGB);14.323580;3476;560;183;32;64
HOG(Depth)+HOG(RGB);14.290392;6484;128;168;32;64
HOG(Depth)+HOG(RGB);14.238811;5904;0;244;48;96
HOG(Depth)+HOG(RGB);14.227663;3192;168;176;32;64
HOG(Depth)+HOG(RGB);14.204338;5744;1092;110;112;224
HOG(Depth)+HOG(RGB);14.183742;6360;288;160;48;96
HOG(Depth)+HOG(RGB);14.179995;2112;352;192;32;64
HOG(Depth)+HOG(RGB);14.144298;6880;720;224;32;64
HOG(Depth)+HOG(RGB);14.113592;6368;1072;224;32;64
HOG(Depth)+HOG(RGB);14.112908;1108;136;224;32;64
HOG(Depth)+HOG(RGB);14.081644;6744;88;191;32;64
HOG(Depth)+HOG(RGB);14.049837;6516;464;184;32;64
HOG(Depth)+HOG(RGB);14.026429;1240;492;160;48;96
HOG(Depth)+HOG(RGB);14.016669;7424;240;220;48;96
HOG(Depth)+HOG(RGB);14.013180;668;632;184;32;64
HOG(Depth)+HOG(RGB);14.012986;6264;888;144;32;64
HOG(Depth)+HOG(RGB);14.003947;1104;1160;256;32;64
HOG(Depth)+HOG(RGB);13.995561;5736;448;184;32;64
HOG(Depth)+HOG(RGB);13.994890;2816;568;168;32;64
HOG(Depth)+HOG(RGB);13.934452;1736;376;216;32;64
HOG(Depth)+HOG(RGB);13.929905;4636;264;184;48;96
HOG(Depth)+HOG(RGB);13.915532;4180;980;140;112;224
HOG(Depth)+HOG(RGB);13.913147;5744;464;199;32;64
HOG(Depth)+HOG(RGB);13.890594;1796;280;216;32;64
HOG(Depth)+HOG(RGB);13.878349;6192;912;256;48;96
HOG(Depth)+HOG(RGB);13.865723;368;520;199;32;64
HOG(Depth)+HOG(RGB);13.864892;6184;132;208;48;96
HOG(Depth)+HOG(RGB);13.861112;2416;520;184;32;64
HOG(Depth)+HOG(RGB);13.855571;2748;888;148;48;96
HOG(Depth)+HOG(RGB);13.855302;4540;804;136;48;96
HOG(Depth)+HOG(RGB);13.841904;1468;48;152;32;64
HOG(Depth)+HOG(RGB);13.787069;648;296;288;32;64
HOG(Depth)+HOG(RGB);13.744267;1760;900;172;48;96
HOG(Depth)+HOG(RGB);13.731222;2328;920;216;32;64
HOG(Depth)+HOG(RGB);13.691983;6584;952;140;112;224
HOG(Depth)+HOG(RGB);13.668323;6620;696;232;32;64
HOG(Depth)+HOG(RGB);13.633228;368;464;199;32;64
HOG(Depth)+HOG(RGB);13.627453;6584;904;200;32;64
HOG(Depth)+HOG(RGB);13.627400;4324;112;176;64;128
HOG(Depth)+HOG(RGB);13.609763;1992;32;200;32;64
HOG(Depth)+HOG(RGB);13.608005;4984;288;184;32;64
HOG(Depth)+HOG(RGB);13.596070;416;144;168;32;64
HOG(Depth)+HOG(RGB);13.593875;112;0;160;48;96
HOG(Depth)+HOG(RGB);13.589891;3568;56;168;32;64
HOG(Depth)+HOG(RGB);13.589190;6864;992;176;32;64
HOG(Depth)+HOG(RGB);13.584168;3540;80;192;80;160
HOG(Depth)+HOG(RGB);13.577371;3760;1008;136;48;96
HOG(Depth)+HOG(RGB);13.565098;6120;1040;152;80;160
HOG(Depth)+HOG(RGB);13.553082;6120;1020;132;80;160
HOG(Depth)+HOG(RGB);13.541515;2192;792;224;32;64
HOG(Depth)+HOG(RGB);13.534170;2644;1048;216;32;64
HOG(Depth)+HOG(RGB);13.529439;6736;156;160;48;96
HOG(Depth)+HOG(RGB);13.522686;2644;972;244;48;96
HOG(Depth)+HOG(RGB);13.519011;6120;876;208;48;96
HOG(Depth)+HOG(RGB);13.516223;5768;1160;288;32;64
HOG(Depth)+HOG(RGB);13.512723;3452;656;192;32;64
HOG(Depth)+HOG(RGB);13.512138;2152;1088;224;32;64
