Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+HONV;48.506149;1992;104;240;32;64
HOG(RGB)+HONV;43.500359;6204;360;184;32;64
HOG(RGB)+HONV;42.753754;3792;1176;296;32;64
HOG(RGB)+HONV;42.557323;2536;1104;176;32;64
HOG(RGB)+HONV;42.476589;1960;88;208;32;64
HOG(RGB)+HONV;42.323425;2696;1064;216;32;64
HOG(RGB)+HONV;42.112030;444;248;128;32;64
HOG(RGB)+HONV;42.035557;5212;228;184;48;96
HOG(RGB)+HONV;41.916718;3776;1192;176;32;64
HOG(RGB)+HONV;41.735764;5812;1048;144;32;64
HOG(RGB)+HONV;41.649227;3848;1080;208;48;96
HOG(RGB)+HONV;41.508053;1324;80;120;32;64
HOG(RGB)+HONV;41.457729;6356;144;232;32;64
HOG(RGB)+HONV;41.374569;5216;264;144;32;64
HOG(RGB)+HONV;41.259609;4076;608;152;32;64
HOG(RGB)+HONV;41.175594;2820;744;184;32;64
HOG(RGB)+HONV;41.150608;7228;0;136;48;96
HOG(RGB)+HONV;40.894104;4280;1164;160;48;96
HOG(RGB)+HONV;40.621201;7228;12;160;48;96
HOG(RGB)+HONV;40.523132;6576;1160;112;80;160
HOG(RGB)+HONV;40.411976;6556;1192;224;32;64
HOG(RGB)+HONV;40.237167;7360;80;216;32;64
HOG(RGB)+HONV;40.209694;1736;200;216;32;64
HOG(RGB)+HONV;40.044937;2480;880;144;32;64
HOG(RGB)+HONV;39.466896;4996;1064;215;32;64
HOG(RGB)+HONV;39.271782;6696;1048;224;32;64
HOG(RGB)+HONV;39.217175;1016;944;152;32;64
HOG(RGB)+HONV;39.162270;2880;1056;176;32;64
HOG(RGB)+HONV;39.130718;3848;1088;208;32;64
HOG(RGB)+HONV;39.074265;7228;0;160;32;64
HOG(RGB)+HONV;39.052681;5764;232;200;32;64
HOG(RGB)+HONV;39.047344;3444;928;152;32;64
HOG(RGB)+HONV;39.002708;3516;1168;112;64;128
HOG(RGB)+HONV;38.997143;3104;204;196;48;96
HOG(RGB)+HONV;38.971634;1972;8;136;32;64
HOG(RGB)+HONV;38.932304;4316;168;172;48;96
HOG(RGB)+HONV;38.913158;5512;948;160;48;96
HOG(RGB)+HONV;38.871269;6576;1176;216;32;64
HOG(RGB)+HONV;38.858658;2924;1208;272;32;64
HOG(RGB)+HONV;38.858463;3336;352;184;32;64
HOG(RGB)+HONV;38.773998;2560;900;172;48;96
HOG(RGB)+HONV;38.717503;6040;296;176;32;64
HOG(RGB)+HONV;38.704441;592;1024;176;32;64
HOG(RGB)+HONV;38.697472;7228;8;168;32;64
HOG(RGB)+HONV;38.603024;244;0;160;32;64
HOG(RGB)+HONV;38.561947;2696;1056;220;48;96
HOG(RGB)+HONV;38.523277;2392;688;144;32;64
HOG(RGB)+HONV;38.440506;740;928;208;32;64
HOG(RGB)+HONV;38.422539;7228;0;192;32;64
HOG(RGB)+HONV;38.403625;3756;1160;192;32;64
HOG(RGB)+HONV;38.392590;3444;924;148;48;96
HOG(RGB)+HONV;38.363018;2068;1120;296;32;64
HOG(RGB)+HONV;38.334164;2536;1136;176;32;64
HOG(RGB)+HONV;38.315136;2552;8;216;32;64
HOG(RGB)+HONV;38.285099;852;1188;208;48;96
HOG(RGB)+HONV;38.260651;6904;288;208;48;96
HOG(RGB)+HONV;38.237709;1580;784;128;64;128
HOG(RGB)+HONV;38.201050;2492;72;224;32;64
HOG(RGB)+HONV;38.179264;6320;612;184;48;96
HOG(RGB)+HONV;38.031670;4148;248;192;32;64
HOG(RGB)+HONV;38.027058;3988;1144;128;32;64
HOG(RGB)+HONV;38.010765;5860;1016;200;32;64
HOG(RGB)+HONV;37.888485;6728;984;196;48;96
HOG(RGB)+HONV;37.876083;6728;992;216;32;64
HOG(RGB)+HONV;37.854843;1972;0;144;64;128
HOG(RGB)+HONV;37.824512;2492;88;216;32;64
HOG(RGB)+HONV;37.822659;2624;904;176;32;64
HOG(RGB)+HONV;37.790993;1772;1080;132;80;160
HOG(RGB)+HONV;37.776146;6376;1192;184;32;64
HOG(RGB)+HONV;37.768162;1992;108;232;48;96
HOG(RGB)+HONV;37.764698;4180;1040;164;104;208
HOG(RGB)+HONV;37.760918;444;130;164;104;208
HOG(RGB)+HONV;37.710159;5812;240;196;48;96
HOG(RGB)+HONV;37.656364;2476;976;208;32;64
HOG(RGB)+HONV;37.579735;2696;1008;192;64;128
HOG(RGB)+HONV;37.572876;4888;936;244;48;96
HOG(RGB)+HONV;37.545559;5632;352;200;32;64
HOG(RGB)+HONV;37.396549;944;8;288;32;64
HOG(RGB)+HONV;37.347969;6216;1104;176;32;64
HOG(RGB)+HONV;37.343479;6508;200;216;32;64
HOG(RGB)+HONV;37.335079;240;480;176;32;64
HOG(RGB)+HONV;37.328518;420;184;208;32;64
HOG(RGB)+HONV;37.326290;5768;768;264;32;64
HOG(RGB)+HONV;37.325764;6196;24;247;32;64
HOG(RGB)+HONV;37.301075;1992;96;256;32;64
HOG(RGB)+HONV;37.237194;2560;940;132;80;160
HOG(RGB)+HONV;37.207920;3776;1200;208;32;64
HOG(RGB)+HONV;37.197227;4244;1064;192;32;64
HOG(RGB)+HONV;37.193172;2696;1080;220;48;96
HOG(RGB)+HONV;37.193008;5524;176;247;32;64
HOG(RGB)+HONV;37.182690;2380;1192;208;32;64
HOG(RGB)+HONV;37.180340;6728;1024;184;32;64
HOG(RGB)+HONV;37.094692;944;0;256;48;96
HOG(RGB)+HONV;37.090355;1564;160;176;32;64
HOG(RGB)+HONV;37.066544;3696;1032;136;96;192
HOG(RGB)+HONV;37.033230;3768;1024;216;32;64
HOG(RGB)+HONV;37.009823;3696;1056;124;48;96
HOG(RGB)+HONV;37.001579;6232;280;168;32;64
HOG(RGB)+HONV;36.988808;5768;760;200;32;64
HOG(RGB)+HONV;36.979076;2880;1104;176;32;64
HOG(RGB)+HONV;36.954201;2624;920;160;32;64
HOG(RGB)+HONV;36.948753;7228;24;160;32;64
HOG(RGB)+HONV;36.873245;444;200;172;80;160
HOG(RGB)+HONV;36.872921;3708;1088;232;32;64
HOG(RGB)+HONV;36.869339;3756;1184;232;32;64
HOG(RGB)+HONV;36.832233;6172;1200;280;32;64
HOG(RGB)+HONV;36.815601;824;240;224;32;64
HOG(RGB)+HONV;36.782619;1960;80;208;32;64
HOG(RGB)+HONV;36.774746;5860;1016;176;32;64
HOG(RGB)+HONV;36.712170;620;1192;224;32;64
HOG(RGB)+HONV;36.708652;4052;1096;232;32;64
HOG(RGB)+HONV;36.693657;76;896;256;32;64
HOG(RGB)+HONV;36.685875;5660;760;172;80;160
HOG(RGB)+HONV;36.682133;6356;0;248;32;64
HOG(RGB)+HONV;36.676285;1440;1072;216;32;64
HOG(RGB)+HONV;36.617359;2432;744;160;32;64
HOG(RGB)+HONV;36.615814;6904;272;216;32;64
HOG(RGB)+HONV;36.611423;7020;32;184;32;64
HOG(RGB)+HONV;36.591812;4052;896;152;32;64
HOG(RGB)+HONV;36.565632;2300;84;268;48;96
HOG(RGB)+HONV;36.556171;6728;1008;172;48;96
HOG(RGB)+HONV;36.516621;4904;1016;264;32;64
HOG(RGB)+HONV;36.493515;4356;704;128;32;64
HOG(RGB)+HONV;36.486160;3792;1120;296;32;64
HOG(RGB)+HONV;36.475464;7228;0;172;48;96
HOG(RGB)+HONV;36.465809;4588;296;176;32;64
HOG(RGB)+HONV;36.424892;4192;1144;255;32;64
HOG(RGB)+HONV;36.362209;2476;1040;208;32;64
HOG(RGB)+HONV;36.354015;5708;1048;216;32;64
HOG(RGB)+HONV;36.327103;6424;24;220;48;96
HOG(RGB)+HONV;36.321304;5668;56;224;32;64
HOG(RGB)+HONV;36.268848;756;0;240;32;64
HOG(RGB)+HONV;36.257664;6904;144;240;32;64
HOG(RGB)+HONV;36.244286;3708;48;224;32;64
HOG(RGB)+HONV;36.232578;6380;1008;256;48;96
HOG(RGB)+HONV;36.204506;2696;1068;208;48;96
HOG(RGB)+HONV;36.197281;2536;1120;184;32;64
HOG(RGB)+HONV;36.189075;1084;768;160;48;96
HOG(RGB)+HONV;36.185677;732;152;136;32;64
HOG(RGB)+HONV;36.179867;3516;1168;176;32;64
HOG(RGB)+HONV;36.166225;6204;400;168;32;64
HOG(RGB)+HONV;36.161922;5744;1144;255;32;64
HOG(RGB)+HONV;36.154034;608;120;152;32;64
HOG(RGB)+HONV;36.144188;2696;976;208;32;64
HOG(RGB)+HONV;36.121452;6104;1176;184;32;64
HOG(RGB)+HONV;36.098873;364;1144;176;32;64
HOG(RGB)+HONV;36.095375;6568;1008;240;32;64
HOG(RGB)+HONV;36.086899;2852;936;120;32;64
HOG(RGB)+HONV;36.074043;1056;1144;200;32;64
HOG(RGB)+HONV;36.072388;6268;168;136;96;192
HOG(RGB)+HONV;36.069679;4160;176;224;32;64
HOG(RGB)+HONV;36.061424;3768;992;208;32;64
HOG(RGB)+HONV;36.056843;6568;660;160;48;96
HOG(RGB)+HONV;36.038551;2128;8;248;32;64
HOG(RGB)+HONV;36.027851;952;324;148;48;96
HOG(RGB)+HONV;36.001251;4600;712;192;32;64
HOG(RGB)+HONV;35.978844;584;16;144;64;128
